 TLUSTY Ostars, Lanz & Hubeny 2003
 T 30000. G 3.00000 M30 TLUSTY
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  1.53217E-48
 6.67573E+16  1.60298E-48
 6.67202E+16  1.70258E-48
 6.66831E+16  1.80837E-48
 6.66461E+16  1.92073E-48
 6.66091E+16  2.04008E-48
 6.65721E+16  2.16684E-48
 6.65351E+16  2.30148E-48
 6.64982E+16  2.44448E-48
 6.64612E+16  2.59637E-48
 6.64243E+16  2.75770E-48
 6.63874E+16  2.92905E-48
 6.63506E+16  3.11105E-48
 6.63137E+16  3.30436E-48
 6.62769E+16  3.50968E-48
 6.62401E+16  3.72775E-48
 6.62033E+16  3.95938E-48
 6.61665E+16  4.20540E-48
 6.61298E+16  4.46670E-48
 6.60930E+16  4.74425E-48
 6.60563E+16  5.03903E-48
 6.60196E+16  5.35214E-48
 6.59830E+16  5.68470E-48
 6.59463E+16  6.03792E-48
 6.59097E+16  6.41309E-48
 6.58731E+16  6.81157E-48
 6.58365E+16  7.23481E-48
 6.57999E+16  7.68435E-48
 6.57634E+16  8.16183E-48
 6.57269E+16  8.66897E-48
 6.56904E+16  9.20762E-48
 6.56539E+16  9.77974E-48
 6.56174E+16  1.03874E-47
 6.55810E+16  1.10328E-47
 6.55445E+16  1.17184E-47
 6.55081E+16  1.24465E-47
 6.54718E+16  1.32199E-47
 6.54354E+16  1.40413E-47
 6.53991E+16  1.49138E-47
 6.53627E+16  1.58405E-47
 6.53264E+16  1.68247E-47
 6.52901E+16  1.78701E-47
 6.52539E+16  1.89805E-47
 6.52176E+16  2.01599E-47
 6.51814E+16  2.14125E-47
 6.51452E+16  2.27430E-47
 6.51090E+16  2.41562E-47
 6.50729E+16  2.56571E-47
 6.50367E+16  2.72513E-47
 6.50006E+16  2.89446E-47
 6.49645E+16  3.07431E-47
 6.49284E+16  3.26534E-47
 6.48924E+16  3.46823E-47
 6.48563E+16  3.68373E-47
 6.48203E+16  3.91262E-47
 6.47843E+16  4.15574E-47
 6.47483E+16  4.41396E-47
 6.47124E+16  4.68822E-47
 6.46764E+16  4.97953E-47
 6.46405E+16  5.28893E-47
 6.46046E+16  5.61756E-47
 6.45687E+16  5.96662E-47
 6.45329E+16  6.33736E-47
 6.44970E+16  6.73113E-47
 6.44612E+16  7.14938E-47
 6.44254E+16  7.59361E-47
 6.43896E+16  8.06544E-47
 6.43539E+16  8.56659E-47
 6.43181E+16  9.09889E-47
 6.42824E+16  9.65992E-47
 6.42467E+16  1.02353E-46
 6.42110E+16  1.08454E-46
 6.41753E+16  1.14918E-46
 6.41397E+16  1.21767E-46
 6.41041E+16  1.29025E-46
 6.40685E+16  1.36715E-46
 6.40329E+16  1.44864E-46
 6.39973E+16  1.53498E-46
 6.39618E+16  1.62647E-46
 6.39263E+16  1.72341E-46
 6.38908E+16  1.82613E-46
 6.38553E+16  1.93497E-46
 6.38198E+16  2.05030E-46
 6.37844E+16  2.17250E-46
 6.37489E+16  2.30199E-46
 6.37135E+16  2.43919E-46
 6.36781E+16  2.58457E-46
 6.36428E+16  2.73862E-46
 6.36074E+16  2.90185E-46
 6.35721E+16  3.07480E-46
 6.35368E+16  3.25807E-46
 6.35015E+16  3.45226E-46
 6.34662E+16  3.65802E-46
 6.34310E+16  3.87605E-46
 6.33958E+16  4.10707E-46
 6.33605E+16  4.35186E-46
 6.33254E+16  4.61124E-46
 6.32902E+16  4.88608E-46
 6.32550E+16  5.17730E-46
 6.32199E+16  5.48588E-46
 6.31848E+16  5.81285E-46
 6.31497E+16  6.15931E-46
 6.31146E+16  6.52642E-46
 6.30796E+16  6.91541E-46
 6.30445E+16  7.32759E-46
 6.30095E+16  7.76433E-46
 6.29745E+16  8.22710E-46
 6.29395E+16  8.71745E-46
 6.29046E+16  9.23703E-46
 6.28697E+16  9.78758E-46
 6.28347E+16  1.03709E-45
 6.27998E+16  1.09891E-45
 6.27650E+16  1.16441E-45
 6.27301E+16  1.23381E-45
 6.26953E+16  1.30734E-45
 6.26604E+16  1.38526E-45
 6.26256E+16  1.46783E-45
 6.25909E+16  1.55532E-45
 6.25561E+16  1.64802E-45
 6.25213E+16  1.74624E-45
 6.24866E+16  1.85032E-45
 6.24519E+16  1.96061E-45
 6.24172E+16  2.07746E-45
 6.23826E+16  2.20128E-45
 6.23479E+16  2.33249E-45
 6.23133E+16  2.47151E-45
 6.22787E+16  2.61881E-45
 6.22441E+16  2.77490E-45
 6.22095E+16  2.94029E-45
 6.21750E+16  3.11554E-45
 6.21404E+16  3.30123E-45
 6.21059E+16  3.49800E-45
 6.20714E+16  3.70648E-45
 6.20370E+16  3.92740E-45
 6.20025E+16  4.16148E-45
 6.19681E+16  4.40952E-45
 6.19337E+16  4.67233E-45
 6.18993E+16  4.95081E-45
 6.18649E+16  5.24589E-45
 6.18305E+16  5.55856E-45
 6.17962E+16  5.89046E-45
 6.17619E+16  6.23076E-45
 6.17276E+16  6.58607E-45
 6.16933E+16  6.96164E-45
 6.16590E+16  7.35863E-45
 6.16248E+16  7.77825E-45
 6.15905E+16  8.22181E-45
 6.15563E+16  8.69065E-45
 6.15221E+16  9.18624E-45
 6.14880E+16  9.71008E-45
 6.14538E+16  1.02638E-44
 6.14197E+16  1.08491E-44
 6.13856E+16  1.14678E-44
 6.13515E+16  1.21217E-44
 6.13174E+16  1.28129E-44
 6.12834E+16  1.35436E-44
 6.12493E+16  1.43159E-44
 6.12153E+16  1.51323E-44
 6.11813E+16  1.59952E-44
 6.11473E+16  1.69073E-44
 6.11134E+16  1.78715E-44
 6.10794E+16  1.88906E-44
 6.10455E+16  1.99678E-44
