 TLUSTY Ostars, Lanz & Hubeny 2003
 T 47500. G 4.50000 M30 TLUSTY
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  1.12929E-31
 6.67573E+16  1.15142E-31
 6.67202E+16  1.18160E-31
 6.66831E+16  1.21258E-31
 6.66461E+16  1.24437E-31
 6.66091E+16  1.27700E-31
 6.65721E+16  1.31048E-31
 6.65351E+16  1.34484E-31
 6.64982E+16  1.38009E-31
 6.64612E+16  1.41628E-31
 6.64243E+16  1.45341E-31
 6.63874E+16  1.49151E-31
 6.63506E+16  1.53062E-31
 6.63137E+16  1.57075E-31
 6.62769E+16  1.61193E-31
 6.62401E+16  1.65419E-31
 6.62033E+16  1.69756E-31
 6.61665E+16  1.74206E-31
 6.61298E+16  1.78774E-31
 6.60930E+16  1.83461E-31
 6.60563E+16  1.88271E-31
 6.60196E+16  1.93207E-31
 6.59830E+16  1.98272E-31
 6.59463E+16  2.03470E-31
 6.59097E+16  2.08805E-31
 6.58731E+16  2.14279E-31
 6.58365E+16  2.19897E-31
 6.57999E+16  2.25662E-31
 6.57634E+16  2.31578E-31
 6.57269E+16  2.37650E-31
 6.56904E+16  2.43881E-31
 6.56539E+16  2.50275E-31
 6.56174E+16  2.56836E-31
 6.55810E+16  2.63570E-31
 6.55445E+16  2.70480E-31
 6.55081E+16  2.77571E-31
 6.54718E+16  2.84849E-31
 6.54354E+16  2.92317E-31
 6.53991E+16  2.99980E-31
 6.53627E+16  3.07845E-31
 6.53264E+16  3.15916E-31
 6.52901E+16  3.24199E-31
 6.52539E+16  3.32698E-31
 6.52176E+16  3.41421E-31
 6.51814E+16  3.50372E-31
 6.51452E+16  3.59558E-31
 6.51090E+16  3.68985E-31
 6.50729E+16  3.78659E-31
 6.50367E+16  3.88586E-31
 6.50006E+16  3.98774E-31
 6.49645E+16  4.09229E-31
 6.49284E+16  4.19958E-31
 6.48924E+16  4.30969E-31
 6.48563E+16  4.42268E-31
 6.48203E+16  4.53863E-31
 6.47843E+16  4.65762E-31
 6.47483E+16  4.77973E-31
 6.47124E+16  4.90504E-31
 6.46764E+16  5.03364E-31
 6.46405E+16  5.16561E-31
 6.46046E+16  5.30104E-31
 6.45687E+16  5.44002E-31
 6.45329E+16  5.58265E-31
 6.44970E+16  5.72901E-31
 6.44612E+16  5.87921E-31
 6.44254E+16  6.03335E-31
 6.43896E+16  6.19153E-31
 6.43539E+16  6.35386E-31
 6.43181E+16  6.52044E-31
 6.42824E+16  6.71157E-31
