 CMFGEN: observer frame O-star fluxes
 OStar Grid 2009, 15km/s vturb
 T    :    30.000  kK,    Logg :    4.250 cm/s^2
 Reff :     4.933  R0,    L    :  1.779E+04 L0 
 Mdot :  4.518E-09 M0/yr,  Vinf :  2720.000 km/s
 Frequency         Hnu
 (Hz)              (ergs/s/cm2/Hz/sr)
 8.07960E+16  1.00201E-58
 8.07825E+16  1.02771E-58
 8.07691E+16  1.05402E-58
 8.07556E+16  1.08115E-58
 8.07421E+16  1.10915E-58
 8.07287E+16  1.13791E-58
 8.07152E+16  1.16722E-58
 8.07017E+16  1.19710E-58
 8.06883E+16  1.22773E-58
 8.06748E+16  1.25936E-58
 8.06614E+16  1.29199E-58
 8.06479E+16  1.32537E-58
 8.06345E+16  1.35950E-58
 8.06210E+16  1.39426E-58
 8.06076E+16  1.42995E-58
 8.05941E+16  1.46677E-58
 8.05807E+16  1.50465E-58
 8.05672E+16  1.54353E-58
 8.05538E+16  1.58316E-58
 8.05404E+16  1.62360E-58
 8.05269E+16  1.66511E-58
 8.05135E+16  1.70799E-58
 8.05001E+16  1.75212E-58
 8.04866E+16  1.79731E-58
 8.04732E+16  1.84338E-58
 8.04598E+16  1.89039E-58
 8.04464E+16  1.93871E-58
 8.04330E+16  1.98865E-58
 8.04196E+16  2.03997E-58
 8.04061E+16  2.09254E-58
 8.03927E+16  2.14599E-58
 8.03793E+16  2.20068E-58
 8.03659E+16  2.25694E-58
 8.03525E+16  2.31501E-58
 8.03391E+16  2.37470E-58
 8.03257E+16  2.43578E-58
 8.03123E+16  2.49791E-58
 8.02989E+16  2.56148E-58
 8.02855E+16  2.62699E-58
 8.02721E+16  2.69456E-58
 8.02588E+16  2.76401E-58
 8.02454E+16  2.83489E-58
 8.02320E+16  2.90709E-58
 8.02186E+16  2.98104E-58
 8.02052E+16  3.05730E-58
 8.01918E+16  3.13587E-58
 8.01785E+16  3.21657E-58
 8.01651E+16  3.29896E-58
 8.01517E+16  3.38278E-58
 8.01384E+16  3.46879E-58
 8.01250E+16  3.55749E-58
 8.01116E+16  3.64888E-58
 8.00983E+16  3.74264E-58
 8.00849E+16  3.83828E-58
 8.00716E+16  3.93573E-58
 8.00582E+16  4.03569E-58
 8.00448E+16  4.13889E-58
 8.00315E+16  4.24509E-58
 8.00182E+16  4.35410E-58
 8.00048E+16  4.46518E-58
 7.99915E+16  4.57832E-58
 7.99781E+16  4.69459E-58
 7.99648E+16  4.81454E-58
 7.99514E+16  4.93806E-58
 7.99381E+16  5.06464E-58
 7.99248E+16  5.19360E-58
 7.99114E+16  5.32505E-58
 7.98981E+16  5.46020E-58
 7.98848E+16  5.59965E-58
 7.98715E+16  5.74317E-58
 7.98582E+16  5.89019E-58
 7.98448E+16  6.03990E-58
 7.98315E+16  6.19267E-58
 7.98182E+16  6.34963E-58
 7.98049E+16  6.51153E-58
 7.97916E+16  6.67843E-58
 7.97783E+16  6.84908E-58
 7.97650E+16  7.02285E-58
 7.97517E+16  7.20038E-58
 7.97384E+16  7.38290E-58
 7.97251E+16  7.57168E-58
 7.97118E+16  7.76483E-58
 7.96985E+16  7.96361E-58
 7.96852E+16  8.16488E-58
 7.96719E+16  8.37116E-58
 7.96586E+16  8.58307E-58
 7.96453E+16  8.80185E-58
 7.96320E+16  9.02688E-58
 7.96188E+16  9.25691E-58
 7.96055E+16  9.49132E-58
 7.95922E+16  9.73073E-58
 7.95789E+16  9.97701E-58
 7.95656E+16  1.02314E-57
 7.95524E+16  1.04927E-57
 7.95391E+16  1.07596E-57
 7.95258E+16  1.10309E-57
 7.95126E+16  1.13091E-57
 7.94993E+16  1.15954E-57
 7.94861E+16  1.18904E-57
 7.94728E+16  1.21936E-57
 7.94596E+16  1.25036E-57
 7.94463E+16  1.28187E-57
 7.94330E+16  1.31412E-57
 7.94198E+16  1.34737E-57
 7.94066E+16  1.38169E-57
 7.93933E+16  1.41688E-57
 7.93801E+16  1.45283E-57
 7.93668E+16  1.48939E-57
 7.93536E+16  1.52684E-57
 7.93404E+16  1.56547E-57
 7.93271E+16  1.60529E-57
 7.93139E+16  1.64610E-57
 7.93007E+16  1.68786E-57
 7.92874E+16  1.73024E-57
 7.92742E+16  1.77375E-57
 7.92610E+16  1.81857E-57
 7.92478E+16  1.86476E-57
 7.92346E+16  1.91220E-57
 7.92213E+16  1.96052E-57
 7.92081E+16  2.00978E-57
 7.91949E+16  2.06022E-57
 7.91817E+16  2.11223E-57
 7.91685E+16  2.16586E-57
 7.91553E+16  2.22087E-57
 7.91421E+16  2.27694E-57
 7.91289E+16  2.33407E-57
 7.91157E+16  2.39258E-57
 7.91025E+16  2.45303E-57
 7.90893E+16  2.51522E-57
 7.90761E+16  2.57905E-57
 7.90629E+16  2.64405E-57
 7.90498E+16  2.71031E-57
 7.90366E+16  2.77820E-57
 7.90234E+16  2.84827E-57
 7.90102E+16  2.92047E-57
 7.89970E+16  2.99442E-57
 7.89838E+16  3.06986E-57
 7.89707E+16  3.14656E-57
 7.89575E+16  3.22526E-57
 7.89443E+16  3.30633E-57
 7.89312E+16  3.38978E-57
 7.89180E+16  3.47542E-57
 7.89048E+16  3.56281E-57
 7.88917E+16  3.65194E-57
 7.88785E+16  3.74358E-57
 7.88654E+16  3.83791E-57
 7.88522E+16  3.93486E-57
 7.88391E+16  4.03406E-57
 7.88259E+16  4.13514E-57
 7.88128E+16  4.23853E-57
 7.87996E+16  4.34492E-57
 7.87865E+16  4.45449E-57
 7.87734E+16  4.56688E-57
 7.87602E+16  4.68171E-57
 7.87471E+16  4.79873E-57
 7.87339E+16  4.91868E-57
 7.87208E+16  5.04226E-57
 7.87077E+16  5.16934E-57
 7.86946E+16  5.29955E-57
 7.86814E+16  5.43238E-57
 7.86683E+16  5.56790E-57
 7.86552E+16  5.70717E-57
 7.86421E+16  5.85063E-57
 7.86290E+16  5.99796E-57
 7.86158E+16  6.14873E-57
 7.86027E+16  6.30213E-57
 7.85896E+16  6.45965E-57
 7.85765E+16  6.62092E-57
 7.85634E+16  6.78782E-57
 7.85503E+16  6.95847E-57
 7.85372E+16  7.13287E-57
 7.85241E+16  7.31039E-57
