 CMFGEN: observer frame O-star fluxes
 OStar Grid 2009, 15km/s vturb
 T    :    32.000  kK,    Logg :    3.250 cm/s^2
 Reff :    28.979  R0,    L    :  7.944E+05 L0 
 Mdot :  4.493E-06 M0/yr,  Vinf :  2156.400 km/s
 Frequency         Hnu
 (Hz)              (ergs/s/cm2/Hz/sr)
 5.71491E+16  2.76534E-58
 5.71396E+16  2.85335E-58
 5.71301E+16  2.94414E-58
 5.71206E+16  3.03790E-58
 5.71110E+16  3.13445E-58
 5.71015E+16  3.23397E-58
 5.70920E+16  3.33645E-58
 5.70824E+16  3.44247E-58
 5.70729E+16  3.55202E-58
 5.70634E+16  3.66490E-58
 5.70539E+16  3.78132E-58
 5.70444E+16  3.90126E-58
 5.70349E+16  4.02510E-58
 5.70254E+16  4.15284E-58
 5.70158E+16  4.28503E-58
 5.70063E+16  4.42131E-58
 5.69968E+16  4.56149E-58
 5.69873E+16  4.70594E-58
 5.69778E+16  4.85522E-58
 5.69683E+16  5.00951E-58
 5.69588E+16  5.16863E-58
 5.69493E+16  5.33294E-58
 5.69398E+16  5.50190E-58
 5.69303E+16  5.67606E-58
 5.69208E+16  5.85597E-58
 5.69113E+16  6.04182E-58
 5.69018E+16  6.23380E-58
 5.68923E+16  6.43154E-58
 5.68828E+16  6.63522E-58
 5.68734E+16  6.84502E-58
 5.68639E+16  7.06188E-58
 5.68544E+16  7.28617E-58
 5.68449E+16  7.51751E-58
 5.68354E+16  7.75591E-58
 5.68260E+16  8.00099E-58
 5.68165E+16  8.25406E-58
 5.68070E+16  8.51548E-58
 5.67975E+16  8.78563E-58
 5.67881E+16  9.06450E-58
 5.67786E+16  9.35173E-58
 5.67691E+16  9.64731E-58
 5.67596E+16  9.95199E-58
 5.67502E+16  1.02673E-57
 5.67407E+16  1.05931E-57
 5.67312E+16  1.09290E-57
 5.67218E+16  1.12749E-57
 5.67123E+16  1.16312E-57
 5.67029E+16  1.19988E-57
 5.66934E+16  1.23789E-57
 5.66840E+16  1.27714E-57
 5.66745E+16  1.31761E-57
 5.66650E+16  1.35928E-57
 5.66556E+16  1.40218E-57
 5.66462E+16  1.44648E-57
 5.66367E+16  1.49229E-57
 5.66273E+16  1.53958E-57
 5.66178E+16  1.58833E-57
 5.66084E+16  1.63852E-57
 5.65989E+16  1.69021E-57
 5.65895E+16  1.74361E-57
 5.65800E+16  1.79881E-57
 5.65706E+16  1.85579E-57
 5.65612E+16  1.91442E-57
 5.65518E+16  1.97495E-57
 5.65423E+16  2.03715E-57
 5.65329E+16  2.10139E-57
 5.65235E+16  2.16786E-57
 5.65140E+16  2.23656E-57
 5.65046E+16  2.30730E-57
 5.64952E+16  2.38008E-57
 5.64858E+16  2.45509E-57
 5.64763E+16  2.53251E-57
 5.64669E+16  2.61272E-57
 5.64575E+16  2.69534E-57
 5.64481E+16  2.78038E-57
 5.64387E+16  2.86801E-57
 5.64293E+16  2.95843E-57
 5.64198E+16  3.05164E-57
 5.64104E+16  3.14819E-57
 5.64010E+16  3.24771E-57
 5.63916E+16  3.35019E-57
 5.63822E+16  3.45565E-57
 5.63728E+16  3.56446E-57
 5.63634E+16  3.67697E-57
 5.63540E+16  3.79320E-57
 5.63446E+16  3.91295E-57
 5.63352E+16  4.03624E-57
 5.63258E+16  4.16323E-57
 5.63164E+16  4.29432E-57
 5.63070E+16  4.42985E-57
 5.62976E+16  4.56966E-57
 5.62882E+16  4.71393E-57
 5.62789E+16  4.86227E-57
 5.62695E+16  5.01527E-57
 5.62601E+16  5.17308E-57
 5.62507E+16  5.33610E-57
 5.62413E+16  5.50469E-57
 5.62320E+16  5.67829E-57
 5.62226E+16  5.85690E-57
 5.62132E+16  6.04090E-57
 5.62038E+16  6.23083E-57
 5.61944E+16  6.42708E-57
 5.61851E+16  6.62983E-57
 5.61757E+16  6.83890E-57
 5.61663E+16  7.05390E-57
 5.61570E+16  7.27540E-57
 5.61476E+16  7.50415E-57
 5.61382E+16  7.74050E-57
 5.61289E+16  7.98465E-57
 5.61195E+16  8.23605E-57
 5.61102E+16  8.49487E-57
 5.61008E+16  8.76130E-57
 5.60914E+16  9.03665E-57
 5.60821E+16  9.32128E-57
 5.60727E+16  9.61501E-57
 5.60634E+16  9.91764E-57
 5.60540E+16  1.02288E-56
 5.60447E+16  1.05498E-56
 5.60353E+16  1.08811E-56
 5.60260E+16  1.12236E-56
 5.60166E+16  1.15768E-56
 5.60073E+16  1.19409E-56
 5.59980E+16  1.23154E-56
 5.59886E+16  1.27016E-56
 5.59793E+16  1.31002E-56
 5.59699E+16  1.35124E-56
 5.59606E+16  1.39377E-56
 5.59513E+16  1.43757E-56
 5.59419E+16  1.48263E-56
 5.59326E+16  1.52909E-56
 5.59233E+16  1.57706E-56
 5.59140E+16  1.62666E-56
 5.59046E+16  1.67783E-56
 5.58953E+16  1.73050E-56
 5.58860E+16  1.78470E-56
 5.58767E+16  1.84060E-56
 5.58673E+16  1.89827E-56
 5.58580E+16  1.95806E-56
 5.58487E+16  2.01951E-56
 5.58394E+16  2.08282E-56
 5.58301E+16  2.14799E-56
 5.58208E+16  2.21521E-56
 5.58115E+16  2.28483E-56
 5.58022E+16  2.35650E-56
 5.57928E+16  2.43039E-56
 5.57835E+16  2.50670E-56
 5.57742E+16  2.58506E-56
 5.57649E+16  2.66601E-56
 5.57556E+16  2.74956E-56
 5.57463E+16  2.83571E-56
 5.57370E+16  2.92483E-56
 5.57277E+16  3.01636E-56
 5.57184E+16  3.11068E-56
 5.57092E+16  3.20797E-56
 5.56999E+16  3.30842E-56
 5.56906E+16  3.41202E-56
 5.56813E+16  3.51897E-56
 5.56720E+16  3.62888E-56
 5.56627E+16  3.74214E-56
 5.56534E+16  3.85911E-56
 5.56442E+16  3.97998E-56
 5.56349E+16  4.10475E-56
 5.56256E+16  4.23305E-56
 5.56163E+16  4.36524E-56
 5.56070E+16  4.50152E-56
 5.55978E+16  4.64226E-56
 5.55885E+16  4.78764E-56
 5.55792E+16  4.93766E-56
 5.55700E+16  5.09195E-56
 5.55607E+16  5.25088E-56
 5.55514E+16  5.41464E-56
 5.55422E+16  5.58397E-56
 5.55329E+16  5.75887E-56
 5.55236E+16  5.93915E-56
 5.55144E+16  6.12445E-56
 5.55051E+16  6.31550E-56
 5.54958E+16  6.51249E-56
 5.54866E+16  6.71617E-56
 5.54773E+16  6.92653E-56
 5.54681E+16  7.14302E-56
 5.54588E+16  7.36564E-56
 5.54496E+16  7.59531E-56
 5.54403E+16  7.83222E-56
 5.54311E+16  8.07730E-56
 5.54218E+16  8.32981E-56
 5.54126E+16  8.58993E-56
 5.54034E+16  8.85748E-56
 5.53941E+16  9.13338E-56
 5.53849E+16  9.41857E-56
 5.53756E+16  9.71304E-56
 5.53664E+16  1.00164E-55
 5.53572E+16  1.03285E-55
 5.53479E+16  1.06501E-55
 5.53387E+16  1.09819E-55
 5.53295E+16  1.13248E-55
 5.53202E+16  1.16787E-55
 5.53110E+16  1.20434E-55
 5.53018E+16  1.24184E-55
 5.52926E+16  1.28048E-55
 5.52834E+16  1.32038E-55
 5.52741E+16  1.36160E-55
 5.52649E+16  1.40413E-55
 5.52557E+16  1.44791E-55
 5.52465E+16  1.49296E-55
 5.52373E+16  1.53937E-55
 5.52281E+16  1.58735E-55
 5.52188E+16  1.63691E-55
 5.52096E+16  1.68800E-55
 5.52004E+16  1.74058E-55
 5.51912E+16  1.79467E-55
 5.51820E+16  1.85048E-55
 5.51728E+16  1.90811E-55
 5.51636E+16  1.96771E-55
 5.51544E+16  2.02898E-55
 5.51452E+16  2.09211E-55
 5.51360E+16  2.15709E-55
 5.51268E+16  2.22412E-55
 5.51176E+16  2.29356E-55
 5.51084E+16  2.36504E-55
 5.50992E+16  2.43856E-55
 5.50900E+16  2.51432E-55
 5.50809E+16  2.59248E-55
 5.50717E+16  2.67306E-55
 5.50625E+16  2.75643E-55
 5.50533E+16  2.84221E-55
 5.50441E+16  2.93058E-55
 5.50350E+16  3.02156E-55
 5.50258E+16  3.11532E-55
 5.50166E+16  3.21224E-55
 5.50074E+16  3.31232E-55
 5.49982E+16  3.41536E-55
 5.49891E+16  3.52157E-55
 5.49799E+16  3.63074E-55
 5.49707E+16  3.74325E-55
 5.49616E+16  3.85967E-55
 5.49524E+16  3.97979E-55
 5.49432E+16  4.10364E-55
 5.49341E+16  4.23100E-55
 5.49249E+16  4.36208E-55
 5.49157E+16  4.49744E-55
 5.49066E+16  4.63725E-55
 5.48974E+16  4.78151E-55
 5.48883E+16  4.93004E-55
 5.48791E+16  5.08266E-55
 5.48700E+16  5.24011E-55
 5.48608E+16  5.40275E-55
 5.48517E+16  5.57060E-55
 5.48425E+16  5.74364E-55
 5.48334E+16  5.92188E-55
 5.48242E+16  6.10514E-55
 5.48151E+16  6.29415E-55
 5.48059E+16  6.48947E-55
 5.47968E+16  6.69110E-55
 5.47876E+16  6.89887E-55
 5.47785E+16  7.11257E-55
 5.47694E+16  7.33259E-55
 5.47602E+16  7.55947E-55
 5.47511E+16  7.79397E-55
 5.47420E+16  8.03608E-55
 5.47328E+16  8.28544E-55
 5.47237E+16  8.54184E-55
 5.47146E+16  8.80586E-55
 5.47055E+16  9.07824E-55
 5.46964E+16  9.35990E-55
 5.46872E+16  9.65047E-55
 5.46781E+16  9.94939E-55
 5.46690E+16  1.02569E-54
 5.46599E+16  1.05738E-54
 5.46508E+16  1.09008E-54
 5.46416E+16  1.12389E-54
 5.46325E+16  1.15872E-54
 5.46234E+16  1.19457E-54
 5.46143E+16  1.23146E-54
 5.46052E+16  1.26949E-54
 5.45961E+16  1.30877E-54
 5.45870E+16  1.34932E-54
 5.45779E+16  1.39114E-54
 5.45688E+16  1.43414E-54
 5.45597E+16  1.47838E-54
 5.45506E+16  1.52402E-54
 5.45415E+16  1.57116E-54
 5.45324E+16  1.61981E-54
 5.45233E+16  1.66995E-54
 5.45142E+16  1.72151E-54
 5.45051E+16  1.77458E-54
 5.44960E+16  1.82933E-54
 5.44869E+16  1.88602E-54
 5.44778E+16  1.94432E-54
 5.44687E+16  2.00447E-54
 5.44597E+16  2.06630E-54
 5.44506E+16  2.12980E-54
 5.44415E+16  2.19552E-54
 5.44324E+16  2.26348E-54
 5.44233E+16  2.33348E-54
 5.44143E+16  2.40552E-54
 5.44052E+16  2.47978E-54
 5.43961E+16  2.55609E-54
 5.43870E+16  2.63500E-54
 5.43780E+16  2.71632E-54
 5.43689E+16  2.80025E-54
 5.43598E+16  2.88677E-54
 5.43508E+16  2.97552E-54
 5.43417E+16  3.06705E-54
 5.43326E+16  3.16174E-54
 5.43236E+16  3.25940E-54
 5.43145E+16  3.36022E-54
 5.43055E+16  3.46364E-54
 5.42964E+16  3.57021E-54
 5.42873E+16  3.67994E-54
 5.42783E+16  3.79357E-54
 5.42692E+16  3.91073E-54
 5.42602E+16  4.03141E-54
 5.42511E+16  4.15544E-54
 5.42421E+16  4.28318E-54
 5.42330E+16  4.41481E-54
 5.42240E+16  4.55110E-54
 5.42150E+16  4.69146E-54
 5.42059E+16  4.83610E-54
 5.41969E+16  4.98482E-54
 5.41878E+16  5.13781E-54
 5.41788E+16  5.29581E-54
 5.41698E+16  5.45901E-54
 5.41607E+16  5.62741E-54
 5.41517E+16  5.80083E-54
 5.41427E+16  5.97888E-54
 5.41336E+16  6.16251E-54
 5.41246E+16  6.35189E-54
 5.41156E+16  6.54740E-54
 5.41066E+16  6.74922E-54
 5.40975E+16  6.95680E-54
 5.40885E+16  7.17031E-54
 5.40795E+16  7.39033E-54
 5.40705E+16  7.61740E-54
 5.40614E+16  7.85209E-54
 5.40524E+16  8.09383E-54
 5.40434E+16  8.34262E-54
 5.40344E+16  8.59829E-54
 5.40254E+16  8.86194E-54
 5.40164E+16  9.13431E-54
 5.40074E+16  9.41541E-54
 5.39984E+16  9.70524E-54
 5.39894E+16  1.00032E-53
 5.39804E+16  1.03096E-53
 5.39713E+16  1.06256E-53
 5.39623E+16  1.09518E-53
 5.39533E+16  1.12888E-53
 5.39443E+16  1.16360E-53
 5.39354E+16  1.19929E-53
 5.39264E+16  1.23597E-53
 5.39174E+16  1.27385E-53
 5.39084E+16  1.31297E-53
 5.38994E+16  1.35333E-53
 5.38904E+16  1.39491E-53
 5.38814E+16  1.43765E-53
 5.38724E+16  1.48161E-53
 5.38634E+16  1.52699E-53
 5.38544E+16  1.57389E-53
 5.38455E+16  1.62224E-53
 5.38365E+16  1.67203E-53
 5.38275E+16  1.72319E-53
 5.38185E+16  1.77586E-53
 5.38096E+16  1.83024E-53
 5.38006E+16  1.88639E-53
 5.37916E+16  1.94432E-53
 5.37826E+16  2.00392E-53
 5.37737E+16  2.06519E-53
 5.37647E+16  2.12831E-53
 5.37557E+16  2.19348E-53
 5.37468E+16  2.26069E-53
 5.37378E+16  2.33013E-53
 5.37288E+16  2.40143E-53
 5.37199E+16  2.47477E-53
 5.37109E+16  2.55034E-53
 5.37020E+16  2.62850E-53
 5.36930E+16  2.70908E-53
 5.36840E+16  2.79208E-53
 5.36751E+16  2.87748E-53
 5.36661E+16  2.96530E-53
 5.36572E+16  3.05591E-53
 5.36482E+16  3.14930E-53
 5.36393E+16  3.24585E-53
 5.36303E+16  3.34518E-53
 5.36214E+16  3.44748E-53
 5.36124E+16  3.55257E-53
 5.36035E+16  3.66100E-53
 5.35946E+16  3.77296E-53
 5.35856E+16  3.88845E-53
 5.35767E+16  4.00746E-53
 5.35678E+16  4.12963E-53
 5.35588E+16  4.25551E-53
 5.35499E+16  4.38529E-53
 5.35410E+16  4.51935E-53
 5.35320E+16  4.65767E-53
 5.35231E+16  4.79989E-53
 5.35142E+16  4.94620E-53
 5.35052E+16  5.09677E-53
 5.34963E+16  5.25236E-53
 5.34874E+16  5.41297E-53
 5.34785E+16  5.57840E-53
 5.34696E+16  5.74865E-53
 5.34606E+16  5.92374E-53
 5.34517E+16  6.10402E-53
 5.34428E+16  6.29025E-53
 5.34339E+16  6.48241E-53
 5.34250E+16  6.68052E-53
 5.34161E+16  6.88420E-53
 5.34072E+16  7.09363E-53
 5.33983E+16  7.30938E-53
 5.33894E+16  7.53237E-53
 5.33805E+16  7.76241E-53
 5.33716E+16  7.99951E-53
 5.33626E+16  8.24292E-53
 5.33538E+16  8.49338E-53
 5.33448E+16  8.75183E-53
 5.33360E+16  9.01883E-53
 5.33271E+16  9.29417E-53
 5.33182E+16  9.57769E-53
 5.33093E+16  9.86881E-53
 5.33004E+16  1.01685E-52
 5.32915E+16  1.04778E-52
 5.32826E+16  1.07975E-52
 5.32737E+16  1.11269E-52
 5.32648E+16  1.14657E-52
 5.32560E+16  1.18139E-52
 5.32471E+16  1.21726E-52
 5.32382E+16  1.25430E-52
 5.32293E+16  1.29255E-52
 5.32204E+16  1.33195E-52
 5.32116E+16  1.37246E-52
 5.32027E+16  1.41410E-52
 5.31938E+16  1.45701E-52
 5.31849E+16  1.50135E-52
 5.31761E+16  1.54710E-52
 5.31672E+16  1.59422E-52
 5.31583E+16  1.64264E-52
 5.31495E+16  1.69242E-52
 5.31406E+16  1.74378E-52
 5.31317E+16  1.79682E-52
 5.31229E+16  1.85156E-52
 5.31140E+16  1.90792E-52
 5.31052E+16  1.96585E-52
 5.30963E+16  2.02527E-52
 5.30874E+16  2.08672E-52
 5.30786E+16  2.15022E-52
 5.30697E+16  2.21576E-52
 5.30609E+16  2.28297E-52
 5.30520E+16  2.35223E-52
 5.30432E+16  2.42334E-52
 5.30343E+16  2.49686E-52
 5.30255E+16  2.57280E-52
 5.30166E+16  2.65115E-52
 5.30078E+16  2.73155E-52
 5.29990E+16  2.81417E-52
 5.29901E+16  2.89939E-52
 5.29813E+16  2.98740E-52
 5.29725E+16  3.07819E-52
 5.29636E+16  3.17177E-52
 5.29548E+16  3.26776E-52
 5.29460E+16  3.36672E-52
 5.29371E+16  3.46846E-52
 5.29283E+16  3.57374E-52
 5.29195E+16  3.68217E-52
 5.29106E+16  3.79394E-52
 5.29018E+16  3.90887E-52
 5.28930E+16  4.02695E-52
 5.28842E+16  4.14875E-52
 5.28754E+16  4.27464E-52
 5.28665E+16  4.40423E-52
 5.28577E+16  4.53791E-52
 5.28489E+16  4.67512E-52
 5.28401E+16  4.81623E-52
 5.28313E+16  4.96198E-52
 5.28225E+16  5.11237E-52
 5.28136E+16  5.26740E-52
 5.28048E+16  5.42689E-52
 5.27960E+16  5.59084E-52
 5.27872E+16  5.75961E-52
 5.27784E+16  5.93376E-52
 5.27696E+16  6.11349E-52
 5.27608E+16  6.29879E-52
 5.27520E+16  6.48947E-52
 5.27432E+16  6.68516E-52
 5.27344E+16  6.88680E-52
 5.27256E+16  7.09512E-52
 5.27168E+16  7.30994E-52
 5.27080E+16  7.53144E-52
 5.26993E+16  7.75907E-52
 5.26905E+16  7.99282E-52
 5.26817E+16  8.23382E-52
 5.26729E+16  8.48262E-52
 5.26641E+16  8.73939E-52
 5.26553E+16  9.00397E-52
 5.26466E+16  9.27579E-52
 5.26378E+16  9.55503E-52
 5.26290E+16  9.84301E-52
 5.26202E+16  1.01404E-51
 5.26114E+16  1.04474E-51
 5.26027E+16  1.07632E-51
 5.25939E+16  1.10879E-51
 5.25851E+16  1.14216E-51
 5.25763E+16  1.17656E-51
 5.25676E+16  1.21210E-51
 5.25588E+16  1.24875E-51
 5.25500E+16  1.28649E-51
 5.25413E+16  1.32524E-51
 5.25325E+16  1.36509E-51
 5.25238E+16  1.40621E-51
 5.25150E+16  1.44866E-51
 5.25062E+16  1.49246E-51
 5.24975E+16  1.53750E-51
 5.24887E+16  1.58377E-51
 5.24800E+16  1.63137E-51
 5.24712E+16  1.68050E-51
 5.24625E+16  1.73121E-51
 5.24537E+16  1.78351E-51
 5.24450E+16  1.83728E-51
 5.24362E+16  1.89251E-51
 5.24275E+16  1.94933E-51
 5.24187E+16  2.00800E-51
 5.24100E+16  2.06871E-51
 5.24012E+16  2.13110E-51
 5.23925E+16  2.19515E-51
 5.23838E+16  2.26125E-51
 5.23750E+16  2.32902E-51
 5.23663E+16  2.39920E-51
 5.23576E+16  2.47143E-51
 5.23488E+16  2.54607E-51
 5.23401E+16  2.62256E-51
 5.23314E+16  2.70128E-51
 5.23226E+16  2.78242E-51
 5.23139E+16  2.86616E-51
 5.23052E+16  2.95249E-51
 5.22965E+16  3.04143E-51
 5.22877E+16  3.13296E-51
 5.22790E+16  3.22672E-51
 5.22703E+16  3.32364E-51
 5.22616E+16  3.42353E-51
 5.22529E+16  3.52676E-51
 5.22442E+16  3.63297E-51
 5.22354E+16  3.74195E-51
 5.22267E+16  3.85410E-51
 5.22180E+16  3.96958E-51
 5.22093E+16  4.08897E-51
 5.22006E+16  4.21207E-51
 5.21919E+16  4.33888E-51
 5.21832E+16  4.46903E-51
 5.21745E+16  4.60271E-51
 5.21658E+16  4.74066E-51
 5.21571E+16  4.88307E-51
 5.21484E+16  5.03012E-51
 5.21397E+16  5.18125E-51
 5.21310E+16  5.33647E-51
 5.21223E+16  5.49615E-51
 5.21136E+16  5.66083E-51
 5.21049E+16  5.83090E-51
 5.20962E+16  6.00618E-51
 5.20875E+16  6.18664E-51
 5.20788E+16  6.37194E-51
 5.20702E+16  6.56225E-51
 5.20615E+16  6.75887E-51
 5.20528E+16  6.96181E-51
 5.20441E+16  7.17106E-51
 5.20354E+16  7.38606E-51
 5.20268E+16  7.60701E-51
 5.20181E+16  7.83445E-51
 5.20094E+16  8.06895E-51
 5.20007E+16  8.31106E-51
 5.19921E+16  8.56060E-51
 5.19834E+16  8.81719E-51
 5.19747E+16  9.08084E-51
 5.19660E+16  9.35191E-51
 5.19574E+16  9.63172E-51
 5.19487E+16  9.92080E-51
 5.19400E+16  1.02184E-50
 5.19314E+16  1.05244E-50
 5.19227E+16  1.08387E-50
 5.19141E+16  1.11622E-50
 5.19054E+16  1.14960E-50
 5.18968E+16  1.18408E-50
 5.18881E+16  1.21958E-50
 5.18794E+16  1.25606E-50
 5.18708E+16  1.29355E-50
 5.18621E+16  1.33213E-50
 5.18535E+16  1.37196E-50
 5.18448E+16  1.41306E-50
 5.18362E+16  1.45540E-50
 5.18276E+16  1.49892E-50
 5.18189E+16  1.54361E-50
 5.18103E+16  1.58962E-50
 5.18016E+16  1.63713E-50
 5.17930E+16  1.68614E-50
 5.17843E+16  1.73663E-50
 5.17757E+16  1.78850E-50
 5.17671E+16  1.84177E-50
 5.17584E+16  1.89660E-50
 5.17498E+16  1.95323E-50
 5.17412E+16  2.01171E-50
 5.17325E+16  2.07187E-50
 5.17239E+16  2.13388E-50
 5.17153E+16  2.19738E-50
 5.17067E+16  2.26274E-50
 5.16980E+16  2.33032E-50
 5.16894E+16  2.39995E-50
 5.16808E+16  2.47180E-50
 5.16722E+16  2.54551E-50
 5.16636E+16  2.62108E-50
 5.16549E+16  2.69924E-50
 5.16463E+16  2.77964E-50
 5.16377E+16  2.86282E-50
 5.16291E+16  2.94841E-50
 5.16205E+16  3.03623E-50
 5.16119E+16  3.12646E-50
 5.16033E+16  3.21930E-50
 5.15947E+16  3.31529E-50
 5.15861E+16  3.41425E-50
 5.15775E+16  3.51600E-50
 5.15689E+16  3.62053E-50
 5.15603E+16  3.72803E-50
 5.15517E+16  3.83906E-50
 5.15431E+16  3.95343E-50
 5.15345E+16  4.07133E-50
 5.15259E+16  4.19257E-50
 5.15173E+16  4.31715E-50
 5.15087E+16  4.44526E-50
 5.15001E+16  4.57765E-50
