 CMFGEN: observer frame O-star fluxes
 OStar Grid 2009, 15km/s vturb
 T    :    30.000  kK,    Logg :    4.000 cm/s^2
 Reff :     6.579  R0,    L    :  3.163E+04 L0 
 Mdot :  1.373E-08 M0/yr,  Vinf :  2479.600 km/s
 Frequency         Hnu
 (Hz)              (ergs/s/cm2/Hz/sr)
 7.79959E+16  1.00887E-60
 7.79829E+16  1.03473E-60
 7.79699E+16  1.06143E-60
 7.79569E+16  1.08869E-60
 7.79439E+16  1.11637E-60
 7.79309E+16  1.14459E-60
 7.79179E+16  1.17365E-60
 7.79049E+16  1.20380E-60
 7.78919E+16  1.23483E-60
 7.78789E+16  1.26642E-60
 7.78659E+16  1.29851E-60
 7.78529E+16  1.33130E-60
 7.78399E+16  1.36515E-60
 7.78270E+16  1.40027E-60
 7.78140E+16  1.43626E-60
 7.78010E+16  1.47289E-60
 7.77880E+16  1.51009E-60
 7.77750E+16  1.54820E-60
 7.77621E+16  1.58772E-60
 7.77491E+16  1.62854E-60
 7.77361E+16  1.67032E-60
 7.77232E+16  1.71269E-60
 7.77102E+16  1.75587E-60
 7.76972E+16  1.80025E-60
 7.76843E+16  1.84629E-60
 7.76713E+16  1.89373E-60
 7.76584E+16  1.94213E-60
 7.76454E+16  1.99123E-60
 7.76325E+16  2.04135E-60
 7.76195E+16  2.09302E-60
 7.76066E+16  2.14663E-60
 7.75936E+16  2.20172E-60
 7.75807E+16  2.25776E-60
 7.75678E+16  2.31467E-60
 7.75548E+16  2.37290E-60
 7.75419E+16  2.43309E-60
 7.75290E+16  2.49544E-60
 7.75160E+16  2.55933E-60
 7.75031E+16  2.62424E-60
 7.74902E+16  2.69022E-60
 7.74772E+16  2.75791E-60
 7.74643E+16  2.82804E-60
 7.74514E+16  2.90049E-60
 7.74385E+16  2.97453E-60
 7.74256E+16  3.04966E-60
 7.74127E+16  3.12620E-60
 7.73998E+16  3.20496E-60
 7.73868E+16  3.28660E-60
 7.73739E+16  3.37075E-60
 7.73610E+16  3.45648E-60
 7.73481E+16  3.54337E-60
 7.73352E+16  3.63213E-60
 7.73223E+16  3.72406E-60
 7.73094E+16  3.81881E-60
 7.72965E+16  3.91638E-60
 7.72836E+16  4.01570E-60
 7.72708E+16  4.11644E-60
 7.72579E+16  4.21964E-60
 7.72450E+16  4.32637E-60
 7.72321E+16  4.43696E-60
 7.72192E+16  4.55003E-60
 7.72064E+16  4.66485E-60
 7.71935E+16  4.78144E-60
 7.71806E+16  4.90155E-60
 7.71677E+16  5.02553E-60
 7.71548E+16  5.15374E-60
 7.71420E+16  5.28477E-60
 7.71291E+16  5.41791E-60
 7.71163E+16  5.55316E-60
 7.71034E+16  5.69264E-60
 7.70905E+16  5.83705E-60
 7.70777E+16  5.98569E-60
 7.70648E+16  6.13750E-60
 7.70520E+16  6.29142E-60
 7.70391E+16  6.44816E-60
 7.70263E+16  6.61019E-60
 7.70134E+16  6.77820E-60
 7.70006E+16  6.95079E-60
 7.69877E+16  7.12619E-60
 7.69749E+16  7.30442E-60
 7.69621E+16  7.48652E-60
 7.69492E+16  7.67496E-60
 7.69364E+16  7.87009E-60
