 CMFGEN: observer frame O-star fluxes
 OStar Grid 2009, 15km/s vturb
 T    :    40.000  kK,    Logg :    4.000 cm/s^2
 Reff :    12.113  R0,    L    :  3.388E+05 L0 
 Mdot :  1.320E-06 M0/yr,  Vinf :  3020.000 km/s
 Frequency         Hnu
 (Hz)              (ergs/s/cm2/Hz/sr)
 1.10357E+17  1.00600E-60
 1.10339E+17  1.02997E-60
 1.10320E+17  1.05467E-60
 1.10302E+17  1.08040E-60
 1.10284E+17  1.10718E-60
 1.10265E+17  1.13428E-60
 1.10247E+17  1.16148E-60
 1.10228E+17  1.18910E-60
 1.10210E+17  1.21768E-60
 1.10192E+17  1.24751E-60
 1.10173E+17  1.27830E-60
 1.10155E+17  1.30930E-60
 1.10136E+17  1.34051E-60
 1.10118E+17  1.37235E-60
 1.10100E+17  1.40546E-60
 1.10081E+17  1.44004E-60
 1.10063E+17  1.47536E-60
 1.10045E+17  1.51089E-60
 1.10026E+17  1.54674E-60
 1.10008E+17  1.58354E-60
 1.09990E+17  1.62192E-60
 1.09971E+17  1.66188E-60
 1.09953E+17  1.70247E-60
 1.09935E+17  1.74317E-60
 1.09916E+17  1.78439E-60
 1.09898E+17  1.82699E-60
 1.09880E+17  1.87159E-60
 1.09861E+17  1.91766E-60
 1.09843E+17  1.96416E-60
 1.09825E+17  2.01076E-60
 1.09806E+17  2.05831E-60
 1.09788E+17  2.10766E-60
 1.09770E+17  2.15922E-60
 1.09751E+17  2.21225E-60
 1.09733E+17  2.26549E-60
 1.09715E+17  2.31916E-60
 1.09696E+17  2.37399E-60
 1.09678E+17  2.43113E-60
 1.09660E+17  2.49081E-60
 1.09642E+17  2.55165E-60
 1.09623E+17  2.61269E-60
 1.09605E+17  2.67427E-60
 1.09587E+17  2.73774E-60
 1.09568E+17  2.80406E-60
 1.09550E+17  2.87291E-60
 1.09532E+17  2.94260E-60
 1.09514E+17  3.01251E-60
 1.09495E+17  3.08346E-60
 1.09477E+17  3.15685E-60
 1.09459E+17  3.23360E-60
 1.09441E+17  3.31289E-60
 1.09422E+17  3.39281E-60
 1.09404E+17  3.47305E-60
 1.09386E+17  3.55476E-60
 1.09368E+17  3.63974E-60
 1.09349E+17  3.72852E-60
 1.09331E+17  3.81961E-60
 1.09313E+17  3.91113E-60
 1.09295E+17  4.00318E-60
 1.09276E+17  4.09754E-60
 1.09258E+17  4.19591E-60
 1.09240E+17  4.29850E-60
 1.09222E+17  4.40299E-60
 1.09204E+17  4.50790E-60
 1.09185E+17  4.61376E-60
 1.09167E+17  4.72267E-60
 1.09149E+17  4.83654E-60
 1.09131E+17  4.95484E-60
 1.09112E+17  5.07461E-60
 1.09094E+17  5.19481E-60
 1.09076E+17  5.31648E-60
 1.09058E+17  5.44248E-60
 1.09040E+17  5.57427E-60
 1.09022E+17  5.71039E-60
 1.09003E+17  5.84756E-60
 1.08985E+17  5.98537E-60
 1.08967E+17  6.12560E-60
 1.08949E+17  6.27131E-60
 1.08931E+17  6.42356E-60
 1.08912E+17  6.57992E-60
 1.08894E+17  6.73712E-60
 1.08876E+17  6.89517E-60
 1.08858E+17  7.05680E-60
 1.08840E+17  7.22539E-60
 1.08822E+17  7.40116E-60
 1.08804E+17  7.58061E-60
 1.08785E+17  7.76059E-60
 1.08767E+17  7.94215E-60
 1.08749E+17  8.12866E-60
 1.08731E+17  8.32351E-60
 1.08713E+17  8.52626E-60
 1.08695E+17  8.73186E-60
 1.08677E+17  8.93809E-60
 1.08658E+17  9.14675E-60
 1.08640E+17  9.36205E-60
 1.08622E+17  9.58736E-60
 1.08604E+17  9.82059E-60
 1.08586E+17  1.00562E-59
 1.08568E+17  1.02926E-59
 1.08550E+17  1.05326E-59
 1.08532E+17  1.07808E-59
 1.08514E+17  1.10412E-59
 1.08496E+17  1.13101E-59
 1.08477E+17  1.15789E-59
 1.08459E+17  1.18510E-59
 1.08441E+17  1.21272E-59
 1.08423E+17  1.24140E-59
 1.08405E+17  1.27145E-59
 1.08387E+17  1.30223E-59
 1.08369E+17  1.33313E-59
 1.08351E+17  1.36423E-59
 1.08333E+17  1.39607E-59
 1.08315E+17  1.42928E-59
 1.08297E+17  1.46387E-59
 1.08279E+17  1.49908E-59
 1.08260E+17  1.53451E-59
 1.08242E+17  1.57025E-59
 1.08224E+17  1.60694E-59
 1.08206E+17  1.64522E-59
 1.08188E+17  1.68507E-59
 1.08170E+17  1.72556E-59
 1.08152E+17  1.76605E-59
 1.08134E+17  1.80706E-59
 1.08116E+17  1.84945E-59
 1.08098E+17  1.89373E-59
 1.08080E+17  1.93949E-59
 1.08062E+17  1.98577E-59
 1.08044E+17  2.03227E-59
 1.08026E+17  2.07940E-59
 1.08008E+17  2.12822E-59
 1.07990E+17  2.17935E-59
 1.07972E+17  2.23197E-59
 1.07954E+17  2.28500E-59
 1.07936E+17  2.33824E-59
 1.07918E+17  2.39244E-59
 1.07900E+17  2.44874E-59
 1.07882E+17  2.50768E-59
 1.07864E+17  2.56809E-59
 1.07846E+17  2.62883E-59
 1.07828E+17  2.68987E-59
 1.07810E+17  2.75218E-59
 1.07792E+17  2.81713E-59
 1.07774E+17  2.88503E-59
 1.07756E+17  2.95430E-59
 1.07738E+17  3.02379E-59
 1.07720E+17  3.09380E-59
 1.07702E+17  3.16560E-59
 1.07684E+17  3.24056E-59
 1.07666E+17  3.31858E-59
 1.07648E+17  3.39798E-59
 1.07630E+17  3.47769E-59
 1.07612E+17  3.55803E-59
 1.07594E+17  3.64069E-59
 1.07576E+17  3.72715E-59
 1.07558E+17  3.81687E-59
 1.07541E+17  3.90776E-59
 1.07523E+17  3.99896E-59
 1.07505E+17  4.09122E-59
 1.07487E+17  4.18642E-59
 1.07469E+17  4.28606E-59
 1.07451E+17  4.38918E-59
 1.07433E+17  4.49335E-59
 1.07415E+17  4.59783E-59
 1.07397E+17  4.70369E-59
 1.07379E+17  4.81334E-59
 1.07361E+17  4.92816E-59
 1.07344E+17  5.04646E-59
 1.07326E+17  5.16571E-59
 1.07308E+17  5.28549E-59
 1.07290E+17  5.40716E-59
 1.07272E+17  5.53347E-59
 1.07254E+17  5.66558E-59
 1.07236E+17  5.80128E-59
 1.07218E+17  5.93782E-59
 1.07200E+17  6.07499E-59
 1.07182E+17  6.21490E-59
 1.07165E+17  6.36030E-59
 1.07147E+17  6.51233E-59
 1.07129E+17  6.66796E-59
 1.07111E+17  6.82432E-59
 1.07093E+17  6.98152E-59
 1.07075E+17  7.14210E-59
 1.07057E+17  7.30943E-59
 1.07040E+17  7.48392E-59
 1.07022E+17  7.66200E-59
 1.07004E+17  7.84072E-59
 1.06986E+17  8.02101E-59
 1.06968E+17  8.20637E-59
 1.06950E+17  8.39974E-59
 1.06932E+17  8.60048E-59
 1.06915E+17  8.80387E-59
 1.06897E+17  9.00799E-59
 1.06879E+17  9.21475E-59
 1.06861E+17  9.42837E-59
 1.06843E+17  9.65157E-59
 1.06826E+17  9.88184E-59
 1.06808E+17  1.01140E-58
 1.06790E+17  1.03472E-58
 1.06772E+17  1.05847E-58
 1.06754E+17  1.08314E-58
 1.06736E+17  1.10887E-58
 1.06719E+17  1.13522E-58
 1.06701E+17  1.16169E-58
 1.06683E+17  1.18836E-58
 1.06665E+17  1.21567E-58
 1.06648E+17  1.24414E-58
 1.06630E+17  1.27377E-58
 1.06612E+17  1.30392E-58
 1.06594E+17  1.33408E-58
 1.06576E+17  1.36465E-58
 1.06559E+17  1.39607E-58
 1.06541E+17  1.42886E-58
 1.06523E+17  1.46292E-58
 1.06505E+17  1.49729E-58
 1.06488E+17  1.53187E-58
 1.06470E+17  1.56688E-58
 1.06452E+17  1.60304E-58
 1.06434E+17  1.64089E-58
 1.06416E+17  1.67990E-58
 1.06399E+17  1.71913E-58
 1.06381E+17  1.75867E-58
 1.06363E+17  1.79884E-58
 1.06346E+17  1.84048E-58
 1.06328E+17  1.88413E-58
 1.06310E+17  1.92873E-58
 1.06292E+17  1.97354E-58
 1.06275E+17  2.01867E-58
 1.06257E+17  2.06485E-58
 1.06239E+17  2.11293E-58
 1.06221E+17  2.16301E-58
 1.06204E+17  2.21404E-58
 1.06186E+17  2.26518E-58
 1.06168E+17  2.31684E-58
 1.06151E+17  2.36988E-58
 1.06133E+17  2.42533E-58
 1.06115E+17  2.48280E-58
 1.06098E+17  2.54100E-58
 1.06080E+17  2.59941E-58
 1.06062E+17  2.65856E-58
 1.06044E+17  2.71971E-58
 1.06027E+17  2.78360E-58
 1.06009E+17  2.84950E-58
 1.05991E+17  2.91593E-58
 1.05974E+17  2.98256E-58
 1.05956E+17  3.05046E-58
 1.05938E+17  3.12079E-58
 1.05921E+17  3.19428E-58
 1.05903E+17  3.26966E-58
 1.05885E+17  3.34547E-58
 1.05868E+17  3.42170E-58
 1.05850E+17  3.49951E-58
 1.05832E+17  3.58059E-58
 1.05815E+17  3.66505E-58
 1.05797E+17  3.75119E-58
 1.05779E+17  3.83775E-58
 1.05762E+17  3.92484E-58
 1.05744E+17  4.01425E-58
 1.05726E+17  4.10756E-58
 1.05709E+17  4.20445E-58
 1.05691E+17  4.30293E-58
 1.05674E+17  4.40162E-58
 1.05656E+17  4.50136E-58
 1.05638E+17  4.60416E-58
 1.05621E+17  4.71149E-58
 1.05603E+17  4.82262E-58
 1.05586E+17  4.93491E-58
 1.05568E+17  5.04762E-58
 1.05550E+17  5.16181E-58
 1.05533E+17  5.28000E-58
 1.05515E+17  5.40347E-58
 1.05498E+17  5.53062E-58
 1.05480E+17  5.65883E-58
 1.05462E+17  5.78746E-58
 1.05445E+17  5.91841E-58
 1.05427E+17  6.05432E-58
 1.05410E+17  6.19613E-58
 1.05392E+17  6.34163E-58
 1.05374E+17  6.48777E-58
 1.05357E+17  6.63474E-58
 1.05339E+17  6.78488E-58
 1.05322E+17  6.94114E-58
 1.05304E+17  7.10404E-58
 1.05286E+17  7.27010E-58
 1.05269E+17  7.43690E-58
 1.05251E+17  7.60486E-58
 1.05234E+17  7.77714E-58
 1.05216E+17  7.95670E-58
 1.05199E+17  8.14353E-58
 1.05181E+17  8.33310E-58
 1.05164E+17  8.52331E-58
 1.05146E+17  8.71541E-58
 1.05129E+17  8.91310E-58
 1.05111E+17  9.11965E-58
 1.05094E+17  9.33347E-58
 1.05076E+17  9.54993E-58
 1.05058E+17  9.76702E-58
 1.05041E+17  9.98675E-58
 1.05023E+17  1.02138E-57
 1.05006E+17  1.04509E-57
 1.04988E+17  1.06954E-57
 1.04971E+17  1.09421E-57
 1.04953E+17  1.11899E-57
 1.04936E+17  1.14419E-57
 1.04918E+17  1.17023E-57
 1.04901E+17  1.19743E-57
 1.04883E+17  1.22548E-57
 1.04866E+17  1.25363E-57
 1.04848E+17  1.28189E-57
 1.04831E+17  1.31067E-57
 1.04813E+17  1.34061E-57
 1.04796E+17  1.37182E-57
 1.04778E+17  1.40387E-57
 1.04761E+17  1.43593E-57
 1.04744E+17  1.46830E-57
 1.04726E+17  1.50130E-57
 1.04709E+17  1.53567E-57
 1.04691E+17  1.57141E-57
 1.04674E+17  1.60789E-57
 1.04656E+17  1.64458E-57
 1.04639E+17  1.68149E-57
