 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 0.40 Teff 34.60 logg 3.30 R/R0 24.64 R 1.7137E+12
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 5.00000000E+01 5.90399970E-47
 5.44728350E+01 1.09940110E-45
 5.98245410E+01 6.98662400E-45
 6.63423760E+01 1.48240470E-44
 6.87842880E+01 1.59678860E-44
 7.14128330E+01 1.67285390E-44
 7.28039090E+01 1.72420020E-44
 7.42502560E+01 1.87425990E-44
 7.42530130E+01 1.51064980E-44
 8.06599260E+01 1.98976300E-43
 8.50000000E+01 6.45735220E-41
 8.82807830E+01 3.54171410E-39
 9.35000000E+01 1.14845660E-36
 9.74919540E+01 6.23227730E-35
 1.02858030E+02 8.07143840E-33
 1.08849220E+02 1.02031910E-30
 1.08849820E+02 1.02077920E-30
 1.11066990E+02 5.32446160E-30
 1.13377010E+02 2.76744480E-29
 1.13377660E+02 2.76868660E-29
 1.14859780E+02 7.68134930E-29
 1.16381840E+02 2.12835000E-28
 1.17944790E+02 5.88658660E-28
 1.18742110E+02 9.78294180E-28
 1.19550290E+02 1.62505200E-27
 1.19551000E+02 1.62577620E-27
 1.21713390E+02 6.10040590E-27
 1.23956210E+02 2.28211400E-26
 1.23956980E+02 2.21977060E-26
 1.25291800E+02 4.75211860E-26
 1.26656480E+02 1.01652310E-25
 1.26657280E+02 1.01697230E-25
 1.26797720E+02 1.09865020E-25
 1.26798530E+02 1.09677490E-25
 1.27081660E+02 1.28088970E-25
 1.27082470E+02 1.27923030E-25
 1.27447660E+02 1.56098830E-25
 1.27448480E+02 1.56167710E-25
 1.27944040E+02 2.04198140E-25
 1.27944860E+02 2.04202870E-25
 1.28310670E+02 2.48546370E-25
 1.28311500E+02 2.48515410E-25
 1.29932340E+02 5.85152390E-25
 1.31595520E+02 1.37605470E-24
 1.31596380E+02 1.37665910E-24
 1.33462550E+02 3.49646380E-24
 1.35383330E+02 8.86547520E-24
 1.35384240E+02 8.86935120E-24
 1.37200850E+02 2.08356930E-23
 1.39067840E+02 4.88770770E-23
 1.39068810E+02 4.88983540E-23
 1.40058470E+02 7.60770340E-23
 1.41063320E+02 1.18352570E-22
 1.41064320E+02 1.18403970E-22
 1.41853670E+02 1.66750340E-22
 1.41854680E+02 1.66822690E-22
 1.43685140E+02 3.63309580E-22
 1.45564520E+02 7.90247440E-22
 1.45565580E+02 7.90588860E-22
 1.47707840E+02 1.86767290E-21
 1.49915230E+02 4.40462080E-21
 1.52189590E+02 1.03647800E-20
 1.53352840E+02 1.58861170E-20
 1.54534020E+02 2.43345890E-20
 1.54535210E+02 2.43821540E-20
 1.55996320E+02 4.09160410E-20
 1.57486560E+02 6.86294840E-20
 1.57487800E+02 6.86570530E-20
 1.58750220E+02 1.05524750E-19
 1.60034310E+02 1.62152070E-19
 1.60035590E+02 1.62371830E-19
