 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 0.05 Teff 25.00 logg 4.00 R/R0 7.07 R 4.9172E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 2.52873120E+02 7.05051840E-14
 2.53297040E+02 7.25635040E-14
 2.53300250E+02 7.25773770E-14
 2.53366320E+02 7.29008400E-14
 2.53860480E+02 7.43600230E-14
 2.54355610E+02 6.71500450E-14
 2.54600830E+02 7.23918600E-14
 2.54604070E+02 7.17549180E-14
 2.54851700E+02 7.72246690E-14
 2.55348760E+02 8.03519120E-14
 2.55846790E+02 1.45196440E-15
 2.56345790E+02 1.01457980E-13
 2.56735220E+02 1.04508260E-13
 2.56845760E+02 1.05386160E-13
 2.57346710E+02 1.09747960E-13
 2.57848640E+02 1.17164880E-13
 2.58351550E+02 1.22749370E-13
 2.58855430E+02 1.29626300E-13
 2.58905710E+02 1.30183940E-13
 2.58909060E+02 1.24839490E-13
 2.59360300E+02 1.29755040E-13
 2.59866150E+02 1.33914500E-13
 2.60372990E+02 1.41700640E-13
 2.60880820E+02 1.59402280E-13
 2.61010740E+02 1.58922390E-13
 2.61014140E+02 1.59035620E-13
 2.61378120E+02 1.57462660E-13
 2.61381530E+02 1.26096030E-13
 2.61389640E+02 1.26064750E-13
 2.61899450E+02 1.01092890E-13
 2.62410260E+02 1.03828950E-13
 2.62922060E+02 1.40341300E-13
 2.63434860E+02 9.36491890E-14
 2.63948660E+02 1.61220800E-13
 2.64463470E+02 3.22655440E-13
 2.64575530E+02 3.32453300E-13
 2.64979270E+02 3.69195610E-13
 2.65496090E+02 1.95649790E-13
 2.66013910E+02 2.03861150E-13
 2.66532740E+02 8.57383410E-14
 2.67052580E+02 3.51498290E-13
 2.67573440E+02 2.75158930E-13
 2.67852140E+02 2.65664330E-13
 2.68095310E+02 2.56796340E-13
 2.68618200E+02 2.61496760E-13
 2.69142110E+02 2.67306350E-13
 2.69667040E+02 2.83493630E-13
 2.70193000E+02 3.20927980E-13
 2.70719980E+02 3.29066300E-13
 2.71210930E+02 3.37121820E-13
 2.71247990E+02 3.37729310E-13
 2.71777030E+02 3.59711890E-13
 2.72307100E+02 3.82661560E-13
 2.72838200E+02 4.01650820E-13
 2.72922110E+02 4.04379530E-13
 2.73370350E+02 4.19232430E-13
 2.73903520E+02 4.38512930E-13
 2.74437740E+02 4.41618450E-13
 2.74655030E+02 4.25339470E-13
 2.74658800E+02 3.75771070E-13
 2.74973000E+02 3.53682020E-13
 2.75509310E+02 6.63470240E-13
 2.76046660E+02 4.95737270E-13
 2.76585060E+02 4.73815920E-13
 2.77124500E+02 4.48504450E-13
 2.77383510E+02 5.03562480E-13
 2.77665010E+02 5.65979640E-13
 2.78206560E+02 5.84581130E-13
 2.78749170E+02 5.94286760E-13
 2.79292840E+02 6.13208260E-13
 2.79837570E+02 6.80290210E-13
 2.80166740E+02 6.86081450E-13
 2.80170670E+02 7.07204210E-13
 2.80383360E+02 7.10956450E-13
 2.80930220E+02 7.74477550E-13
 2.81478140E+02 7.92142050E-13
 2.82027140E+02 2.39236160E-12
 2.82577200E+02 8.64610280E-13
 2.83128330E+02 8.14685270E-13
 2.83305060E+02 8.69762580E-13
 2.83680540E+02 9.91629770E-13
 2.84233830E+02 1.03148300E-12
 2.84788200E+02 1.06482860E-12
 2.85343650E+02 1.13060190E-12
 2.85900180E+02 1.31300600E-12
 2.86457800E+02 1.24620400E-12
 2.86514480E+02 1.25231710E-12
 2.86518580E+02 1.25255830E-12
 2.87016500E+02 1.30745510E-12
 2.87576290E+02 1.34161020E-12
 2.88137180E+02 1.54121470E-12
 2.88699160E+02 1.56013800E-12
 2.89262230E+02 1.58453450E-12
 2.89826410E+02 1.65538690E-12
 2.90391680E+02 1.44621870E-12
 2.90958060E+02 1.61475550E-12
 2.91525540E+02 2.21235930E-12
 2.92094130E+02 1.94972290E-12
 2.92663830E+02 2.93613890E-12
 2.92892620E+02 2.65340610E-12
 2.93234640E+02 2.20971170E-12
 2.93806560E+02 2.29917350E-12
 2.94379600E+02 2.38731670E-12
 2.94953750E+02 2.20911700E-12
 2.95529020E+02 3.65579430E-12
 2.96000000E+02 2.89416480E-12
 2.96105420E+02 2.71542690E-12
 2.96682940E+02 2.79380880E-12
 2.97261590E+02 3.07083450E-12
 2.97841370E+02 3.15685950E-12
 2.98422270E+02 3.31235780E-12
 2.99004310E+02 3.26522340E-12
 2.99561200E+02 3.80012820E-12
 2.99565690E+02 3.74836430E-12
 2.99587490E+02 3.76977890E-12
 3.00171800E+02 3.67087070E-12
 3.00757250E+02 3.82866370E-12
 3.01343850E+02 3.99055020E-12
 3.01931580E+02 4.27388500E-12
 3.02520470E+02 2.60733760E-12
