 TLUSTY Ostars, Lanz & Hubeny 2003
 T 40000. G 3.50000 Abundance P03
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  2.06730E-43
 6.67573E+16  2.14176E-43
 6.67202E+16  2.24530E-43
 6.66831E+16  2.35384E-43
 6.66461E+16  2.46762E-43
 6.66091E+16  2.58691E-43
 6.65721E+16  2.71197E-43
 6.65351E+16  2.84307E-43
 6.64982E+16  2.98050E-43
 6.64612E+16  3.12458E-43
 6.64243E+16  3.27563E-43
 6.63874E+16  3.43398E-43
 6.63506E+16  3.59998E-43
 6.63137E+16  3.77401E-43
 6.62769E+16  3.95645E-43
 6.62401E+16  4.14771E-43
 6.62033E+16  4.34821E-43
 6.61665E+16  4.55841E-43
 6.61298E+16  4.77877E-43
 6.60930E+16  5.00978E-43
 6.60563E+16  5.25196E-43
 6.60196E+16  5.50584E-43
 6.59830E+16  5.77200E-43
 6.59463E+16  6.05103E-43
 6.59097E+16  6.34354E-43
 6.58731E+16  6.65020E-43
 6.58365E+16  6.97168E-43
 6.57999E+16  7.30869E-43
 6.57634E+16  7.66201E-43
 6.57269E+16  8.03240E-43
 6.56904E+16  8.42069E-43
 6.56539E+16  8.82776E-43
 6.56174E+16  9.25450E-43
 6.55810E+16  9.70187E-43
 6.55445E+16  1.01709E-42
 6.55081E+16  1.06625E-42
 6.54718E+16  1.11780E-42
 6.54354E+16  1.17183E-42
 6.53991E+16  1.22848E-42
 6.53627E+16  1.28787E-42
 6.53264E+16  1.35013E-42
 6.52901E+16  1.41539E-42
 6.52539E+16  1.48381E-42
 6.52176E+16  1.55554E-42
 6.51814E+16  1.63074E-42
 6.51452E+16  1.70957E-42
 6.51090E+16  1.79221E-42
 6.50729E+16  1.87885E-42
 6.50367E+16  1.96968E-42
 6.50006E+16  2.06490E-42
 6.49645E+16  2.16471E-42
 6.49284E+16  2.26936E-42
 6.48924E+16  2.37906E-42
 6.48563E+16  2.49407E-42
 6.48203E+16  2.61464E-42
 6.47843E+16  2.74103E-42
 6.47483E+16  2.87354E-42
 6.47124E+16  3.01245E-42
 6.46764E+16  3.15807E-42
 6.46405E+16  3.31074E-42
 6.46046E+16  3.47078E-42
 6.45687E+16  3.63856E-42
 6.45329E+16  3.81445E-42
 6.44970E+16  3.99885E-42
 6.44612E+16  4.19216E-42
 6.44254E+16  4.39481E-42
 6.43896E+16  4.60726E-42
 6.43539E+16  4.82998E-42
 6.43181E+16  5.06347E-42
 6.42824E+16  5.30696E-42
 6.42467E+16  5.55595E-42
 6.42110E+16  5.81677E-42
 6.41753E+16  6.08984E-42
 6.41397E+16  6.37573E-42
 6.41041E+16  6.67504E-42
 6.40685E+16  6.98840E-42
 6.40329E+16  7.31647E-42
 6.39973E+16  7.65994E-42
 6.39618E+16  8.01954E-42
 6.39263E+16  8.39601E-42
 6.38908E+16  8.79016E-42
 6.38553E+16  9.20282E-42
 6.38198E+16  9.63485E-42
 6.37844E+16  1.00872E-41
 6.37489E+16  1.05607E-41
 6.37135E+16  1.10565E-41
 6.36781E+16  1.15755E-41
 6.36428E+16  1.21189E-41
 6.36074E+16  1.26878E-41
 6.35721E+16  1.32835E-41
 6.35368E+16  1.39071E-41
 6.35015E+16  1.45599E-41
 6.34662E+16  1.52435E-41
 6.34310E+16  1.59591E-41
 6.33958E+16  1.67083E-41
 6.33605E+16  1.74926E-41
 6.33254E+16  1.83138E-41
 6.32902E+16  1.91736E-41
 6.32550E+16  2.00737E-41
 6.32199E+16  2.10160E-41
 6.31848E+16  2.20026E-41
 6.31497E+16  2.30355E-41
 6.31146E+16  2.41169E-41
 6.30796E+16  2.52491E-41
 6.30445E+16  2.64344E-41
 6.30095E+16  2.76754E-41
 6.29745E+16  2.89746E-41
 6.29395E+16  3.03348E-41
 6.29046E+16  3.17589E-41
 6.28697E+16  3.32498E-41
 6.28347E+16  3.48108E-41
 6.27998E+16  3.64449E-41
 6.27650E+16  3.81559E-41
 6.27301E+16  3.99471E-41
 6.26953E+16  4.18224E-41
 6.26604E+16  4.37858E-41
 6.26256E+16  4.58413E-41
 6.25909E+16  4.79933E-41
 6.25561E+16  5.02463E-41
 6.25213E+16  5.26052E-41
 6.24866E+16  5.50747E-41
 6.24519E+16  5.76602E-41
 6.24172E+16  6.03671E-41
 6.23826E+16  6.32010E-41
 6.23479E+16  6.61680E-41
 6.23133E+16  6.92742E-41
 6.22787E+16  7.25263E-41
 6.22441E+16  7.59310E-41
 6.22095E+16  7.94956E-41
 6.21750E+16  8.32276E-41
 6.21404E+16  8.71347E-41
 6.21059E+16  9.12252E-41
 6.20714E+16  9.55078E-41
 6.20370E+16  9.99914E-41
 6.20025E+16  1.04686E-40
 6.19681E+16  1.09600E-40
 6.19337E+16  1.14745E-40
 6.18993E+16  1.20132E-40
 6.18649E+16  1.25771E-40
 6.18305E+16  1.31676E-40
 6.17962E+16  1.37867E-40
 6.17619E+16  1.44216E-40
 6.17276E+16  1.50810E-40
 6.16933E+16  1.57706E-40
 6.16590E+16  1.64916E-40
 6.16248E+16  1.72457E-40
 6.15905E+16  1.80342E-40
 6.15563E+16  1.88588E-40
 6.15221E+16  1.97210E-40
 6.14880E+16  2.06227E-40
 6.14538E+16  2.15657E-40
 6.14197E+16  2.25517E-40
 6.13856E+16  2.35828E-40
 6.13515E+16  2.46611E-40
 6.13174E+16  2.57887E-40
 6.12834E+16  2.69678E-40
 6.12493E+16  2.82008E-40
 6.12153E+16  2.94903E-40
 6.11813E+16  3.08386E-40
 6.11473E+16  3.22486E-40
 6.11134E+16  3.37231E-40
 6.10794E+16  3.52651E-40
 6.10455E+16  3.68775E-40
 6.10116E+16  3.85636E-40
 6.09777E+16  4.03268E-40
 6.09438E+16  4.21707E-40
 6.09100E+16  4.40988E-40
 6.08762E+16  4.61151E-40
 6.08423E+16  4.82236E-40
 6.08086E+16  5.04286E-40
 6.07748E+16  5.27343E-40
 6.07410E+16  5.51454E-40
 6.07073E+16  5.76668E-40
 6.06736E+16  6.03035E-40
 6.06399E+16  6.30607E-40
 6.06062E+16  6.59440E-40
 6.05725E+16  6.89592E-40
 6.05389E+16  7.21122E-40
 6.05053E+16  7.54093E-40
 6.04717E+16  7.88572E-40
 6.04381E+16  8.24628E-40
 6.04045E+16  8.62332E-40
 6.03710E+16  9.01760E-40
 6.03374E+16  9.42991E-40
 6.03039E+16  9.86107E-40
 6.02704E+16  1.03119E-39
 6.02370E+16  1.07834E-39
 6.02035E+16  1.12765E-39
 6.01701E+16  1.17921E-39
 6.01366E+16  1.23312E-39
 6.01032E+16  1.28950E-39
 6.00699E+16  1.34846E-39
 6.00365E+16  1.41012E-39
 6.00032E+16  1.47459E-39
 5.99698E+16  1.54202E-39
 5.99365E+16  1.61252E-39
 5.99032E+16  1.68625E-39
 5.98700E+16  1.76335E-39
 5.98367E+16  1.84397E-39
 5.98035E+16  1.92829E-39
