 TLUSTY Ostars, Lanz & Hubeny 2003
 T 52500. G 4.00000 Abundance P03
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  1.41791E-33
 6.67573E+16  1.45821E-33
 6.67202E+16  1.51376E-33
 6.66831E+16  1.57142E-33
 6.66461E+16  1.63128E-33
 6.66091E+16  1.69342E-33
 6.65721E+16  1.75792E-33
 6.65351E+16  1.82489E-33
 6.64982E+16  1.89440E-33
 6.64612E+16  1.96657E-33
 6.64243E+16  2.04148E-33
 6.63874E+16  2.11924E-33
 6.63506E+16  2.19997E-33
 6.63137E+16  2.28377E-33
 6.62769E+16  2.37077E-33
 6.62401E+16  2.46108E-33
 6.62033E+16  2.55483E-33
 6.61665E+16  2.65215E-33
 6.61298E+16  2.75318E-33
 6.60930E+16  2.85805E-33
 6.60563E+16  2.96692E-33
 6.60196E+16  3.07994E-33
 6.59830E+16  3.19726E-33
 6.59463E+16  3.31905E-33
 6.59097E+16  3.44549E-33
 6.58731E+16  3.57673E-33
 6.58365E+16  3.71298E-33
 6.57999E+16  3.85442E-33
 6.57634E+16  4.00124E-33
 6.57269E+16  4.15366E-33
 6.56904E+16  4.31189E-33
 6.56539E+16  4.47614E-33
 6.56174E+16  4.64665E-33
 6.55810E+16  4.82365E-33
 6.55445E+16  5.00739E-33
 6.55081E+16  5.19814E-33
 6.54718E+16  5.39615E-33
 6.54354E+16  5.60170E-33
 6.53991E+16  5.81509E-33
 6.53627E+16  6.03660E-33
 6.53264E+16  6.26655E-33
 6.52901E+16  6.50526E-33
 6.52539E+16  6.75306E-33
 6.52176E+16  7.01031E-33
 6.51814E+16  7.27735E-33
 6.51452E+16  7.55456E-33
 6.51090E+16  7.84233E-33
 6.50729E+16  8.14107E-33
 6.50367E+16  8.45118E-33
 6.50006E+16  8.77311E-33
 6.49645E+16  9.10730E-33
 6.49284E+16  9.45422E-33
 6.48924E+16  9.81436E-33
 6.48563E+16  1.01882E-32
 6.48203E+16  1.05763E-32
 6.47843E+16  1.09792E-32
 6.47483E+16  1.13974E-32
 6.47124E+16  1.18316E-32
 6.46764E+16  1.22823E-32
 6.46405E+16  1.27501E-32
 6.46046E+16  1.32358E-32
 6.45687E+16  1.37400E-32
 6.45329E+16  1.42634E-32
 6.44970E+16  1.48067E-32
 6.44612E+16  1.53708E-32
 6.44254E+16  1.59563E-32
 6.43896E+16  1.65641E-32
 6.43539E+16  1.71951E-32
 6.43181E+16  1.78501E-32
 6.42824E+16  1.85267E-32
 6.42467E+16  1.92140E-32
 6.42110E+16  1.99270E-32
 6.41753E+16  2.06665E-32
 6.41397E+16  2.14334E-32
 6.41041E+16  2.22287E-32
 6.40685E+16  2.30536E-32
 6.40329E+16  2.39091E-32
 6.39973E+16  2.47963E-32
 6.39618E+16  2.57165E-32
 6.39263E+16  2.66708E-32
 6.38908E+16  2.76605E-32
 6.38553E+16  2.86870E-32
 6.38198E+16  2.97515E-32
 6.37844E+16  3.08556E-32
 6.37489E+16  3.20006E-32
 6.37135E+16  3.31881E-32
 6.36781E+16  3.44197E-32
 6.36428E+16  3.56969E-32
 6.36074E+16  3.70216E-32
 6.35721E+16  3.83954E-32
 6.35368E+16  3.98202E-32
 6.35015E+16  4.12979E-32
 6.34662E+16  4.28304E-32
 6.34310E+16  4.44198E-32
 6.33958E+16  4.60682E-32
 6.33605E+16  4.77777E-32
 6.33254E+16  4.95507E-32
 6.32902E+16  5.13894E-32
 6.32550E+16  5.32964E-32
 6.32199E+16  5.52742E-32
 6.31848E+16  5.73254E-32
 6.31497E+16  5.94526E-32
 6.31146E+16  6.16589E-32
 6.30796E+16  6.39470E-32
 6.30445E+16  6.63199E-32
 6.30095E+16  6.87810E-32
 6.29745E+16  7.13334E-32
 6.29395E+16  7.39805E-32
 6.29046E+16  7.67258E-32
 6.28697E+16  7.95730E-32
 6.28347E+16  8.25259E-32
 6.27998E+16  8.55883E-32
 6.27650E+16  8.87644E-32
 6.27301E+16  9.20583E-32
 6.26953E+16  9.54745E-32
 6.26604E+16  9.90174E-32
 6.26256E+16  1.02692E-31
 6.25909E+16  1.06503E-31
 6.25561E+16  1.10455E-31
 6.25213E+16  1.14554E-31
 6.24866E+16  1.18805E-31
 6.24519E+16  1.23213E-31
 6.24172E+16  1.27786E-31
 6.23826E+16  1.32528E-31
 6.23479E+16  1.37445E-31
 6.23133E+16  1.42546E-31
 6.22787E+16  1.47836E-31
 6.22441E+16  1.53322E-31
 6.22095E+16  1.59011E-31
 6.21750E+16  1.64912E-31
 6.21404E+16  1.71032E-31
 6.21059E+16  1.77378E-31
 6.20714E+16  1.83961E-31
 6.20370E+16  1.90787E-31
 6.20025E+16  1.97867E-31
 6.19681E+16  2.05210E-31
 6.19337E+16  2.12825E-31
 6.18993E+16  2.20722E-31
 6.18649E+16  2.28913E-31
 6.18305E+16  2.37408E-31
 6.17962E+16  2.46228E-31
 6.17619E+16  2.55192E-31
 6.17276E+16  2.64410E-31
 6.16933E+16  2.73961E-31
 6.16590E+16  2.83856E-31
 6.16248E+16  2.94110E-31
 6.15905E+16  3.04733E-31
 6.15563E+16  3.15740E-31
 6.15221E+16  3.27145E-31
 6.14880E+16  3.38962E-31
 6.14538E+16  3.51206E-31
 6.14197E+16  3.63892E-31
 6.13856E+16  3.77036E-31
 6.13515E+16  3.90655E-31
 6.13174E+16  4.04766E-31
 6.12834E+16  4.19386E-31
 6.12493E+16  4.34535E-31
 6.12153E+16  4.50231E-31
 6.11813E+16  4.66493E-31
 6.11473E+16  4.83344E-31
 6.11134E+16  5.00803E-31
 6.10794E+16  5.18892E-31
 6.10455E+16  5.37635E-31
 6.10116E+16  5.57055E-31
 6.09777E+16  5.77176E-31
 6.09438E+16  5.98025E-31
 6.09100E+16  6.19626E-31
 6.08762E+16  6.42007E-31
 6.08423E+16  6.65197E-31
 6.08086E+16  6.89225E-31
 6.07748E+16  7.14121E-31
 6.07410E+16  7.39915E-31
 6.07073E+16  7.66642E-31
 6.06736E+16  7.94334E-31
 6.06399E+16  8.23026E-31
 6.06062E+16  8.52755E-31
 6.05725E+16  8.83557E-31
 6.05389E+16  9.15472E-31
 6.05053E+16  9.48540E-31
 6.04717E+16  9.82802E-31
 6.04381E+16  1.01830E-30
 6.04045E+16  1.05508E-30
 6.03710E+16  1.09319E-30
 6.03374E+16  1.13268E-30
 6.03039E+16  1.17360E-30
 6.02704E+16  1.21599E-30
 6.02370E+16  1.25991E-30
 6.02035E+16  1.30542E-30
 6.01701E+16  1.35257E-30
 6.01366E+16  1.40143E-30
 6.01032E+16  1.45205E-30
 6.00699E+16  1.50450E-30
 6.00365E+16  1.55884E-30
 6.00032E+16  1.61515E-30
 5.99698E+16  1.67349E-30
 5.99365E+16  1.73394E-30
 5.99032E+16  1.79657E-30
 5.98700E+16  1.86147E-30
 5.98367E+16  1.92870E-30
 5.98035E+16  1.99837E-30
 5.97703E+16  2.07055E-30
 5.97371E+16  2.14534E-30
 5.97039E+16  2.22284E-30
 5.96707E+16  2.30313E-30
 5.96376E+16  2.38632E-30
 5.96045E+16  2.47252E-30
 5.95714E+16  2.56183E-30
