UniqueID      Time          Wavelength    L_lambda      L_l_neb       
              (yr)          (Angstrom)    (erg/s/A)     (erg/s/A)     
-----------   -----------   -----------   -----------   -----------   
          1   5.00000e+05   5.90000e+02   2.96770e+39   0.00000e+00
          1   5.00000e+05   6.00000e+02   2.05694e+39   0.00000e+00
          1   5.00000e+05   6.10000e+02   4.04762e+39   0.00000e+00
          1   5.00000e+05   6.20000e+02   1.49829e+39   0.00000e+00
          1   5.00000e+05   6.30000e+02   1.37574e+39   0.00000e+00
          1   5.00000e+05   6.40000e+02   2.45887e+39   0.00000e+00
          1   5.00000e+05   6.50000e+02   2.42602e+39   0.00000e+00
          1   5.00000e+05   6.58000e+02   2.21760e+39   0.00000e+00
          1   5.00000e+05   6.65000e+02   1.26411e+39   0.00000e+00
          1   5.00000e+05   6.75000e+02   2.41563e+39   0.00000e+00
          1   5.00000e+05   6.85000e+02   2.32074e+39   0.00000e+00
          1   5.00000e+05   6.95000e+02   2.20195e+39   0.00000e+00
          1   5.00000e+05   7.05000e+02   1.66413e+39   0.00000e+00
          1   5.00000e+05   7.16000e+02   2.57774e+39   0.00000e+00
          1   5.00000e+05   7.26000e+02   2.44856e+39   0.00000e+00
          1   5.00000e+05   7.35000e+02   1.97488e+39   0.00000e+00
          1   5.00000e+05   7.45000e+02   1.78966e+39   0.00000e+00
          1   5.00000e+05   7.55000e+02   5.07076e+38   0.00000e+00
          1   5.00000e+05   7.65000e+02   1.40023e+39   0.00000e+00
          1   5.00000e+05   7.75000e+02   1.96486e+39   0.00000e+00
          1   5.00000e+05   7.85000e+02   2.77652e+38   0.00000e+00
          1   5.00000e+05   7.95000e+02   1.94681e+39   0.00000e+00
          1   5.00000e+05   8.05000e+02   1.87415e+39   0.00000e+00
          1   5.00000e+05   8.15000e+02   1.85839e+39   0.00000e+00
          1   5.00000e+05   8.25000e+02   1.75773e+39   0.00000e+00
          1   5.00000e+05   8.35000e+02   1.25147e+39   0.00000e+00
          1   5.00000e+05   8.45000e+02   1.67362e+39   0.00000e+00
