 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 1.00 Teff 26.30 logg 2.99 R/R0 26.27 R 1.8271E+12
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 5.00000000E+01 9.31405320E-62
 5.34837490E+01 6.42936210E-60
 5.74893160E+01 2.91590570E-58
 6.21434350E+01 8.99025520E-57
 6.57151460E+01 8.13576200E-56
 6.97224650E+01 7.61217640E-55
 7.19151640E+01 2.35597750E-54
 7.42502560E+01 7.22490500E-54
 7.42530130E+01 7.58889880E-54
 8.10000000E+01 1.12240300E-52
 8.53333920E+01 4.33148710E-52
 9.09000000E+01 1.70022480E-51
 9.61000000E+01 4.66975830E-51
 1.00305760E+02 1.22832910E-50
 1.05600000E+02 1.17638870E-48
 1.10400000E+02 2.62092390E-46
 1.14000000E+02 1.19987910E-44
 1.17800000E+02 5.31213850E-43
 1.21650180E+02 1.93840320E-41
 1.24800000E+02 3.10572980E-40
 1.28400000E+02 6.22983620E-39
 1.32400000E+02 1.43025890E-37
 1.36134440E+02 2.24286860E-36
 1.39800000E+02 2.87824540E-35
 1.43300000E+02 2.89567830E-34
 1.47200000E+02 3.30857880E-33
 1.51000000E+02 3.12354570E-32
 1.54534020E+02 2.26751650E-31
 1.54535210E+02 2.71454700E-32
 1.57236080E+02 1.18293840E-31
 1.60034310E+02 5.14416390E-31
 1.60035590E+02 5.14692600E-31
 1.60224390E+02 5.67245640E-31
 1.60225670E+02 5.67620010E-31
 1.64616180E+02 5.09503760E-30
 1.69255510E+02 4.54585280E-29
 1.74163930E+02 4.02797310E-28
 1.76726470E+02 1.19586470E-27
 1.79365540E+02 3.54417420E-27
 1.79367150E+02 3.54648530E-27
 1.80916590E+02 6.60782000E-27
 1.80918230E+02 6.61212530E-27
 1.83620910E+02 1.90658280E-26
 1.86407310E+02 5.49210970E-26
 1.89279570E+02 1.57950860E-25
 1.90749160E+02 2.67704680E-25
 1.92241740E+02 4.53546380E-25
 1.92243590E+02 4.53831770E-25
 1.93422340E+02 6.84075030E-25
 1.94617540E+02 1.03156040E-24
 1.94619430E+02 6.87490410E-25
 1.95850210E+02 1.04756740E-24
 1.97098590E+02 1.59697970E-24
 1.97100530E+02 1.59802090E-24
 1.98877180E+02 2.88460550E-24
 2.00688160E+02 5.20865410E-24
 2.00690170E+02 5.21204610E-24
 2.01029230E+02 5.81468620E-24
 2.01031250E+02 5.81847240E-24
 2.02358650E+02 8.89736060E-24
 2.02360700E+02 8.90315180E-24
 2.03566670E+02 1.30309060E-23
 2.04789200E+02 1.90824610E-23
 2.04791300E+02 1.88177040E-23
 2.07799050E+02 4.71812750E-23
 2.10898700E+02 1.18301350E-22
 2.14092210E+02 2.96466390E-22
 2.15725520E+02 4.69234640E-22
 2.17383930E+02 7.42604170E-22
 2.17386300E+02 7.43086250E-22
 2.18149610E+02 9.15727630E-22
 2.18151990E+02 9.16281240E-22
