 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 1.00 Teff 28.10 logg 3.08 R/R0 27.77 R 1.9314E+12
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 2.48961910E+02 3.79927980E-13
 2.49447490E+02 1.93484000E-13
 2.49834420E+02 4.37475170E-14
 2.49837540E+02 4.63875070E-14
 2.49934010E+02 4.27767310E-15
 2.50421470E+02 1.77730640E-15
 2.50909890E+02 3.18504970E-14
 2.51399270E+02 8.58220580E-15
 2.51553820E+02 2.89944870E-14
 2.51889590E+02 7.47974930E-14
 2.52380880E+02 3.37110000E-13
 2.52873120E+02 4.13275200E-13
 2.53297040E+02 9.41947790E-14
 2.53300250E+02 9.19683900E-14
 2.53366320E+02 4.04197360E-14
 2.53860480E+02 1.76734560E-14
 2.54355610E+02 1.67925760E-13
 2.54600830E+02 3.26567990E-13
 2.54604070E+02 3.41291280E-13
 2.54851700E+02 5.13078790E-13
 2.55348760E+02 1.86116750E-14
 2.55846790E+02 8.13669340E-14
 2.56345790E+02 2.05727460E-13
 2.56735220E+02 2.39653970E-13
 2.56845760E+02 2.49582020E-13
 2.57346710E+02 2.68532080E-13
 2.57848640E+02 3.29055050E-13
 2.58351550E+02 1.98495810E-13
 2.58855430E+02 1.49037520E-13
 2.58905710E+02 1.44875720E-13
 2.58909060E+02 1.36914430E-12
 2.59360300E+02 1.41474100E-12
 2.59866150E+02 2.32077950E-12
 2.60372990E+02 4.77506400E-12
 2.60880820E+02 6.03238270E-13
 2.61010740E+02 4.58042200E-13
 2.61014140E+02 4.98992600E-13
 2.61378120E+02 3.63345570E-14
 2.61381530E+02 1.12144190E-13
 2.61389640E+02 1.12212980E-13
 2.61899450E+02 7.74329510E-13
 2.62410260E+02 2.41619270E-14
 2.62922060E+02 1.72151280E-14
 2.63434860E+02 2.76788290E-13
 2.63948660E+02 1.56653680E-12
 2.64463470E+02 3.02445060E-11
 2.64575530E+02 3.27318070E-11
 2.64979270E+02 4.20041210E-11
 2.65496090E+02 2.35589600E-12
 2.66013910E+02 3.60991980E-12
 2.66532740E+02 8.09880140E-12
 2.67052580E+02 2.01165710E-11
 2.67573440E+02 5.06526600E-11
 2.67852140E+02 2.52949500E-11
 2.68095310E+02 2.35544440E-12
 2.68618200E+02 8.85545360E-12
 2.69142110E+02 3.28607430E-11
 2.69667040E+02 1.23688750E-10
 2.70193000E+02 8.09090970E-11
 2.70719980E+02 4.40860900E-11
 2.71210930E+02 7.15990510E-11
 2.71247990E+02 7.37472440E-11
 2.71777030E+02 1.34573280E-10
 2.72307100E+02 1.40150730E-10
 2.72838200E+02 4.77771570E-11
 2.72922110E+02 4.75985920E-11
 2.73370350E+02 4.65824680E-11
 2.73903520E+02 1.06812840E-12
 2.74437740E+02 4.76560140E-12
 2.74655030E+02 6.16748790E-12
 2.74658800E+02 6.37842180E-12
 2.74973000E+02 8.53945770E-12
 2.75509310E+02 8.81760660E-11
 2.76046660E+02 1.99967600E-11
 2.76585060E+02 6.60332950E-11
 2.77124500E+02 1.77188840E-10
 2.77383510E+02 2.18607370E-10
 2.77665010E+02 2.65146880E-10
 2.78206560E+02 1.20983320E-10
 2.78749170E+02 3.76164380E-12
 2.79292840E+02 5.34155160E-12
 2.79837570E+02 9.35382180E-12
 2.80166740E+02 7.88250200E-11
 2.80170670E+02 1.04174240E-10
 2.80383360E+02 1.64901300E-10
 2.80930220E+02 1.42754150E-11
 2.81478140E+02 4.76957290E-11
 2.82027140E+02 1.00482530E-10
 2.82577200E+02 2.95570160E-11
 2.83128330E+02 3.12637540E-10
 2.83305060E+02 3.96413370E-10
 2.83680540E+02 5.80370140E-10
 2.84233830E+02 4.98710670E-10
 2.84788200E+02 6.85507150E-11
 2.85343650E+02 1.56510780E-11
 2.85900180E+02 4.34834570E-11
 2.86457800E+02 1.98343030E-10
 2.86514480E+02 1.80510330E-10
 2.86518580E+02 1.82184380E-10
 2.87016500E+02 1.73747650E-11
 2.87576290E+02 6.39949460E-11
 2.88137180E+02 1.40413580E-09
 2.88699160E+02 3.85821240E-10
 2.89262230E+02 6.76775440E-10
 2.89826410E+02 1.48288340E-12
 2.90391680E+02 2.44993210E-11
 2.90958060E+02 8.97266010E-12
 2.91525540E+02 3.45553310E-11
 2.92094130E+02 3.57683230E-10
 2.92663830E+02 7.69937170E-10
 2.92892620E+02 6.74460570E-10
 2.93234640E+02 5.26720870E-10
 2.93806560E+02 1.57889970E-10
 2.94379600E+02 1.38746620E-10
 2.94953750E+02 4.25740730E-10
 2.95529020E+02 6.49462450E-10
 2.96000000E+02 1.23354290E-09
 2.96105420E+02 1.36847750E-09
 2.96682940E+02 1.00916990E-09
 2.97261590E+02 9.97876520E-10
 2.97841370E+02 5.77063480E-10
 2.98422270E+02 4.78050630E-10
 2.99004310E+02 5.65308400E-10
 2.99561200E+02 5.56774610E-10
 2.99565690E+02 4.67082320E-10
 2.99587490E+02 4.66820180E-10
 2.99930480E+02 4.75825340E-10
 2.99934970E+02 4.75944420E-10
 3.00171800E+02 4.82250160E-10
 3.00757250E+02 8.46288960E-10
 3.01343850E+02 6.27224490E-10
 3.01931580E+02 7.27375500E-12
 3.02520470E+02 5.14427530E-12
