%
% OII Recombination spectrum
%
% Liu et al 1995, Storey 1994
%
% @ARTICLE{1995MNRAS.272..369L,
%    author = {{Liu}, X.-W. and {Storey}, P.~J. and {Barlow}, M.~J. and {Clegg}, R.~E.~S.
% 	},
%     title = "{The rich O II recombination spectrum of the planetary nebula NGC 7009: new observations and atomic data}",
%   journal = {\mnras},
%  keywords = {ATOMIC DATA-ATOMIC PROCESSES-ISM, ABUNDANCES-PLANETARY NUBULAE, INDIVIDUAL, NGC 7009.},
%      year = 1995,
%     month = jan,
%    volume = 272,
%     pages = {369-388},
%    adsurl = {http://adsabs.harvard.edu/abs/1995MNRAS.272..369L},
%   adsnote = {Provided by the SAO/NASA Astrophysics Data System}
% }
%
% @ARTICLE{1994A&A...282..999S,
%    author = {{Storey}, P.~J.},
%     title = "{Recombination coefficients for O II lines at nebular temperatures and densities}",
%   journal = {\aap},
%  keywords = {Atomic Spectra, Coefficients, Electron Recombination, H Ii Regions, Line Spectra, Oxygen Spectra, Photoionization, Planetary Nebulae, Radiative Recombination, Configuration Interaction, Electron Density (Concentration), Electron Energy, Electron Orbitals},
%      year = 1994,
%     month = feb,
%    volume = 282,
%     pages = {999-1013},
%    adsurl = {http://adsabs.harvard.edu/abs/1994A%26A...282..999S},
%   adsnote = {Provided by the SAO/NASA Astrophysics Data System}
% }
%
% Title
% Multiplets Title
% nentries
% ID Mult Eij lamobs transition
% Title  Coefficients Case A   B and C
% ncases
% Case Title
% nentries
% Branch a20 a40 a50 a60 b c d
% …
% Case Title
% nentries
% Branch a20 a40 a50 a60 b c d
% …
% Case Title
% nentries
% Branch a20 a40 a50 a60 b c d
% …
%
%
Oxygen II Recombination Spectrum v5.2.0
OII 5 Multiplet transition v1.0.1
200
060 011 23333.930 4284.399 4fF[2]5|2-3d4D7|2
061 011 24737.659 4041.278 4fF[2]5|2-3d4F5|2
062 011 23291.448 4292.214 4fF[2]5|2-3d2F5|2
063 011 23340.184 4283.251 4fF[2]5|2-3d4D5|2
064 011 21633.112 4621.249 4fF[2]5|2-3d2D5|2
065 011 23341.765 4282.961 4fF[2]5|2-3d4D3|2
066 011 21684.949 4610.202 4fF[2]5|2-3d2D3|2
067 012 24733.517 4041.955 4fF[2]3|2-3d4F5|2
068 012 23287.306 4292.977 4fF[2]3|2-3d2F5|2
069 012 23336.042 4284.011 4fF[2]3|2-3d4D5|2
070 012 24787.478 4033.155 4fF[2]3|2-3d4F3|2
071 012 23337.623 4283.721 4fF[2]3|2-3d4D3|2
072 012 21680.807 4611.083 4fF[2]3|2-3d2D3|2
073 012 23547.655 4245.512 4fF[2]3|2-3d4P3|2
074 012 22653.074 4413.173 4fF[2]3|2-3d2P3|2
075 012 23371.962 4277.427 4fF[2]3|2-3d4D1|2
076 012 23481.112 4257.544 4fF[2]3|2-3d4P1|2
077 012 22539.014 4435.506 4fF[2]3|2-3d2P1|2
078 013 22937.530 4358.442 4fD[3]7|2-3d4D7|2
079 013 24341.259 4107.092 4fD[3]7|2-3d4F5|2
080 013 22895.048 4366.530 4fD[3]7|2-3d2F5|2
081 013 22943.784 4357.254 4fD[3]7|2-3d4D5|2
082 013 21236.712 4707.510 4fD[3]7|2-3d2D5|2
083 013 23228.622 4303.823 4fD[3]7|2-3d4P5|2
084 014 24339.852 4107.329 4fD[3]5|2-3d4F5|2
085 014 22893.641 4366.798 4fD[3]5|2-3d2F5|2
086 014 21235.305 4707.822 4fD[3]5|2-3d2D5|2
087 014 23227.215 4304.084 4fD[3]5|2-3d4P5|2
088 014 24393.813 4098.243 4fD[3]5|2-3d4F3|2
089 014 22943.958 4357.221 4fD[3]5|2-3d4D3|2
090 014 21287.142 4696.357 4fD[3]5|2-3d2D3|2
091 014 23153.990 4317.696 4fD[3]5|2-3d4P3|2
092 014 22259.409 4491.222 4fD[3]5|2-3d2P3|2
093 015 23059.656 4335.359 4fD[2]5|2-3d4D7|2
094 015 24463.385 4086.588 4fD[2]5|2-3d4F5|2
095 015 23017.174 4343.361 4fD[2]5|2-3d2F5|2
096 015 23065.910 4334.184 4fD[2]5|2-3d4D5|2
097 015 21358.838 4680.593 4fD[2]5|2-3d2D5|2
098 015 23350.748 4281.313 4fD[2]5|2-3d4P5|2
099 015 21410.675 4669.260 4fD[2]5|2-3d2D3|2
100 015 23277.523 4294.781 4fD[2]5|2-3d4P3|2
