 TLUSTY Ostars, Lanz & Hubeny 2003
 T 35000. G 3.75000 Abundance M03
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  1.26565E-51
 6.67573E+16  1.32183E-51
 6.67202E+16  1.40070E-51
 6.66831E+16  1.48427E-51
 6.66461E+16  1.57283E-51
 6.66091E+16  1.66668E-51
 6.65721E+16  1.76612E-51
 6.65351E+16  1.87150E-51
 6.64982E+16  1.98317E-51
 6.64612E+16  2.10149E-51
 6.64243E+16  2.22688E-51
 6.63874E+16  2.35975E-51
 6.63506E+16  2.50055E-51
 6.63137E+16  2.64975E-51
 6.62769E+16  2.80785E-51
 6.62401E+16  2.97539E-51
 6.62033E+16  3.15292E-51
 6.61665E+16  3.34104E-51
 6.61298E+16  3.54039E-51
 6.60930E+16  3.75163E-51
 6.60563E+16  3.97548E-51
 6.60196E+16  4.21268E-51
 6.59830E+16  4.46403E-51
 6.59463E+16  4.73039E-51
 6.59097E+16  5.01263E-51
 6.58731E+16  5.31172E-51
 6.58365E+16  5.62865E-51
 6.57999E+16  5.96449E-51
 6.57634E+16  6.32037E-51
 6.57269E+16  6.69749E-51
 6.56904E+16  7.09710E-51
 6.56539E+16  7.52056E-51
 6.56174E+16  7.96928E-51
 6.55810E+16  8.44478E-51
 6.55445E+16  8.94865E-51
 6.55081E+16  9.48259E-51
 6.54718E+16  1.00484E-50
 6.54354E+16  1.06479E-50
 6.53991E+16  1.12833E-50
 6.53627E+16  1.19565E-50
 6.53264E+16  1.26699E-50
 6.52901E+16  1.34259E-50
 6.52539E+16  1.42269E-50
 6.52176E+16  1.50758E-50
 6.51814E+16  1.59753E-50
 6.51452E+16  1.69285E-50
 6.51090E+16  1.79386E-50
 6.50729E+16  1.90089E-50
 6.50367E+16  2.01431E-50
 6.50006E+16  2.13450E-50
 6.49645E+16  2.26185E-50
 6.49284E+16  2.39681E-50
 6.48924E+16  2.53982E-50
 6.48563E+16  2.69136E-50
 6.48203E+16  2.85194E-50
 6.47843E+16  3.02211E-50
