 TLUSTY Ostars, Lanz & Hubeny 2003
 T 35000. G 4.75000 Abundance M03
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  1.11066E-52
 6.67573E+16  1.16233E-52
 6.67202E+16  1.23504E-52
 6.66831E+16  1.31230E-52
 6.66461E+16  1.39439E-52
 6.66091E+16  1.48161E-52
 6.65721E+16  1.57429E-52
 6.65351E+16  1.67277E-52
 6.64982E+16  1.77741E-52
 6.64612E+16  1.88860E-52
 6.64243E+16  2.00674E-52
 6.63874E+16  2.13227E-52
 6.63506E+16  2.26566E-52
 6.63137E+16  2.40738E-52
 6.62769E+16  2.55798E-52
 6.62401E+16  2.71799E-52
 6.62033E+16  2.88801E-52
 6.61665E+16  3.06867E-52
 6.61298E+16  3.26063E-52
 6.60930E+16  3.46460E-52
 6.60563E+16  3.68133E-52
 6.60196E+16  3.91161E-52
 6.59830E+16  4.15630E-52
 6.59463E+16  4.41630E-52
 6.59097E+16  4.69256E-52
 6.58731E+16  4.98610E-52
 6.58365E+16  5.29801E-52
 6.57999E+16  5.62943E-52
 6.57634E+16  5.98157E-52
 6.57269E+16  6.35575E-52
 6.56904E+16  6.75333E-52
 6.56539E+16  7.17579E-52
 6.56174E+16  7.62467E-52
 6.55810E+16  8.10163E-52
 6.55445E+16  8.60842E-52
 6.55081E+16  9.14692E-52
 6.54718E+16  9.71911E-52
 6.54354E+16  1.03271E-51
 6.53991E+16  1.09731E-51
 6.53627E+16  1.16595E-51
 6.53264E+16  1.23889E-51
 6.52901E+16  1.31639E-51
 6.52539E+16  1.39873E-51
 6.52176E+16  1.48623E-51
 6.51814E+16  1.57920E-51
 6.51452E+16  1.67799E-51
 6.51090E+16  1.78295E-51
 6.50729E+16  1.89448E-51
 6.50367E+16  2.01299E-51
 6.50006E+16  2.13892E-51
 6.49645E+16  2.27272E-51
 6.49284E+16  2.41489E-51
 6.48924E+16  2.56595E-51
 6.48563E+16  2.72646E-51
 6.48203E+16  2.89701E-51
 6.47843E+16  3.07824E-51
 6.47483E+16  3.27080E-51
 6.47124E+16  3.47540E-51
 6.46764E+16  3.69280E-51
 6.46405E+16  3.92380E-51
 6.46046E+16  4.16926E-51
 6.45687E+16  4.43006E-51
 6.45329E+16  4.70719E-51
 6.44970E+16  5.00164E-51
 6.44612E+16  5.31452E-51
 6.44254E+16  5.64697E-51
 6.43896E+16  6.00022E-51
 6.43539E+16  6.37556E-51
 6.43181E+16  6.77438E-51
 6.42824E+16  7.19506E-51
 6.42467E+16  7.62712E-51
 6.42110E+16  8.08544E-51
