 TLUSTY Ostars, Lanz & Hubeny 2003
 T 35000. G 4.25000 M17 TLUSTY
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  2.53234E-49
 6.67573E+16  2.64928E-49
 6.67202E+16  2.81377E-49
 6.66831E+16  2.98848E-49
 6.66461E+16  3.17404E-49
 6.66091E+16  3.37112E-49
 6.65721E+16  3.58043E-49
 6.65351E+16  3.80274E-49
 6.64982E+16  4.03885E-49
 6.64612E+16  4.28963E-49
 6.64243E+16  4.55597E-49
 6.63874E+16  4.83885E-49
 6.63506E+16  5.13930E-49
 6.63137E+16  5.45840E-49
 6.62769E+16  5.79732E-49
 6.62401E+16  6.15728E-49
 6.62033E+16  6.53958E-49
 6.61665E+16  6.94563E-49
 6.61298E+16  7.37689E-49
 6.60930E+16  7.83492E-49
 6.60563E+16  8.32139E-49
 6.60196E+16  8.83807E-49
 6.59830E+16  9.38683E-49
 6.59463E+16  9.96966E-49
 6.59097E+16  1.05887E-48
 6.58731E+16  1.12461E-48
 6.58365E+16  1.19444E-48
 6.57999E+16  1.26861E-48
 6.57634E+16  1.34737E-48
 6.57269E+16  1.43103E-48
 6.56904E+16  1.51989E-48
 6.56539E+16  1.61426E-48
 6.56174E+16  1.71449E-48
 6.55810E+16  1.82094E-48
 6.55445E+16  1.93400E-48
 6.55081E+16  2.05409E-48
 6.54718E+16  2.18162E-48
 6.54354E+16  2.31708E-48
 6.53991E+16  2.46095E-48
 6.53627E+16  2.61375E-48
 6.53264E+16  2.77604E-48
 6.52901E+16  2.94841E-48
 6.52539E+16  3.13148E-48
 6.52176E+16  3.32591E-48
 6.51814E+16  3.53242E-48
 6.51452E+16  3.75175E-48
 6.51090E+16  3.98469E-48
 6.50729E+16  4.23211E-48
 6.50367E+16  4.49488E-48
 6.50006E+16  4.77397E-48
 6.49645E+16  5.07039E-48
 6.49284E+16  5.38521E-48
 6.48924E+16  5.71958E-48
 6.48563E+16  6.07471E-48
 6.48203E+16  6.45189E-48
 6.47843E+16  6.85249E-48
 6.47483E+16  7.27797E-48
 6.47124E+16  7.72986E-48
 6.46764E+16  8.20981E-48
 6.46405E+16  8.71956E-48
 6.46046E+16  9.26096E-48
 6.45687E+16  9.83598E-48
 6.45329E+16  1.04467E-47
 6.44970E+16  1.10953E-47
 6.44612E+16  1.17843E-47
 6.44254E+16  1.25159E-47
 6.43896E+16  1.32931E-47
 6.43539E+16  1.41184E-47
 6.43181E+16  1.49951E-47
 6.42824E+16  1.59181E-47
 6.42467E+16  1.68621E-47
 6.42110E+16  1.78626E-47
 6.41753E+16  1.89223E-47
 6.41397E+16  2.00450E-47
 6.41041E+16  2.12343E-47
 6.40685E+16  2.24941E-47
 6.40329E+16  2.38286E-47
 6.39973E+16  2.52424E-47
 6.39618E+16  2.67400E-47
 6.39263E+16  2.83265E-47
 6.38908E+16  3.00070E-47
 6.38553E+16  3.17874E-47
 6.38198E+16  3.36733E-47
 6.37844E+16  3.56711E-47
 6.37489E+16  3.77874E-47
 6.37135E+16  4.00294E-47
 6.36781E+16  4.24043E-47
 6.36428E+16  4.49201E-47
 6.36074E+16  4.75852E-47
