#"E (kev)" "Fv (kev/s/cm^2/kev)"
1.240700309077158e-07 1.4141021345977346e+21
1.2522207398840916e-07 1.4405973326515122e+21
1.2638283682155016e-07 1.4672987352919772e+21
1.2755220613520696e-07 1.494602012458066e+21
1.2873005904515024e-07 1.522273356746375e+21
1.2991626273059247e-07 1.5505296589046573e+21
1.3112453065706595e-07 1.5795377872122864e+21
1.3232725139474809e-07 1.6086467944681232e+21
1.335522399437199e-07 1.6384385232595415e+21
1.3480012049947392e-07 1.669284706213208e+21
1.360417005567059e-07 1.700208629786846e+21
1.373063644397032e-07 1.7318643740979665e+21
1.3856380490028567e-07 1.7638100278654458e+21
1.3984448930085188e-07 1.7966063542836996e+21
1.4114906815439796e-07 1.8303265052567758e+21
1.4244550046810078e-07 1.8639749953579647e+21
1.437659686068549e-07 1.8987210657409694e+21
1.4509417718128381e-07 1.933985421350998e+21
1.4644715640665228e-07 1.9702585310877193e+21
1.4779038821645716e-07 2.0065362383350213e+21
1.4915848870848257e-07 2.0438961179635865e+21
1.505521549662854e-07 2.082177922843225e+21
1.519348896739111e-07 2.1207839853732383e+21
1.5334325906280533e-07 2.160201366560323e+21
1.5475867644719446e-07 2.2002276516815737e+21
1.562004669617472e-07 2.2413101483252337e+21
1.5764934041641146e-07 2.2832071944008683e+21
1.591049383274119e-07 2.3254953128811254e+21
1.605668835352864e-07 2.368460206251945e+21
1.6205594423682836e-07 2.4126326119382175e+21
1.6355131941433667e-07 2.4573797064690825e+21
1.6507454883943029e-07 2.5032937522246163e+21
1.6660404311496683e-07 2.54993257165512e+21
1.6813935615627564e-07 2.5971055188625735e+21
1.697032292541592e-07 2.6457564149484015e+21
1.7127282013765298e-07 2.694831915145238e+21
1.728476329168512e-07 2.744367166370281e+21
1.7445167450466224e-07 2.795615656051363e+21
1.760607789239617e-07 2.8476186525191614e+21
1.776998437520994e-07 2.9007521216784027e+21
1.793437856428387e-07 2.9546684991401954e+21
1.8099202174721489e-07 3.009488136604082e+21
1.826708346697818e-07 3.0655720894476384e+21
1.8435368634133107e-07 3.1228689685621396e+21
1.8606783279501472e-07 3.181078604860444e+21
1.877857286328376e-07 3.2398859174071527e+21
1.895356414722209e-07 3.2997682307342145e+21
1.9128897765605273e-07 3.361192041713539e+21
1.9304501463780272e-07 3.423012055001331e+21
1.948335912495537e-07 3.4871794620881494e+21
1.9662445468734676e-07 3.5520000169838903e+21
1.9844854591765164e-07 3.6173668590764084e+21
2.0030679836570198e-07 3.685619304760292e+21
2.0213429603733432e-07 3.7527655974418923e+21
2.040289934348229e-07 3.8237522303045363e+21
2.058911896908659e-07 3.894181660721638e+21
2.078224973328573e-07 3.968179662916237e+21
2.0971945724766025e-07 4.0401817435193003e+21
2.1168747808857839e-07 4.116539298775065e+21
2.136191992212738e-07 4.192975226799471e+21
2.1562396751427842e-07 4.271263736641539e+21
2.1759037339129395e-07 4.3496616830372146e+21
2.196318479513468e-07 4.4309899647080884e+21
2.2163278118563024e-07 4.5135473266836426e+21
2.237108382757227e-07 4.5972135049619267e+21
2.2578713540985587e-07 4.683223082556402e+21
2.278604791693587e-07 4.769619365829187e+21
2.299722537677772e-07 4.858982374872194e+21
2.3208011767249495e-07 4.948446831096923e+21
2.3422697924809479e-07 5.040930733596119e+21
2.3641393084549503e-07 5.133965006001749e+21
2.3859621328406886e-07 5.229794263359861e+21
2.408191593705664e-07 5.32781000106906e+21
2.4303629952539824e-07 5.426258508297646e+21
2.4529464394566194e-07 5.527925184406564e+21
2.4754595153175537e-07 5.6299489221237e+21
2.4983896678960086e-07 5.734102336932543e+21
2.5217485956852805e-07 5.841747108594129e+21
2.5450262750300677e-07 5.950388510662494e+21
2.568205980288052e-07 6.05812931530297e+21
2.5923533411557833e-07 6.173883279702772e+21
2.616407231288819e-07 6.28934648219066e+21
2.640349668178672e-07 6.404122898152359e+21
2.664734340801456e-07 6.523178905722695e+21
2.689573616035461e-07 6.645328823681103e+21
2.7142863904553885e-07 6.768204759111652e+21
2.739457516178313e-07 6.894308537166117e+21
2.765099864223664e-07 7.023241027094162e+21
2.790598985778583e-07 7.153209376981114e+21
2.815933520374848e-07 7.284594789806578e+21
2.8423832968548866e-07 7.42197587155327e+21
2.868671234860481e-07 7.559473310924281e+21
2.895449962840509e-07 7.702130613214691e+21
2.9220450048920346e-07 7.843492625184853e+21
2.949133133057186e-07 7.989388598720559e+21
2.976014173847825e-07 8.136078220407608e+21
3.0041169711311335e-07 8.290843218763555e+21
3.031273660095671e-07 8.442053311695494e+21
3.0596801703505746e-07 8.599632288307374e+21
3.0878554232880985e-07 8.759757381083092e+21
3.116554406121974e-07 8.923319867484643e+21
3.144994446329932e-07 9.086276512120488e+21
3.1747704940561877e-07 9.25878648260271e+21
3.203460648275647e-07 9.427753706827388e+21
3.2335165730444563e-07 9.604824708769183e+21
3.263283295836818e-07 9.782616315302051e+21
3.2936031565626706e-07 9.965319180552013e+21
3.3236011494164423e-07 1.0147767851297817e+22
3.3550576232481283e-07 1.0341531724294463e+22
3.3861907998830734e-07 1.053277788247583e+22
3.41696587462726e-07 1.0726457882560036e+22
3.4492641342150627e-07 1.0930443051789382e+22
3.480225270903669e-07 1.112669366344393e+22
3.5127415319285333e-07 1.1335239865257706e+22
3.5458711319724434e-07 1.1550630855692574e+22
3.578599103193418e-07 1.1764542565834704e+22
3.610885649235035e-07 1.1978098634446013e+22
3.644830520203167e-07 1.2204384394513503e+22
3.6783288143408183e-07 1.242962346607155e+22
3.712448560972944e-07 1.2661633127226838e+22
3.7472072155758324e-07 1.2900747185261992e+22
3.781470006330869e-07 1.313592495729789e+22
3.816365146346226e-07 1.3379600047887597e+22
3.8519103044928846e-07 1.363102052422916e+22
3.886905730191598e-07 1.387857776002127e+22
3.923783393665902e-07 1.4143558141891496e+22
3.9601031250467857e-07 1.4406250508561722e+22
3.9958141999264346e-07 1.4667410962066314e+22
4.033486050315858e-07 1.4946020124580662e+22
4.070539071775453e-07 1.5222310294968315e+22
4.1082791691296625e-07 1.5505296589046575e+22
4.146725631942373e-07 1.5795672627601081e+22
4.1844867085232985e-07 1.608547672865459e+22
4.222941828036617e-07 1.6382594954391236e+22
4.262110302566671e-07 1.668790740098467e+22
4.302012167396526e-07 1.7002086297868459e+22
4.3411487371489084e-07 1.731233840564877e+22
4.382551427330124e-07 1.7645623954350545e+22
4.423174007405198e-07 1.7973176105237788e+22
4.462950752076108e-07 1.8297281543004708e+22
4.505084637171961e-07 1.8645037002946727e+22
4.546355108380938e-07 1.8988266665820377e+22
4.5883887170013237e-07 1.934139437965229e+22
4.631206827462329e-07 1.970266377016419e+22
4.6730708439817624e-07 2.006035793021114e+22
4.717491669494897e-07 2.0444292872566984e+22
4.760937486865533e-07 2.0821779228432253e+22
4.80519097241347e-07 2.121170442562515e+22
4.848379480567245e-07 2.1594606347707465e+22
4.894281298134746e-07 2.2005869320719724e+22
4.939093587090598e-07 2.241058767474821e+22
4.984734066199911e-07 2.2826772735619253e+22
5.031225908666497e-07 2.325472866730086e+22
5.078593160364953e-07 2.369414855460187e+22
5.124743118864758e-07 2.4127191481143427e+22
5.171739512618416e-07 2.45714441688702e+22
5.219605843824813e-07 2.5028569887034323e+22
5.268366492896637e-07 2.5499095841006254e+22
5.318046759867801e-07 2.597979045910656e+22
5.366350817807777e-07 2.645623903688077e+22
5.415540415002872e-07 2.6942802138357337e+22
5.465640128093207e-07 2.7443671663702807e+22
5.516675451654772e-07 2.7957535813667113e+22
5.568672841459416e-07 2.848709895596695e+22
5.61911371864655e-07 2.900435709908807e+22
5.670476732528144e-07 2.953869348769088e+22
5.722787403492427e-07 3.0086416796735913e+22
5.776072202407626e-07 3.064817582950899e+22
5.830358595287397e-07 3.1231150865415536e+22
5.882884348398094e-07 3.1791977081446817e+22
5.939206840962939e-07 3.240633678602321e+22
5.993721299889652e-07 3.2997682307342143e+22
6.049245778045626e-07 3.361319139080939e+22
6.105808607663179e-07 3.4253540345293757e+22
6.160378893133854e-07 3.4870536961945684e+22
6.219049168306556e-07 3.552535476253345e+22
6.275671770749408e-07 3.617476382898406e+22
6.333334911062573e-07 3.684398213521126e+22
6.392067537749397e-07 3.7527655974418925e+22
6.451899683188549e-07 3.823729242754203e+22
6.512862514840725e-07 3.897182202281616e+22
6.571505874349354e-07 3.967373679453682e+22
6.631214906879519e-07 4.039075590116765e+22
6.692018927061262e-07 4.113494114428605e+22
6.753948334660632e-07 4.190177490657851e+22
6.81703466525911e-07 4.2697681261553575e+22
6.881310643800101e-07 4.350175484979693e+22
6.946810241193494e-07 4.433841752959257e+22
7.009606265972645e-07 4.5138448333040515e+22
7.073547942287105e-07 4.596999871627679e+22
7.138666910685604e-07 4.6814044025222265e+22
7.20499598767223e-07 4.769431382365755e+22
7.272569220850868e-07 4.858987788978822e+22
7.341421947202118e-07 4.951562310398235e+22
7.407166024341242e-07 5.040930733596119e+22
7.474098247452758e-07 5.130992866053933e+22
7.546838862999744e-07 5.232121330680976e+22
7.616330933561436e-07 5.328798552725124e+22
7.687114678297137e-07 5.429131862923467e+22
7.754376931732238e-07 5.524060612731173e+22
7.827762202379546e-07 5.629948922123701e+22
7.902549739344955e-07 5.737593693833854e+22
7.97365237196117e-07 5.8403300455225944e+22
8.046046102964707e-07 5.947652991663875e+22
8.119766420662028e-07 6.056339037013775e+22
