#"E (kev)" "Fv (kev/s/cm^2/kev)"
2.5923533411557833e-07 7.366710862498458e+21
2.616407231288819e-07 7.504045501057458e+21
2.640349668178672e-07 7.641769196366479e+21
2.664734340801456e-07 7.783746438348715e+21
2.689573616035461e-07 7.929577449961212e+21
2.7142863904553885e-07 8.076063082620579e+21
2.739457516178313e-07 8.226230385345564e+21
2.765099864223664e-07 8.380969517986397e+21
2.790598985778583e-07 8.536271418170799e+21
2.815933520374848e-07 8.692210608666147e+21
2.8423832968548866e-07 8.856231200060686e+21
2.868671234860481e-07 9.020612433559632e+21
2.895449962840509e-07 9.190124516151e+21
2.9220450048920346e-07 9.359569934724344e+21
2.949133133057186e-07 9.53386580719636e+21
2.976014173847825e-07 9.70838810828557e+21
3.0041169711311335e-07 9.892639003300822e+21
3.031273660095671e-07 1.00724074229275e+22
3.0596801703505746e-07 1.0261990930287044e+22
3.0878554232880985e-07 1.0451763343138826e+22
3.116554406121974e-07 1.0647029746214512e+22
3.144994446329932e-07 1.0842172657033422e+22
3.1747704940561877e-07 1.1048491204538217e+22
3.203460648275647e-07 1.1249163855423418e+22
3.2335165730444563e-07 1.1461215155309722e+22
3.263283295836818e-07 1.1672836121296797e+22
3.2936031565626706e-07 1.1891260854864687e+22
3.3236011494164423e-07 1.2108723763078844e+22
3.3550576232481283e-07 1.2339241289887848e+22
3.3861907998830734e-07 1.2568895824733755e+22
3.41696587462726e-07 1.2798629878515592e+22
3.4492641342150627e-07 1.304166553628713e+22
3.480225270903669e-07 1.32767350640732e+22
3.5127415319285333e-07 1.3526141651990759e+22
3.5458711319724434e-07 1.3782463718063212e+22
3.578599103193418e-07 1.4038066114078058e+22
3.610885649235035e-07 1.4292300098741861e+22
3.644830520203167e-07 1.4563086307446978e+22
3.6783288143408183e-07 1.4831782820800568e+22
3.712448560972944e-07 1.51087810742183e+22
3.7472072155758324e-07 1.539235009224996e+22
3.781470006330869e-07 1.5674418981453055e+22
3.816365146346226e-07 1.5965899960081787e+22
3.8519103044928846e-07 1.6264388632525396e+22
3.886905730191598e-07 1.6561207943417345e+22
3.923783393665902e-07 1.6877337373230145e+22
3.9601031250467857e-07 1.718967433634323e+22
3.9958141999264346e-07 1.7502075100478233e+22
4.033486050315858e-07 1.7833269847274851e+22
4.070539071775453e-07 1.8162949114283346e+22
4.1082791691296625e-07 1.8501441787075548e+22
4.146725631942373e-07 1.8849202860585172e+22
4.1844867085232985e-07 1.9194172987923898e+22
4.222941828036617e-07 1.954837971380557e+22
4.262110302566671e-07 1.9913059897995017e+22
4.302012167396526e-07 2.028799428309627e+22
4.3411487371489084e-07 2.0657193417060827e+22
4.382551427330124e-07 2.105434325004812e+22
4.423174007405198e-07 2.144547795958283e+22
4.462950752076108e-07 2.1833203898357046e+22
4.505084637171961e-07 2.224812995131897e+22
4.546355108380938e-07 2.2657509819003253e+22
4.5883887170013237e-07 2.307880877687323e+22
4.631206827462329e-07 2.351008742361667e+22
4.6730708439817624e-07 2.3936118700603446e+22
4.717491669494897e-07 2.439455598852046e+22
4.760937486865533e-07 2.48454948355496e+22
4.80519097241347e-07 2.53120803393423e+22
4.848379480567245e-07 2.576704776339395e+22
4.894281298134746e-07 2.625707864733991e+22
4.939093587090598e-07 2.6740654406214737e+22
4.984734066199911e-07 2.7236123534167512e+22
5.031225908666497e-07 2.774875622868765e+22
5.078593160364953e-07 2.8271437967914896e+22
5.124743118864758e-07 2.8787989841559704e+22
5.171739512618416e-07 2.9318752979626593e+22
5.219605843824813e-07 2.986394181429426e+22
5.268366492896637e-07 3.0424399894434435e+22
5.318046759867801e-07 3.1002346799522143e+22
5.366350817807777e-07 3.1567576503400324e+22
5.415540415002872e-07 3.2149022608594257e+22
5.465640128093207e-07 3.274652431701489e+22
5.516675451654772e-07 3.3361448730299222e+22
5.568672841459416e-07 3.3991790721691445e+22
5.61911371864655e-07 3.461049849315366e+22
5.670476732528144e-07 3.52467648012314e+22
5.722787403492427e-07 3.58994119552684e+22
5.776072202407626e-07 3.657249133969882e+22
5.830358595287397e-07 3.7262927335154963e+22
5.882884348398094e-07 3.793673944904356e+22
5.939206840962939e-07 3.866698554162353e+22
5.993721299889652e-07 3.938010556210244e+22
6.049245778045626e-07 4.01120601511193e+22
6.105808607663179e-07 4.0866970415125334e+22
6.160378893133854e-07 4.160123040246052e+22
6.219049168306556e-07 4.239532524615924e+22
6.275671770749408e-07 4.317167211918553e+22
6.333334911062573e-07 4.3969183942418295e+22
6.392067537749397e-07 4.478634530255964e+22
6.451899683188549e-07 4.563001515011456e+22
6.512862514840725e-07 4.649692481468852e+22
6.571505874349354e-07 4.733839646896566e+22
6.631214906879519e-07 4.820190163640815e+22
6.692018927061262e-07 4.90909520206548e+22
6.753948334660632e-07 5.000312253141147e+22
6.81703466525911e-07 5.0941747928394115e+22
6.881310643800101e-07 5.190700152106466e+22
6.946810241193494e-07 5.2900595432623996e+22
7.009606265972645e-07 5.3861279332154965e+22
7.073547942287105e-07 5.48479981497897e+22
7.138666910685604e-07 5.586266230604876e+22
7.20499598767223e-07 5.6905041260811825e+22
7.272569220850868e-07 5.79783625769394e+22
7.341421947202118e-07 5.908189352262684e+22
7.407166024341242e-07 6.0143107047004855e+22
7.474098247452758e-07 6.123297002281682e+22
7.546838862999744e-07 6.243094183535416e+22
7.616330933561436e-07 6.358896772433107e+22
7.687114678297137e-07 6.4775387537190244e+22
7.754376931732238e-07 6.591319561768298e+22
7.827762202379546e-07 6.716764251556189e+22
7.902549739344955e-07 6.845754424126151e+22
7.97365237196117e-07 6.969363014769819e+22
8.046046102964707e-07 7.096669357020454e+22
8.119766420662028e-07 7.227030437374993e+22
8.194850126005006e-07 7.361409163919766e+22
8.27133539384772e-07 7.4993457056005895e+22
8.349261837665936e-07 7.641394971628081e+22
8.428670577969822e-07 7.78762451127588e+22
8.503771823695394e-07 7.926995762712748e+22
8.586161308492443e-07 8.08127828740435e+22
8.664108303611438e-07 8.22867785936227e+22
8.743483503010276e-07 8.38023178924637e+22
8.82432652259714e-07 8.535726343816938e+22
8.906678457122455e-07 8.695875835013082e+22
8.990581949834478e-07 8.860520134159002e+22
9.069446703780395e-07 9.016676282557194e+22
9.156459845587882e-07 9.190401164398157e+22
9.238274825593135e-07 9.355453463054419e+22
9.328573752459835e-07 9.53917447831244e+22
9.413507656124112e-07 9.71368569589499e+22
9.500002366593859e-07 9.89305647417328e+22
9.588101306624096e-07 1.0077374032648948e+23
9.677849524782824e-07 1.026689696171691e+23
9.761607467168827e-07 1.0445452990459624e+23
9.85464899981857e-07 1.0645544817396197e+23
9.949481227563416e-07 1.0851178717219022e+23
1.0038028390591892e-06 1.1045329055231765e+23
1.0128165788384964e-06 1.1244521251641745e+23
1.0228361987445655e-06 1.1468122049797871e+23
1.032196596570015e-06 1.167894648956185e+23
1.0417298984694862e-06 1.1895817850450867e+23
1.0514409398958968e-06 1.2118486495027536e+23
1.0613347383038135e-06 1.2347525179849977e+23
1.0704920699544072e-06 1.2561573594906065e+23
1.0807493981508345e-06 1.280396176010636e+23
1.090246317291e-06 1.3029386168992269e+23
1.1008875856940178e-06 1.3285408534456073e+23
1.110743338475522e-06 1.3524480512506141e+23
1.1207771536379026e-06 1.376962069712942e+23
1.1320258294499618e-06 1.404803185550538e+23
1.1424496400342154e-06 1.4307012474024117e+23
1.1530672017445707e-06 1.4574080010249941e+23
1.162793166895181e-06 1.4821137789115204e+23
1.1737940483227605e-06 1.5102706101569666e+23
1.1850050707518223e-06 1.539282475475697e+23
1.195279681191867e-06 1.566074690300082e+23
1.2069069154447063e-06 1.596763650767855e+23
1.2175665447273387e-06 1.6250690634918934e+23
1.2296336066175994e-06 1.657354986414028e+23
1.240700309077158e-06 1.6873702896690032e+23
1.2522207398840917e-06 1.7188414587317365e+23
1.2638283682155018e-06 1.7509157842035637e+23
1.2755220613520694e-06 1.783364532129128e+23
1.2873005904515026e-06 1.8164728383223363e+23
1.2991626273059246e-06 1.850182798276925e+23
1.3112453065706595e-06 1.8847952582557662e+23
1.323272513947481e-06 1.919598941721009e+23
1.3355223994371992e-06 1.955150163919846e+23
1.3480012049947394e-06 1.9918558724476957e+23
1.3604170055670592e-06 2.02880445022957e+23
1.3730636443970317e-06 2.0666152119442277e+23
1.3856380490028568e-06 2.1046259350269268e+23
1.398444893008519e-06 2.1438467034957928e+23
