#"E (kev)" "Fv (kev/s/cm^2/kev)"
1.240700309077158e-07 4.416883446432207e+21
1.2522207398840916e-07 4.4989493520098515e+21
1.2638283682155016e-07 4.5830329285552143e+21
1.2755220613520696e-07 4.668236763752419e+21
1.2873005904515024e-07 4.754712207305922e+21
1.2991626273059247e-07 4.842640043219202e+21
1.3112453065706595e-07 4.932991463566822e+21
1.3232725139474809e-07 5.024150487017377e+21
1.335522399437199e-07 5.117657031419793e+21
1.3480012049947392e-07 5.213756870213066e+21
1.360417005567059e-07 5.309885754643942e+21
1.373063644397032e-07 5.40952865981384e+21
1.3856380490028567e-07 5.508850894110467e+21
1.3984448930085188e-07 5.611261757369613e+21
1.4114906815439796e-07 5.716247943084284e+21
1.4244550046810078e-07 5.822207604453948e+21
1.437659686068549e-07 5.930480397939865e+21
1.4509417718128381e-07 6.040424593986176e+21
1.4644715640665228e-07 6.153652337474826e+21
1.4779038821645716e-07 6.266821989020961e+21
1.4915848870848257e-07 6.383648607775947e+21
1.505521549662854e-07 6.503406385841065e+21
1.519348896739111e-07 6.623377053887426e+21
1.5334325906280533e-07 6.746733707193127e+21
1.5475867644719446e-07 6.871744179739396e+21
1.562004669617472e-07 7.000478503207035e+21
1.5764934041641146e-07 7.131027175468763e+21
1.591049383274119e-07 7.263485737572948e+21
1.605668835352864e-07 7.397461292643797e+21
1.6205594423682836e-07 7.535225298328251e+21
1.6355131941433667e-07 7.674753575802991e+21
1.6507454883943029e-07 7.818589341821788e+21
1.6660404311496683e-07 7.964411060757038e+21
1.6813935615627564e-07 8.111767355866567e+21
1.697032292541592e-07 8.26307530256912e+21
1.7127282013765298e-07 8.416669618762968e+21
1.728476329168512e-07 8.571961323292759e+21
1.7445167450466224e-07 8.732178543578227e+21
1.760607789239617e-07 8.893895173545472e+21
1.776998437520994e-07 9.060138301811096e+21
1.793437856428387e-07 9.228769460619052e+21
1.8099202174721489e-07 9.399203505261475e+21
1.826708346697818e-07 9.574376161507931e+21
1.8435368634133107e-07 9.751526756474633e+21
1.8606783279501472e-07 9.933509609125128e+21
1.877857286328376e-07 1.0117726859016087e+22
1.895356414722209e-07 1.030733591391198e+22
1.9128897765605273e-07 1.0498899592553987e+22
1.9304501463780272e-07 1.0692810404344667e+22
1.948335912495537e-07 1.0891560370338357e+22
1.9662445468734676e-07 1.1093021709416354e+22
1.9844854591765164e-07 1.1299535092767368e+22
2.0030679836570198e-07 1.1512250943059385e+22
2.0213429603733432e-07 1.1723404337383268e+22
2.040289934348229e-07 1.1943992162579286e+22
2.058911896908659e-07 1.2162923884917255e+22
2.078224973328573e-07 1.2392284157040717e+22
2.0971945724766025e-07 1.261958280079495e+22
2.1168747808857839e-07 1.285761653023778e+22
2.136191992212738e-07 1.309323279484619e+22
2.1562396751427842e-07 1.3340094779620355e+22
2.1759037339129395e-07 1.3584675737765912e+22
2.196318479513468e-07 1.3840570465160574e+22
2.2163278118563024e-07 1.409404695083511e+22
2.237108382757227e-07 1.4359472038451379e+22
2.2578713540985587e-07 1.4627472836819992e+22
2.278604791693587e-07 1.4896953908794136e+22
2.299722537677772e-07 1.5174410169961186e+22
2.3208011767249495e-07 1.5453999897384162e+22
2.3422697924809479e-07 1.574134808714461e+22
2.3641393084549503e-07 1.603646809681008e+22
2.3859621328406886e-07 1.6334050305785165e+22
2.408191593705664e-07 1.664007205053637e+22
2.4303629952539824e-07 1.6947804199373203e+22
2.4529464394566194e-07 1.7264161236830986e+22
2.4754595153175537e-07 1.7582624635365639e+22
2.4983896678960086e-07 1.7909980889392051e+22
2.5217485956852805e-07 1.8246266671673333e+22
2.5450262750300677e-07 1.8584208944919105e+22
2.568205980288052e-07 1.892477355783214e+22
2.5923533411557833e-07 1.9282565065385796e+22
2.616407231288819e-07 1.9641520788404162e+22
2.640349668178672e-07 2.000355173554904e+22
2.664734340801456e-07 2.0375164674493506e+22
2.689573616035461e-07 2.075593533105263e+22
2.7142863904553885e-07 2.113756672684602e+22
2.739457516178313e-07 2.153383667756186e+22
2.765099864223664e-07 2.1937166046435763e+22
2.790598985778583e-07 2.2344679822447765e+22
2.815933520374848e-07 2.275120370579457e+22
2.8423832968548866e-07 2.3179746616774844e+22
2.868671234860481e-07 2.3609994158704305e+22
2.895449962840509e-07 2.405541838172919e+22
2.9220450048920346e-07 2.449848522438536e+22
2.949133133057186e-07 2.495320330869651e+22
2.976014173847825e-07 2.5413036048519216e+22
3.0041169711311335e-07 2.589538626332034e+22
3.031273660095671e-07 2.6363535165603417e+22
3.0596801703505746e-07 2.685992849051422e+22
3.0878554232880985e-07 2.7357079342777077e+22
3.116554406121974e-07 2.7869059104721615e+22
3.144994446329932e-07 2.8378562187400254e+22
3.1747704940561877e-07 2.8919647113428205e+22
3.203460648275647e-07 2.9442772137869203e+22
3.2335165730444563e-07 3.0001966073406357e+22
3.263283295836818e-07 3.0553145178369695e+22
3.2936031565626706e-07 3.1124447557228417e+22
3.3236011494164423e-07 3.1693999410475335e+22
3.3550576232481283e-07 3.229790412166548e+22
3.3861907998830734e-07 3.2896710252835254e+22
3.41696587462726e-07 3.350195651705128e+22
3.4492641342150627e-07 3.413639974338085e+22
3.480225270903669e-07 3.4753807883639003e+22
3.5127415319285333e-07 3.540665446224126e+22
3.5458711319724434e-07 3.607364658563378e+22
3.578599103193418e-07 3.674605835273879e+22
3.610885649235035e-07 3.741004631457418e+22
3.644830520203167e-07 3.811629121617679e+22
3.6783288143408183e-07 3.882107605319675e+22
3.712448560972944e-07 3.954455858162058e+22
3.7472072155758324e-07 4.028929951024479e+22
3.781470006330869e-07 4.1029518891537935e+22
3.816365146346226e-07 4.179004126803533e+22
3.8519103044928846e-07 4.257042317273626e+22
3.886905730191598e-07 4.334846975064178e+22
3.923783393665902e-07 4.41758632822396e+22
3.9601031250467857e-07 4.4993575491858795e+22
3.9958141999264346e-07 4.5811257102402905e+22
4.033486050315858e-07 4.667793788899868e+22
4.070539071775453e-07 4.753986011074723e+22
4.1082791691296625e-07 4.842616728746202e+22
4.146725631942373e-07 4.933854486868691e+22
4.1844867085232985e-07 5.023894027666384e+22
4.222941828036617e-07 5.116732856722334e+22
4.262110302566671e-07 5.2119371779139655e+22
4.302012167396526e-07 5.309885754643942e+22
4.3411487371489084e-07 5.40727133630696e+22
4.382551427330124e-07 5.510895327636501e+22
4.423174007405198e-07 5.613454869054282e+22
4.462950752076108e-07 5.715142207515173e+22
4.505084637171961e-07 5.823155870417205e+22
4.546355108380938e-07 5.930585507299815e+22
4.5883887170013237e-07 6.040558749160425e+22
4.631206827462329e-07 6.153853764358149e+22
4.6730708439817624e-07 6.265693327267288e+22
4.717491669494897e-07 6.385363579057809e+22
4.760937486865533e-07 6.503522958044605e+22
4.80519097241347e-07 6.625214328913384e+22
4.848379480567245e-07 6.7445929559062445e+22
4.894281298134746e-07 6.872939725062592e+22
4.939093587090598e-07 6.9995073110725374e+22
4.984734066199911e-07 7.1296416663626955e+22
5.031225908666497e-07 7.263258324693091e+22
5.078593160364953e-07 7.400383660510156e+22
5.124743118864758e-07 7.535438188319347e+22
5.171739512618416e-07 7.674365633280394e+22
5.219605843824813e-07 7.817136949356221e+22
5.268366492896637e-07 7.96342573425905e+22
5.318046759867801e-07 8.114578882994857e+22
5.366350817807777e-07 8.262730928982148e+22
5.415540415002872e-07 8.414759340423909e+22
5.465640128093207e-07 8.571389536847698e+22
5.516675451654772e-07 8.732210649505804e+22
5.568672841459416e-07 8.897706938769128e+22
5.61911371864655e-07 9.059240112875164e+22
5.670476732528144e-07 9.225602485170438e+22
5.722787403492427e-07 9.396931270352271e+22
5.776072202407626e-07 9.572626412833546e+22
5.830358595287397e-07 9.75353335254573e+22
5.882884348398094e-07 9.930003991648694e+22
5.939206840962939e-07 1.0121176667933656e+23
5.993721299889652e-07 1.030761607563855e+23
6.049245778045626e-07 1.0499651774907369e+23
6.105808607663179e-07 1.0696502925718031e+23
6.160378893133854e-07 1.0888830249828282e+23
6.219049168306556e-07 1.1097344109357472e+23
6.275671770749408e-07 1.1299827105379247e+23
6.333334911062573e-07 1.1508891332355696e+23
6.392067537749397e-07 1.17234918636707e+23
6.451899683188549e-07 1.1943898904799896e+23
6.512862514840725e-07 1.2170631881886786e+23
6.571505874349354e-07 1.2390808061702487e+23
6.631214906879519e-07 1.2616864531564155e+23
6.692018927061262e-07 1.2849357389656273e+23
6.753948334660632e-07 1.3088228544081453e+23
6.81703466525911e-07 1.3333865549516492e+23
6.881310643800101e-07 1.3586761457325492e+23
6.946810241193494e-07 1.384622217691805e+23
7.009606265972645e-07 1.4097730292416104e+23
7.073547942287105e-07 1.4356512221292861e+23
7.138666910685604e-07 1.4621732433551865e+23
7.20499598767223e-07 1.4894699645413163e+23
7.272569220850868e-07 1.5175891608504953e+23
7.341421947202118e-07 1.546442043205207e+23
7.407166024341242e-07 1.5742427448369992e+23
7.474098247452758e-07 1.6028247182397013e+23
7.546838862999744e-07 1.634138794293388e+23
7.616330933561436e-07 1.6644243488561795e+23
7.687114678297137e-07 1.6954811986743975e+23
7.754376931732238e-07 1.7252897933745006e+23
7.827762202379546e-07 1.7580092492350514e+23
7.902549739344955e-07 1.791836500530118e+23
7.97365237196117e-07 1.824241629212942e+23
8.046046102964707e-07 1.8574619327304223e+23
8.119766420662028e-07 1.8916887060402708e+23
8.194850126005006e-07 1.9268580821334248e+23
8.27133539384772e-07 1.9629489615240064e+23
8.349261837665936e-07 2.0002603857801488e+23
8.428670577969822e-07 2.0383973064064085e+23
8.503771823695394e-07 2.0749897959550955e+23
8.586161308492443e-07 2.1152323019367146e+23
8.664108303611438e-07 2.153905765530875e+23
8.743483503010276e-07 2.193439580523472e+23
8.82432652259714e-07 2.2342653360737134e+23
8.906678457122455e-07 2.2762342762456832e+23
8.990581949834478e-07 2.319244507445168e+23
9.069446703780395e-07 2.3601926440565697e+23
9.156459845587882e-07 2.405681880390709e+23
9.238274825593135e-07 2.4488438497935885e+23
9.328573752459835e-07 2.496956178733964e+23
9.413507656124112e-07 2.5425563335433077e+23
9.500002366593859e-07 2.5896159866205962e+23
9.588101306624096e-07 2.637627951943669e+23
9.677849524782824e-07 2.68728478974149e+23
9.761607467168827e-07 2.733820970458822e+23
9.85464899981857e-07 2.7866578545421337e+23
9.949481227563416e-07 2.8401311248730876e+23
1.0038028390591892e-06 2.8912094691272603e+23
1.0128165788384964e-06 2.9434921489300287e+23
1.0228361987445655e-06 3.0016463282987926e+23
1.032196596570015e-06 3.057119686845235e+23
1.0417298984694862e-06 3.113887967444555e+23
1.0514409398958968e-06 3.1718732140848436e+23
1.0613347383038135e-06 3.2321497848766696e+23
1.0704920699544072e-06 3.2882213045117905e+23
1.0807493981508345e-06 3.3512662214114274e+23
1.090246317291e-06 3.4104233098730156e+23
1.1008875856940178e-06 3.477340755803308e+23
1.110743338475522e-06 3.540052761763411e+23
1.1207771536379026e-06 3.604165189145879e+23
1.1320258294499618e-06 3.676941893584222e+23
1.1424496400342154e-06 3.744822128378992e+23
1.1530672017445707e-06 3.8150468242835565e+23
1.162793166895181e-06 3.8795789113150345e+23
1.1737940483227605e-06 3.953496129034683e+23
1.1850050707518223e-06 4.0291309893339795e+23
1.195279681191867e-06 4.099286130812633e+23
1.2069069154447063e-06 4.1793542317653744e+23
1.2175665447273387e-06 4.253676586600875e+23
1.2296336066175994e-06 4.33818939117208e+23
1.240700309077158e-06 4.416883446432207e+23
1.2522207398840917e-06 4.4989493520098516e+23
1.2638283682155018e-06 4.5830329285552145e+23
1.2755220613520694e-06 4.668236763752419e+23
1.2873005904515026e-06 4.7547122073059215e+23
1.2991626273059246e-06 4.8426400432192013e+23
1.3112453065706595e-06 4.9329914635668225e+23
1.323272513947481e-06 5.0241504870173776e+23
1.3355223994371992e-06 5.117657031419793e+23
1.3480012049947394e-06 5.213756870213065e+23
1.3604170055670592e-06 5.3098857546439416e+23
1.3730636443970317e-06 5.4095286598138405e+23
1.3856380490028568e-06 5.508850894110468e+23
1.398444893008519e-06 5.611261757369613e+23
1.4114906815439797e-06 5.7162479430842834e+23
1.4244550046810078e-06 5.822207604453948e+23
1.4376596860685492e-06 5.930480397939865e+23
1.4509417718128384e-06 6.040424593986176e+23
1.4644715640665227e-06 6.153652337474826e+23
1.477903882164572e-06 6.26682198902096e+23
1.4915848870848259e-06 6.383648607775947e+23
1.5055215496628538e-06 6.503406385841065e+23
1.5193488967391111e-06 6.623377053887427e+23
1.5334325906280534e-06 6.746733707193127e+23
1.5475867644719446e-06 6.871703282451103e+23
1.562004669617472e-06 7.000478503207035e+23
1.5764934041641144e-06 7.131027175468762e+23
1.5910493832741191e-06 7.263485737572948e+23
1.605668835352864e-06 7.397461292643798e+23
1.6205594423682838e-06 7.535225298328251e+23
1.6355131941433667e-06 7.67475357580299e+23
1.650745488394303e-06 7.818589341821788e+23
1.6660404311496684e-06 7.964411060757039e+23
1.6813935615627564e-06 8.111767355866567e+23
1.697032292541592e-06 8.26307530256912e+23
1.7127282013765295e-06 8.416669618762968e+23
1.728476329168512e-06 8.571961323292759e+23
1.7445167450466227e-06 8.732178543578227e+23
1.7606077892396168e-06 8.893895173545472e+23
1.7769984375209941e-06 9.060138301811095e+23
1.7934378564283869e-06 9.228769460619052e+23
1.8099202174721486e-06 9.399203505261474e+23
1.8267083466978182e-06 9.574376161507932e+23
1.8435368634133106e-06 9.751526756474634e+23
1.8606783279501468e-06 9.933495086150538e+23
1.877857286328376e-06 1.0117726859016086e+24
1.8953564147222088e-06 1.0307335913911981e+24
1.912889776560527e-06 1.0498899592553987e+24
1.930450146378027e-06 1.0692810404344667e+24
1.948335912495537e-06 1.0891560370338357e+24
1.9662445468734675e-06 1.1093021709416355e+24
1.9844854591765163e-06 1.1299535092767367e+24
2.0030679836570197e-06 1.1512250943059384e+24
2.0213429603733433e-06 1.1723404337383266e+24
2.040289934348229e-06 1.1943992162579286e+24
2.058911896908659e-06 1.2162923884917254e+24
2.078224973328573e-06 1.23922929484751e+24
2.0971945724766024e-06 1.2619833528285793e+24
2.116874780885784e-06 1.2857616530237777e+24
2.1361919922127376e-06 1.309323279484619e+24
2.156239675142784e-06 1.3340094779620354e+24
2.1759037339129394e-06 1.3584675737765913e+24
2.196318479513468e-06 1.3840570465160575e+24
2.216327811856302e-06 1.409404695083511e+24
2.237108382757227e-06 1.435947203845138e+24
2.2578713540985587e-06 1.4627472836819992e+24
2.2786047916935868e-06 1.4896953908794138e+24
2.299722537677772e-06 1.5174410169961186e+24
2.3208011767249496e-06 1.545399989738416e+24
2.3422697924809475e-06 1.574134808714461e+24
2.3641393084549505e-06 1.603646809681008e+24
2.385962132840688e-06 1.6334050305785166e+24
2.408191593705664e-06 1.664007205053637e+24
2.4303629952539826e-06 1.6947804199373203e+24
2.4529464394566192e-06 1.7264161236830986e+24
2.4754595153175536e-06 1.7582624635365638e+24
2.498389667896009e-06 1.790998088939205e+24
2.5217485956852803e-06 1.8246266671673331e+24
2.5450262750300675e-06 1.8584244110687485e+24
2.568205980288052e-06 1.892477355783214e+24
2.5923533411557833e-06 1.9282565065385793e+24
2.616407231288819e-06 1.9641520788404162e+24
2.6403496681786724e-06 2.0003551735549042e+24
2.6647343408014564e-06 2.0375164674493506e+24
2.6895736160354607e-06 2.075593533105263e+24
2.714286390455388e-06 2.1137566726846016e+24
2.739457516178313e-06 2.153383667756186e+24
2.765099864223664e-06 2.1937166046435765e+24
2.790598985778583e-06 2.2344679822447764e+24
2.8159335203748477e-06 2.2751203705794573e+24
2.8423832968548867e-06 2.3179746616774844e+24
2.868671234860481e-06 2.3609994158704308e+24
2.8954499628405087e-06 2.4055418381729185e+24
2.922045004892035e-06 2.4498499747306404e+24
2.9491331330571854e-06 2.495320330869651e+24
2.976014173847824e-06 2.5413036048519213e+24
3.004116971131133e-06 2.589538626332034e+24
3.0312736600956705e-06 2.6363535165603417e+24
3.059680170350575e-06 2.6859928490514223e+24
3.0878554232880982e-06 2.7357079342777077e+24
3.116554406121974e-06 2.786905910472162e+24
3.1449944463299315e-06 2.8378562187400254e+24
3.1747704940561875e-06 2.89196471134282e+24
3.203460648275647e-06 2.9442772137869205e+24
3.233516573044457e-06 3.0001966073406355e+24
3.2632832958368175e-06 3.0553145178369697e+24
3.29360315656267e-06 3.1124447557228417e+24
3.3236011494164426e-06 3.169399941047533e+24
3.355057623248129e-06 3.229790412166548e+24
3.386190799883073e-06 3.289671025283525e+24
3.4169658746272594e-06 3.350195651705128e+24
3.449264134215063e-06 3.413639974338085e+24
3.480225270903669e-06 3.4753807883639e+24
3.5127415319285334e-06 3.5406654462241264e+24
3.5458711319724436e-06 3.6073646585633777e+24
3.5785991031934176e-06 3.674605835273879e+24
3.610885649235035e-06 3.741004631457418e+24
3.6448305202031668e-06 3.811629121617679e+24
3.6783288143408182e-06 3.8821076053196754e+24
3.7124485609729446e-06 3.954455858162058e+24
3.747207215575832e-06 4.028929951024479e+24
3.7814700063308684e-06 4.102951889153793e+24
3.8163651463462256e-06 4.179004126803533e+24
3.851910304492885e-06 4.257033525860877e+24
3.886905730191597e-06 4.3348469750641777e+24
3.9237833936659015e-06 4.4175863282239597e+24
3.960103125046786e-06 4.499357549185879e+24
3.995814199926435e-06 4.581125710240291e+24
4.033486050315858e-06 4.667793788899868e+24
4.070539071775453e-06 4.7539860110747227e+24
4.108279169129662e-06 4.842616728746202e+24
4.146725631942373e-06 4.93385448686869e+24
4.184486708523299e-06 5.023894027666384e+24
4.222941828036617e-06 5.116732856722334e+24
4.2621103025666715e-06 5.211937177913965e+24
4.302012167396526e-06 5.309885754643942e+24
4.341148737148908e-06 5.40727133630696e+24
4.382551427330124e-06 5.510886536146254e+24
4.423174007405198e-06 5.613454869054282e+24
4.462950752076108e-06 5.715142207515173e+24
4.505084637171961e-06 5.823155870417205e+24
4.546355108380938e-06 5.930585507299815e+24
4.5883887170013235e-06 6.040558749160424e+24
4.631206827462329e-06 6.153844972933575e+24
4.6730708439817624e-06 6.265693327267287e+24
4.717491669494898e-06 6.385363579057809e+24
4.760937486865534e-06 6.503522958044605e+24
4.80519097241347e-06 6.625214328913385e+24
4.8483794805672445e-06 6.744592955906245e+24
4.894281298134746e-06 6.872939725062592e+24
4.939093587090597e-06 6.999507311072538e+24
4.984734066199912e-06 7.129641666362695e+24
5.031225908666497e-06 7.26326711619575e+24
5.078593160364953e-06 7.400383660510156e+24
5.124743118864759e-06 7.535438188319347e+24
5.171739512618416e-06 7.674365633280394e+24
5.219605843824813e-06 7.817136949356221e+24
5.268366492896637e-06 7.963425734259049e+24
5.318046759867801e-06 8.114578882994858e+24
5.366350817807777e-06 8.262730928982147e+24
5.415540415002873e-06 8.414759340423908e+24
5.465640128093207e-06 8.571389536847698e+24
5.516675451654771e-06 8.800361328537729e+24
5.568672841459417e-06 9.295622802278933e+24
5.619113718646549e-06 9.770938415998145e+24
5.6704767325281446e-06 1.0250881683894936e+25
5.722787403492427e-06 1.0735604308381053e+25
5.776072202407626e-06 1.1224525326492608e+25
5.8303585952873965e-06 1.1718519633126875e+25
5.882884348398094e-06 1.2192322157580209e+25
5.939206840962939e-06 1.2696369118701093e+25
5.9937212998896524e-06 1.3179936455426277e+25
6.0492457780456266e-06 1.366903883342818e+25
6.105808607663179e-06 1.4162901187441225e+25
6.160378893133853e-06 1.4636562975685924e+25
6.219049168306557e-06 1.5141958858723997e+25
6.275671770749409e-06 1.5625694923129153e+25
6.333334911062572e-06 1.611596426790677e+25
6.392067537749398e-06 1.6611737981821263e+25
6.451899683188549e-06 1.7113289094424816e+25
6.512862514840725e-06 1.7621167903809878e+25
6.571505874349353e-06 1.8106845513570925e+25
6.631214906879519e-06 1.8598401325601967e+25
6.692018927061262e-06 1.909642049465335e+25
6.7539483346606315e-06 1.9600729674224935e+25
6.81703466525911e-06 2.0111844349512636e+25
6.8813106438001e-06 2.0630239134848475e+25
6.946810241193494e-06 2.115511839457558e+25
7.009606265972644e-06 2.1656561582106605e+25
7.073547942287104e-06 2.2165192548966524e+25
7.138666910685604e-06 2.2680227367594716e+25
7.2049959876722295e-06 2.320315154736353e+25
7.272569220850868e-06 2.373416141774893e+25
7.341421947202118e-06 2.427260769153106e+25
7.407166024341242e-06 2.478498126051475e+25
7.474098247452759e-06 2.5305065356906364e+25
7.546838862999745e-06 2.5868153273490583e+25
7.616330933561437e-06 2.6405415925863528e+25
7.687114678297138e-06 2.6950227844461347e+25
7.754376931732238e-06 2.7467127509891757e+25
7.827762202379545e-06 2.8031873191631002e+25
7.902549739344956e-06 2.8607746147508993e+25
7.97365237196117e-06 2.915375682060461e+25
8.046046102964708e-06 2.970811322774552e+25
8.119766420662029e-06 3.027257100002392e+25
8.194850126005006e-06 3.0846855804248334e+25
8.27133539384772e-06 3.1430454427707406e+25
8.349261837665935e-06 3.2026148793377017e+25
8.428670577969824e-06 3.2630933282594004e+25
8.503771823695394e-06 3.3203116802231832e+25
8.586161308492443e-06 3.382996064024781e+25
8.664108303611439e-06 3.4424254026189808e+25
8.743483503010276e-06 3.5027586115762238e+25
8.82432652259714e-06 3.5644125707380844e+25
8.906678457122455e-06 3.63309308731755e+25
8.99058194983448e-06 3.7079035046462394e+25
9.069446703780395e-06 3.778204546034032e+25
9.156459845587883e-06 3.85549899733438e+25
9.238274825593134e-06 3.92806231939013e+25
9.328573752459835e-06 4.008062691658187e+25
9.413507656124113e-06 4.083082716115546e+25
9.500002366593858e-06 4.159635979075283e+25
9.588101306624096e-06 4.237130761730888e+25
9.677849524782825e-06 4.316317038567598e+25
9.761607467168829e-06 4.389965819151217e+25
9.85464899981857e-06 4.472371716055752e+25
9.949481227563417e-06 4.555447427188217e+25
1.0038028390591894e-05 4.633710988128902e+25
1.0128165788384964e-05 4.713193415221763e+25
1.0228361987445657e-05 4.80105135363737e+25
1.032196596570015e-05 4.88379651846432e+25
1.0417298984694862e-05 4.982082369429607e+25
1.0514409398958966e-05 5.084775592633718e+25
1.0613347383038135e-05 5.189824888830763e+25
1.0704920699544073e-05 5.286574359272936e+25
1.0807493981508344e-05 5.394475395086196e+25
1.090246317291e-05 5.494413381920804e+25
1.1008875856940179e-05 5.606224775811877e+25
1.1107433384755221e-05 5.709786316412047e+25
1.1207771536379025e-05 5.814804567409494e+25
