 menzel.local
 117.144u 0.209s 1:57.47 99.8%
 MV 5.2 Shock Test 01: 50km/s
 Quantity      ,   MVS5,   Model,  Diff%
 OII      7319 ,  0.034,   0.033,   -1.2
 OII      7330 ,  0.027,   0.027,   -1.2
 NeII   12.81m ,  0.146,   0.146,    0.2
 NeIII  15.55m ,  0.011,   0.013,   18.6
 MgII     2798 , 19.896,  19.922,    0.1
 SiIII    1892 ,  0.010,   0.010,   -1.5
 SiIII    2335 ,  0.977,   0.979,    0.1
 SiIII  18.71m ,  0.062,   0.062,    0.8
 SII      6716 ,  2.676,   2.682,    0.2
 SII      6731 ,  1.861,   1.866,    0.2
 SIII     6312 ,  0.010,   0.010,    0.8
 SIII     9069 ,  0.071,   0.072,    0.8
 SIII     9531 ,  0.179,   0.181,    0.8
 ArII   6.985m ,  0.018,   0.018,   -0.6
 FeII   1.643m ,  1.169,   1.174,    0.5
 FeII   17.93m ,  0.254,   0.255,    0.5
 NiII   6.636m ,  0.061,   0.061,    0.5
 Ltot          , 206.18,  207.28,    0.5
 MV 5.2 Shock Test 02: 100km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    , 13.919,  13.953,    0.2
 XHIPre        ,  0.665,   0.669,    0.6
 TShock  kK    , 224.63,  225.17,    0.2
 Mach Number   ,  6.993,   6.993,    0.0
 Alfven Mach   , 86.551,  86.551,    0.0
 R4   E17cm    ,  0.138,   0.138,    0.5
 R3   E17cm    ,  0.243,   0.242,   -0.5
 nH post       ,  3.767,   3.767,    0.0
 nH4           , 76.008,  76.558,    0.7
 nH3           , 124.41,  124.49,    0.1
 menzel.local
 475.337u 0.383s 7:55.83 99.9%
 MV 5.2 Shock Test 03: 200km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e5 4861 ,  3.385,   3.321,   -1.9
 Lya      1215 , 27.933,  28.151,    0.8
 HeI      5876 ,  0.168,   0.167,   -0.2
 HeII     4686 ,  0.055,   0.055,   -0.3
 CII      2326 ,  0.681,   0.705,    3.6
 CIII     1909 ,  1.724,   1.755,    1.8
 CIV      1549 ,  3.746,   3.795,    1.3
 NI       5200 ,  0.071,   0.071,   -0.7
 NII      5755 ,  0.014,   0.014,    2.8
 NII      6548 ,  0.267,   0.267,    0.1
 NII      6584 ,  0.785,   0.786,    0.1
 NIII     1749 ,  0.225,   0.228,    1.5
 NIV      1485 ,  0.307,   0.309,    0.6
 OI       6300 ,  0.209,   0.207,   -1.1
 OII      3727 ,  3.124,   3.200,    2.4
