 menzel.local
 145.791u 0.208s 2:26.09 99.9%
 MV 5.2 Shock Test 01: 50km/s
 Quantity      ,   MVS5,   Model,  Diff%
 OII      7319 ,  0.034,   0.034,    0.0
 OII      7330 ,  0.027,   0.027,   -0.0
 NeII   12.81m ,  0.146,   0.146,    0.0
 NeIII  15.55m ,  0.011,   0.011,    0.0
 MgII     2798 , 19.896,  19.896,   -0.0
 SiIII    1892 ,  0.010,   0.010,    0.0
 SiIII    2335 ,  0.977,   0.977,    0.0
 SiIII  18.71m ,  0.062,   0.062,    0.0
 SII      6716 ,  2.676,   2.676,    0.0
 SII      6731 ,  1.861,   1.861,    0.0
 SIII     6312 ,  0.010,   0.010,    0.0
 SIII     9069 ,  0.071,   0.071,    0.0
 SIII     9531 ,  0.179,   0.179,    0.0
 ArII   6.985m ,  0.018,   0.018,    0.0
 FeII   1.643m ,  1.169,   1.169,    0.0
 FeII   17.93m ,  0.254,   0.254,    0.0
 NiII   6.636m ,  0.061,   0.061,    0.0
 Ltot          , 206.18,  206.18,    0.0
 MV 5.2 Shock Test 02: 100km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    , 13.919,  13.919,    0.0
 XHIPre        ,  0.665,   0.665,    0.0
 TShock  kK    , 224.63,  224.63,    0.0
 Mach Number   ,  6.993,   6.993,    0.0
 Alfven Mach   , 86.551,  86.551,    0.0
 R4   E17cm    ,  0.138,   0.138,    0.0
 R3   E17cm    ,  0.243,   0.243,    0.0
 nH post       ,  3.767,   3.767,    0.0
 nH4           , 76.008,  76.008,    0.0
 nH3           , 124.41,  124.41,    0.0
 menzel.local
 604.029u 0.587s 10:04.95 99.9%
 MV 5.2 Shock Test 03: 200km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e5 4861 ,  3.385,   3.385,    0.0
 Lya      1215 , 27.933,  27.933,    0.0
 HeI      5876 ,  0.168,   0.168,    0.0
 HeII     4686 ,  0.055,   0.055,    0.0
 CII      2326 ,  0.681,   0.681,    0.0
 CIII     1909 ,  1.724,   1.724,    0.0
 CIV      1549 ,  3.746,   3.746,   -0.0
 NI       5200 ,  0.071,   0.071,    0.0
 NII      5755 ,  0.014,   0.014,    0.0
 NII      6548 ,  0.267,   0.267,    0.0
 NII      6584 ,  0.785,   0.785,    0.0
 NIII     1749 ,  0.225,   0.225,    0.0
 NIV      1485 ,  0.307,   0.307,    0.0
 OI       6300 ,  0.209,   0.209,    0.0
 OII      3727 ,  3.124,   3.124,    0.0
 OII      7319 ,  0.084,   0.084,    0.0
 OII      7330 ,  0.068,   0.068,    0.0
 OIII     1663 ,  0.954,   0.954,    0.0
 OIII     4363 ,  0.147,   0.147,    0.0
 OIII     4959 ,  0.515,   0.515,    0.0
 OIII     5007 ,  1.490,   1.490,    0.0
 OIV      1400 ,  0.809,   0.809,   -0.0
 OIV      1406 ,  0.861,   0.861,    0.0
 OIV    25.89m ,  0.127,   0.127,    0.0
 NeII   12.81m ,  0.843,   0.843,    0.0
 NeIII  15.55m ,  0.389,   0.389,    0.0
 NeIV     2423 ,  0.573,   0.573,    0.0
 NeVI   7.652m ,  0.111,   0.111,    0.0
 MgII     2798 ,  0.408,   0.408,   -0.0
 MgVI     1806 ,  0.312,   0.312,   -0.0
 SiIII    1892 ,  0.602,   0.602,    0.0
 SiIII    2335 ,  0.044,   0.044,   -0.0
 SiIII  18.71m ,  0.187,   0.187,    0.0
 SiIV     1397 ,  0.427,   0.427,    0.0
 SII      6716 ,  0.852,   0.852,    0.0
 SII      6731 ,  0.664,   0.664,    0.0
 SIII     6312 ,  0.015,   0.015,    0.0
 SIII     9069 ,  0.077,   0.077,    0.0
 SIII     9531 ,  0.193,   0.193,    0.0
 SIV    10.51m ,  0.017,   0.017,    0.0
 ArII   6.985m ,  0.101,   0.101,    0.0
 FeII   1.643m ,  1.054,   1.054,    0.0
 FeII   17.93m ,  0.485,   0.485,    0.0
 NiII   6.636m ,  0.132,   0.132,    0.0
 Ltot          , 175.49,  175.49,    0.0
 MV 5.2 Shock Test 03: 200km/s Precursor
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e5 4861 ,  0.621,   0.621,    0.0
 Lya      1215 , 47.629,  47.629,    0.0
 HeI      5876 ,  0.082,   0.082,    0.0
 HeII     4686 ,  0.176,   0.176,    0.0
 CII      2326 ,  0.297,   0.297,   -0.0
 CIII     1909 ,  1.029,   1.029,   -0.0
 CIV      1549 ,  0.017,   0.017,    0.0
 NI       5200 ,  0.056,   0.056,    0.0
 NII      5755 ,  0.015,   0.015,    0.0
 NII      6548 ,  0.250,   0.250,    0.0
 NII      6584 ,  0.735,   0.735,    0.0
 NIII     1749 ,  0.022,   0.022,   -0.0
 NIV      1485 ,  0.001,   0.001,   -0.0
 OI       6300 ,  0.224,   0.224,    0.0
 OII      3727 ,  4.637,   4.637,    0.0
 OII      7319 ,  0.053,   0.053,    0.0
 OII      7330 ,  0.043,   0.043,   -0.0
 OIII     1663 ,  0.034,   0.034,    0.0
 OIII     4363 ,  0.034,   0.034,    0.0
 OIII     4959 ,  2.043,   2.043,    0.0
 OIII     5007 ,  5.906,   5.906,    0.0
 OIV    25.89m ,  1.402,   1.402,    0.0
 NeII   12.81m ,  0.079,   0.079,    0.0
 NeIII  15.55m ,  0.949,   0.949,    0.0
 NeIV     2423 ,  0.021,   0.021,   -0.0
 MgII     2798 ,  1.331,   1.331,    0.0
 SiIII    1892 ,  0.239,   0.239,    0.0
 SiIII    2335 ,  0.219,   0.219,    0.0
 SiIII  18.71m ,  0.744,   0.744,    0.0
 SiIV     1397 ,  0.003,   0.003,   -0.0
 SII      6716 ,  0.333,   0.333,    0.0
 SII      6731 ,  0.231,   0.231,    0.0
 SIII     6312 ,  0.040,   0.040,    0.0
 SIII     9069 ,  0.577,   0.577,    0.0
 SIII     9531 ,  1.450,   1.450,    0.0
 SIV    10.51m ,  0.406,   0.406,    0.0
 ArII   6.985m ,  0.002,   0.002,    0.0
 FeII   1.643m ,  0.125,   0.125,    0.0
 FeII   17.93m ,  0.028,   0.028,    0.0
 NiII   6.636m ,  0.011,   0.011,    0.0
 Ltot          , 44.852,  44.852,    0.0
 MV 5.2 Shock Test 03: 200km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    ,  9.505,   9.505,    0.0
 XHIPre 1E-3   ,  4.997,   4.997,    0.0
 TShock  kK    , 568.23,  568.23,    0.0
 Mach Number   , 13.731,  13.731,    0.0
 Alfven Mach   , 173.13,  173.13,    0.0
 R4   E17cm    ,  7.565,   7.565,    0.0
 R3   E17cm    ,  8.061,   8.061,    0.0
 nH post       ,  3.937,   3.937,    0.0
 nH4           , 163.86,  163.86,    0.0
 nH3           , 215.49,  215.49,    0.0
 menzel.local
 909.404u 0.762s 15:11.05 99.9%
 MV 5.2 Shock Test 04: 400km/s
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e4 4861 ,  1.516,   1.516,    0.0
 Lya      1215 , 29.424,  29.424,    0.0
 HeI      5876 ,  0.226,   0.226,    0.0
 HeII     4686 ,  0.247,   0.247,    0.0
 CII      2326 ,  0.986,   0.986,    0.0
 CIII     1909 ,  0.849,   0.849,   -0.0
 CIV      1549 ,  1.592,   1.592,   -0.0
 NI       5200 ,  0.599,   0.599,    0.0
 NII      5755 ,  0.033,   0.033,    0.0
 NII      6548 ,  1.040,   1.040,    0.0
 NII      6584 ,  3.060,   3.060,    0.0
 NIII     1749 ,  0.097,   0.097,   -0.0
 NIV      1485 ,  0.138,   0.138,    0.0
 OI       6300 ,  1.977,   1.977,    0.0
 OII      3727 ,  5.947,   5.947,    0.0
 OII      7319 ,  0.072,   0.072,    0.0
 OII      7330 ,  0.059,   0.059,    0.0
 OIII     1663 ,  0.421,   0.421,    0.0
 OIII     4363 ,  0.067,   0.067,    0.0
 OIII     4959 ,  0.264,   0.264,    0.0
 OIII     5007 ,  0.764,   0.764,    0.0
 OIV      1400 ,  0.374,   0.374,    0.0
 OIV      1406 ,  0.396,   0.396,    0.0
 OIV    25.89m ,  0.066,   0.066,    0.0
 NeII   12.81m ,  0.756,   0.756,    0.0
 NeIII  15.55m ,  1.985,   1.985,    0.0
 NeIV     2423 ,  0.280,   0.280,    0.0
 NeVI   7.652m ,  0.049,   0.049,    0.0
 MgII     2798 ,  3.414,   3.414,    0.0
 MgVI     1806 ,  0.180,   0.180,   -0.0
 SiIII    1892 ,  0.238,   0.238,   -0.0
 SiIII    2335 ,  0.276,   0.276,    0.0
 SiIII  18.71m ,  0.846,   0.846,    0.0
 SiIV     1397 ,  0.171,   0.171,   -0.0
 SII      6716 ,  2.704,   2.704,    0.0
 SII      6731 ,  2.222,   2.222,    0.0
 SIII     6312 ,  0.025,   0.025,    0.0
 SIII     9069 ,  0.455,   0.455,    0.0
 SIII     9531 ,  1.142,   1.142,    0.0
 SIV    10.51m ,  0.010,   0.010,    0.0
 ArII   6.985m ,  0.125,   0.125,    0.0
 FeII   1.643m ,  2.854,   2.854,    0.0
 FeII   17.93m ,  0.956,   0.956,    0.0
 NiII   6.636m ,  0.214,   0.214,    0.0
 Ltot          , 102.51,  102.51,    0.0
 MV 5.2 Shock Test 04: 400km/s Precursor
 Quantity      ,   MVS5,   Model,  Diff%
 HBeta e5 4861 ,  4.449,   4.449,    0.0
 Lya      1215 , 48.224,  48.224,    0.0
 HeI      5876 ,  0.023,   0.023,    0.0
 HeII     4686 ,  0.700,   0.700,    0.0
 CII      2326 ,  0.287,   0.287,    0.0
 CIII     1909 ,  5.120,   5.120,   -0.0
 CIV      1549 ,  4.845,   4.845,    0.0
 NI       5200 ,  0.153,   0.153,   -0.0
 NII      5755 ,  0.009,   0.009,    0.0
 NII      6548 ,  0.121,   0.121,    0.0
 NII      6584 ,  0.355,   0.355,    0.0
 NIII     1749 ,  0.211,   0.211,    0.0
 NIV      1485 ,  0.369,   0.369,    0.0
 OI       6300 ,  0.425,   0.425,    0.0
