 menzel.local
 111.515u 0.258s 1:51.89 99.8%
 MV 5.2 Shock Test 01: 50km/s
 Quantity      ,   MVS5,   Model,  Diff%
 SiIV     1397 ,  0.434,   0.434,    0.0
 SII      6716 ,  0.848,   0.848,    0.0
 SII      6731 ,  0.660,   0.660,    0.0
 SIII     6312 ,  0.015,   0.015,    0.0
 SIII     9069 ,  0.077,   0.077,    0.0
 SIII     9531 ,  0.194,   0.194,    0.0
 SIV    10.51m ,  0.017,   0.017,    0.0
 ArII   6.985m ,  0.101,   0.101,    0.0
 FeII   1.643m ,  1.045,   1.045,    0.0
 FeII   17.93m ,  0.482,   0.482,    0.0
 NiII   6.636m ,  0.131,   0.131,    0.0
 Ltot   e-05   , 173.38,  173.80,   -0.0
 MV 5.2 Shock Test 03: 200km/s Structure
 Quantity      ,   MVS5,   Model,  Diff%
 TPre    kK    ,  9.605,   9.605,    0.0
 XHIPre 1E-3   ,  5.034,   5.034,    0.0
 TShock  kK    , 568.80,  568.80,    0.0
 Mach Number   , 13.666,  13.666,    0.0
 Alfven Mach   , 173.13,  173.13,    0.0
 R4   E17cm    ,  7.543,   7.543,    0.0
 R3   E17cm    ,  8.035,   8.035,    0.0
 nH post       ,  3.936,   3.936,    0.0
 nH4           , 163.39,  163.39,    0.0
 nH3           , 215.65,  215.65,    0.0
