 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 2.00 Teff 40.00 logg 4.00 R/R0 10.61 R 7.3793E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 5.00000000E+01 7.39879560E-38
 5.48514390E+01 1.05261800E-35
 6.07455020E+01 1.29193430E-33
 6.80587560E+01 1.53515790E-31
 7.00045780E+01 4.73729110E-31
 7.20649380E+01 1.51759660E-30
 7.31412780E+01 2.81506210E-30
 7.42502560E+01 5.53630790E-30
 7.42530130E+01 1.82499240E-29
 7.90441730E+01 9.57836900E-29
 8.44998470E+01 4.43282580E-28
 9.07644620E+01 1.81224550E-27
 9.42585110E+01 3.52847610E-27
 9.80323440E+01 6.78008050E-27
 9.80371490E+01 6.77788390E-27
 9.94725570E+01 8.57942820E-27
 1.00955720E+02 1.08959820E-26
 1.00956230E+02 1.08959630E-26
 1.02697840E+02 1.43830220E-26
 1.04501150E+02 1.91828560E-26
 1.04501690E+02 1.91844760E-26
 1.05881020E+02 2.39897800E-26
 1.07297830E+02 3.03540220E-26
 1.07298410E+02 3.03568700E-26
 1.08067960E+02 3.46140820E-26
 1.08849220E+02 3.96717540E-26
 1.08849820E+02 3.99369950E-26
 1.11066990E+02 5.99043410E-26
 1.13377010E+02 9.66817190E-26
 1.13377660E+02 9.42770940E-26
 1.15811840E+02 1.73929510E-25
 1.18353530E+02 3.94193730E-25
 1.18354230E+02 3.94294120E-25
 1.18948900E+02 4.92347390E-25
 1.19550290E+02 6.23549630E-25
 1.19551000E+02 6.23669650E-25
 1.21713390E+02 1.58886660E-24
 1.23956210E+02 4.63921100E-24
 1.23956980E+02 2.88552190E-24
 1.25291800E+02 5.77817650E-24
 1.26656480E+02 1.17538300E-23
 1.26657280E+02 1.17589470E-23
 1.26797720E+02 1.26469710E-23
 1.26798530E+02 1.20940720E-23
 1.27081660E+02 1.40134770E-23
 1.27082470E+02 1.34998560E-23
 1.27447660E+02 1.63294300E-23
 1.27448480E+02 1.63904300E-23
 1.27944040E+02 2.11672520E-23
 1.27944860E+02 2.09112930E-23
 1.28310670E+02 2.52529490E-23
 1.28311500E+02 2.48400310E-23
 1.29932340E+02 5.68758020E-23
 1.31595520E+02 1.30300440E-22
 1.31596380E+02 1.30355940E-22
 1.32580630E+02 2.10739740E-22
 1.33580600E+02 3.40679790E-22
 1.33581490E+02 3.40820530E-22
 1.34475920E+02 5.20338880E-22
 1.35383330E+02 7.94389020E-22
 1.35384240E+02 7.94655820E-22
 1.38164970E+02 2.79882910E-21
 1.41063320E+02 9.81484680E-21
 1.41064320E+02 9.81897990E-21
 1.41853670E+02 1.36850250E-20
 1.41854680E+02 1.36907820E-20
 1.43685140E+02 2.91127300E-20
 1.45564520E+02 6.18138460E-20
 1.45565580E+02 6.18397160E-20
 1.48089090E+02 1.64436150E-19
 1.50702770E+02 4.35922290E-19
 1.50703910E+02 4.36103450E-19
 1.52594350E+02 8.62729120E-19
 1.54534020E+02 1.70437560E-18
 1.54535210E+02 1.71895720E-18
 1.55996320E+02 2.83482630E-18
 1.57486560E+02 4.67229180E-18
 1.57487800E+02 4.67354380E-18
 1.58750220E+02 7.07859300E-18
 1.60034310E+02 1.07180930E-17
 1.60035590E+02 1.07765660E-17
 1.60224390E+02 1.14470640E-17
 1.60225670E+02 1.16318070E-17
 1.62147230E+02 2.13017490E-17
 1.64116780E+02 3.89636740E-17
 1.64118130E+02 2.40511570E-18
 1.67480830E+02 6.52093550E-18
 1.70985680E+02 1.76125200E-17
 1.70987140E+02 1.57158140E-17
 1.71113420E+02 1.62751150E-17
 1.71114880E+02 1.33939820E-17
 1.71458910E+02 1.47292510E-17
 1.71460380E+02 7.98315470E-18
 1.72433830E+02 1.04290810E-17
 1.72435320E+02 2.18576010E-18
 1.72510760E+02 2.23207080E-18
 1.72512240E+02 2.23272350E-18
 1.73777390E+02 3.16432720E-18
 1.75062760E+02 4.48500180E-18
 1.75064300E+02 4.48685260E-18
 1.77188030E+02 7.89048810E-18
 1.79365540E+02 1.38702840E-17
 1.79367150E+02 1.38561480E-17
 1.81856170E+02 2.59459840E-17
 1.84416950E+02 4.85594880E-17
 1.84418650E+02 4.85793790E-17
 1.85778830E+02 6.72715260E-17
 1.87160980E+02 9.31731790E-17
 1.87162730E+02 9.31653720E-17
 1.88738970E+02 1.34256100E-16
 1.88740750E+02 1.34311050E-16
 1.90123900E+02 1.84116780E-16
 1.90125710E+02 1.84192040E-16
 1.90853060E+02 2.17007700E-16
 1.90854880E+02 2.17093890E-16
 1.92241740E+02 2.95706670E-16
 1.92243590E+02 2.92374760E-16
 1.92420960E+02 3.04061130E-16
 1.92783400E+02 3.25841760E-16
