 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 2.00 Teff 50.00 logg 4.00 R/R0 9.80 R 6.8160E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 1.71113420E+02 2.63533890E-09
 1.71114880E+02 2.63794570E-09
 1.71414580E+02 3.73760460E-09
 1.71458910E+02 5.05281650E-09
 1.71460380E+02 5.08116690E-09
 1.71729010E+02 1.32447250E-08
 1.72044010E+02 2.79299260E-10
 1.72359600E+02 2.96857570E-10
 1.72433830E+02 3.06845690E-10
 1.72435320E+02 3.06177830E-10
 1.72510760E+02 3.16416980E-10
 1.72512240E+02 2.61555980E-10
 1.72675760E+02 2.80311230E-10
 1.72992500E+02 8.36949260E-10
 1.73309820E+02 5.43056050E-10
 1.73627730E+02 4.35514100E-09
 1.73946220E+02 1.45440490E-08
 1.74265290E+02 3.16519960E-08
 1.74584940E+02 6.13439630E-09
 1.74905190E+02 1.11125300E-09
 1.75226020E+02 5.30215290E-10
 1.75547440E+02 1.02714220E-09
 1.75869450E+02 1.06199560E-09
 1.75871380E+02 1.06744040E-09
 1.76192050E+02 1.99576760E-09
 1.76515240E+02 1.79481820E-09
 1.76839020E+02 5.67893330E-10
 1.77163400E+02 3.67789760E-09
 1.77488380E+02 1.31299420E-08
 1.77813940E+02 2.63768800E-08
 1.78140110E+02 3.83266350E-08
 1.78466880E+02 2.85477110E-10
 1.78794240E+02 3.83755320E-10
 1.79122210E+02 1.55501350E-10
 1.79365540E+02 6.48837670E-11
 1.79367150E+02 6.47722310E-11
 1.79450770E+02 3.25452460E-11
 1.79779940E+02 1.92795670E-11
 1.80109710E+02 1.29783760E-11
 1.80440090E+02 1.35047780E-10
 1.80771080E+02 2.16213910E-11
 1.81102670E+02 8.75988760E-11
 1.81434870E+02 3.02640630E-10
 1.81767670E+02 2.18074460E-09
 1.81856170E+02 2.18773920E-09
 1.82101090E+02 2.20696540E-09
 1.82435120E+02 1.75736610E-09
 1.82769770E+02 2.46273980E-09
 1.83105020E+02 1.65597510E-09
 1.83440900E+02 4.01033660E-10
 1.83777390E+02 6.65537990E-10
 1.84114490E+02 2.44607590E-09
 1.84416950E+02 7.32730880E-10
 1.84418650E+02 7.15832330E-10
 1.84452210E+02 5.22673800E-10
 1.84790560E+02 9.91063430E-09
 1.85129520E+02 6.31329000E-10
 1.85469110E+02 9.98752200E-10
 1.85778830E+02 1.60415110E-09
 1.85809320E+02 1.66519700E-09
 1.86150150E+02 3.72477440E-09
 1.86491610E+02 2.83377140E-09
 1.86833690E+02 8.54493510E-09
 1.87160980E+02 3.13655500E-08
 1.87162730E+02 3.14575470E-08
 1.87176400E+02 3.24334210E-08
 1.87519740E+02 2.74905470E-08
 1.87863710E+02 2.48798490E-08
 1.88208310E+02 3.41451920E-08
 1.88553550E+02 1.36896220E-08
 1.88738970E+02 1.68761970E-08
 1.88740750E+02 1.68607290E-08
 1.88899410E+02 1.96456630E-08
 1.89245910E+02 6.90910590E-08
 1.89593050E+02 6.00865870E-09
 1.89940820E+02 3.53526040E-09
 1.90123900E+02 4.62234540E-09
 1.90125710E+02 4.56612420E-09
 1.90289240E+02 5.54635860E-09
 1.90638290E+02 4.67057840E-09
 1.90853060E+02 5.05467340E-09
 1.90854880E+02 5.05802590E-09
 1.90987980E+02 5.30127770E-09
 1.91338310E+02 7.86097350E-09
 1.91689280E+02 2.05697930E-08
 1.92040900E+02 4.90800340E-08
 1.92241740E+02 5.32316440E-08
 1.92243590E+02 5.86746770E-08
 1.92393160E+02 6.21653720E-08
 1.92746070E+02 9.61374560E-08
 1.93099630E+02 1.93848910E-07
 1.93453840E+02 3.06379660E-07
 1.93566170E+02 2.11240470E-07
 1.93568040E+02 2.09392880E-07
 1.93808690E+02 7.36547090E-10
 1.94164200E+02 1.89585760E-09
 1.94520360E+02 3.43604950E-09
 1.94617540E+02 4.93585220E-09
 1.94619430E+02 4.95807570E-09
 1.94836520E+02 8.37534710E-09
 1.94838420E+02 8.38597720E-09
 1.94877170E+02 9.00507130E-09
 1.95234630E+02 5.57018410E-10
 1.95592750E+02 1.37472950E-09
 1.95951530E+02 1.24190340E-08
 1.95961030E+02 1.23905940E-08
 1.96310970E+02 1.13128320E-08
 1.96671070E+02 2.36681460E-08
 1.97031820E+02 6.11870880E-08
 1.97098590E+02 8.69589990E-08
 1.97100530E+02 8.77121230E-08
 1.97393240E+02 2.03399700E-07
 1.97755320E+02 5.17983830E-07
 1.98118070E+02 7.52248140E-07
 1.98481480E+02 9.36397910E-07
 1.98845560E+02 2.10722010E-07
 1.98877180E+02 2.06982860E-07
 1.99210300E+02 1.66598080E-07
 1.99575720E+02 9.99648230E-08
 1.99941800E+02 2.27251780E-07
 2.00308560E+02 2.14375180E-07
 2.00675980E+02 7.67738480E-09
 2.00688160E+02 7.61331310E-09
 2.00690170E+02 7.60270530E-09
 2.01044090E+02 5.69397270E-09
 2.01412870E+02 1.44593050E-08
 2.01590960E+02 1.85812930E-08
 2.01592990E+02 1.86288550E-08
 2.01782320E+02 2.31106950E-08
 2.02152450E+02 8.76586980E-08
 2.02358650E+02 1.83853730E-07
 2.02360700E+02 1.84702040E-07
