 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 1.00 Teff 25.00 logg 4.00 R/R0 7.07 R 4.9172E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 5.00000000E+01 3.97379050E-59
 5.34837490E+01 8.32787680E-57
 5.74893160E+01 1.32782260E-54
 6.21434350E+01 1.55572010E-52
 6.57151460E+01 3.09591940E-51
 6.97224650E+01 5.05344780E-50
 7.19151640E+01 1.88029180E-49
 7.42502560E+01 6.59996890E-49
 7.42530130E+01 6.74966500E-49
 8.10000000E+01 1.26584200E-47
 8.53333920E+01 5.43959120E-47
 9.09000000E+01 2.46043590E-46
 9.61000000E+01 7.58387410E-46
 1.00305760E+02 1.60671490E-45
 1.05600000E+02 3.45486100E-45
 1.10400000E+02 5.88629520E-45
 1.14000000E+02 9.00172370E-45
 1.17800000E+02 4.59974410E-44
 1.21650180E+02 1.09313660E-42
 1.24800000E+02 1.58951220E-41
 1.28400000E+02 3.05358620E-40
 1.32400000E+02 7.06458240E-39
 1.36134440E+02 1.15849030E-37
 1.39800000E+02 1.59088080E-36
 1.43300000E+02 1.73236300E-35
 1.47200000E+02 2.18425390E-34
 1.51000000E+02 2.28315150E-33
 1.54534020E+02 1.82650360E-32
 1.54535210E+02 1.88831110E-33
 1.57236080E+02 8.85024440E-33
 1.60034310E+02 4.16235690E-32
 1.60035590E+02 4.16521860E-32
 1.60224390E+02 4.61518660E-32
 1.60225670E+02 4.61840250E-32
 1.64616180E+02 4.70265590E-31
 1.69255510E+02 4.79665610E-30
 1.74163930E+02 4.88610480E-29
 1.76726470E+02 1.55774010E-28
 1.79365540E+02 4.96118390E-28
 1.79367150E+02 4.96463490E-28
 1.80916590E+02 9.64241760E-28
 1.80918230E+02 9.64912070E-28
 1.83620910E+02 2.98726360E-27
 1.86407310E+02 9.24176470E-27
 1.89279570E+02 2.85476850E-26
 1.90749160E+02 5.01432420E-26
 1.92241740E+02 8.80375440E-26
 1.92243590E+02 8.80980780E-26
 1.93422340E+02 1.36527780E-25
 1.94617540E+02 2.11668580E-25
 1.94619430E+02 1.87553350E-25
 1.95850210E+02 2.93263750E-25
 1.97098590E+02 4.58735990E-25
 1.97100530E+02 4.59053300E-25
 1.98877180E+02 8.58923840E-25
 2.00688160E+02 1.60724030E-24
 2.00690170E+02 1.60834990E-24
 2.01029230E+02 1.80614680E-24
 2.01031250E+02 1.80739350E-24
 2.02358650E+02 2.83494090E-24
 2.02360700E+02 2.83689620E-24
 2.03566670E+02 4.24733180E-24
 2.04789200E+02 6.36168740E-24
 2.04791300E+02 6.34649150E-24
 2.07799050E+02 1.67862880E-23
 2.10898700E+02 4.43590070E-23
 2.14092210E+02 1.17032870E-22
 2.15725520E+02 1.89979360E-22
 2.17383930E+02 3.08267980E-22
 2.17386300E+02 3.08478930E-22
 2.18149610E+02 3.84458310E-22
 2.18151990E+02 3.84718420E-22
 2.19479890E+02 5.62108740E-22
 2.19482300E+02 5.62493010E-22
 2.21038630E+02 8.71896010E-22
 2.22619670E+02 1.35196140E-21
 2.22622150E+02 1.35288410E-21
 2.23980340E+02 1.96175740E-21
 2.25357750E+02 2.84592170E-21
 2.25360290E+02 2.84786180E-21
 2.25609880E+02 3.04491080E-21
 2.25612420E+02 2.13462390E-21
 2.25845330E+02 2.27247660E-21
 2.25847880E+02 2.14432840E-21
 2.26991880E+02 2.91180820E-21
 2.26994450E+02 2.91380460E-21
 2.27837820E+02 3.64356230E-21
 2.27840410E+02 2.58331360E-16
 2.28062080E+02 2.64061290E-16
 2.28506890E+02 2.52901950E-16
 2.28952570E+02 3.29746950E-17
 2.29366480E+02 2.86508940E-19
 2.29369110E+02 2.86175700E-19
 2.29399110E+02 2.82298480E-19
 2.29846530E+02 4.40105120E-17
 2.30294820E+02 1.58412820E-17
 2.30743990E+02 5.36833480E-19
 2.31194030E+02 5.78095970E-17
 2.31502650E+02 5.96942870E-17
 2.31644950E+02 2.13040820E-16
 2.32096740E+02 9.84889490E-18
 2.32549420E+02 3.87105670E-16
 2.33002980E+02 1.58058210E-16
 2.33457430E+02 8.26886220E-17
 2.33678980E+02 2.34745610E-17
 2.33681710E+02 2.33639620E-17
 2.33912760E+02 1.79907700E-17
 2.34368990E+02 2.33726000E-16
 2.34826100E+02 4.67990530E-16
 2.34985870E+02 4.73905940E-16
 2.35284100E+02 4.84805840E-16
 2.35742990E+02 4.25290320E-16
 2.36202790E+02 2.21882260E-16
 2.36307460E+02 2.69338060E-17
 2.36310250E+02 2.80184180E-17
 2.36663470E+02 1.51210060E-17
 2.37125060E+02 5.46055430E-17
 2.37587540E+02 3.72232660E-16
 2.38050930E+02 9.57839210E-16
 2.38515230E+02 9.45387860E-16
 2.38980420E+02 1.09192720E-15
 2.39446530E+02 1.36150920E-15
 2.39900950E+02 3.07522430E-16
 2.39913540E+02 2.92890780E-16
 2.40381470E+02 3.42308800E-16
 2.40850300E+02 3.62798110E-16
 2.41320060E+02 1.10588250E-15
 2.41790720E+02 1.31955190E-15
 2.42262310E+02 3.48907530E-18
 2.42734820E+02 2.53697010E-16
 2.43208240E+02 1.65428900E-15
 2.43605420E+02 8.36766340E-16
 2.43608390E+02 8.34257260E-16
 2.43682590E+02 7.74220970E-16
 2.44157870E+02 1.96746000E-15
 2.44634070E+02 8.72245870E-16
 2.45111210E+02 2.00190970E-15
 2.45413770E+02 2.18010190E-16
 2.45416780E+02 2.16071770E-16
 2.45589270E+02 1.36419980E-16
 2.46068260E+02 5.67452750E-16
 2.46548190E+02 5.98580510E-16
 2.47029060E+02 1.57406430E-15
 2.47510860E+02 4.13680580E-16
 2.47579110E+02 4.33908000E-16
 2.47582170E+02 4.35151910E-16
 2.47993600E+02 3.17728510E-16
 2.48477290E+02 7.84314390E-16
 2.48961910E+02 2.19238960E-15
 2.49447490E+02 3.04716100E-15
 2.49834420E+02 2.57568580E-15
 2.49837540E+02 2.59973420E-15
 2.49934010E+02 2.50738070E-15
 2.50421470E+02 4.30516930E-16
 2.50909890E+02 2.80667640E-16
 2.51268590E+02 6.71553840E-16
 2.51399270E+02 1.46056670E-15
 2.51889590E+02 3.66826870E-15
 2.52380880E+02 2.16676690E-15
 2.52719320E+02 3.11914280E-15
 2.52722520E+02 3.13753870E-15
 2.52873120E+02 4.83697320E-15
 2.53297040E+02 4.86966740E-15
 2.53300250E+02 4.87092790E-15
 2.53366320E+02 4.87655810E-15
 2.53860480E+02 7.93506960E-16
 2.54355610E+02 1.06722310E-15
 2.54600830E+02 1.29356660E-15
 2.54604070E+02 1.29811740E-15
 2.54851700E+02 2.06468620E-15
 2.55348760E+02 6.15765400E-15
 2.55846790E+02 1.47670740E-15
 2.56345790E+02 6.12788950E-15
 2.56735220E+02 5.57661610E-15
 2.56845760E+02 5.59842000E-15
 2.57346710E+02 6.55189530E-15
 2.57848640E+02 8.24520360E-15
 2.58351550E+02 7.67324990E-15
 2.58855430E+02 8.59962120E-15
 2.58905710E+02 8.65881280E-15
 2.58909060E+02 3.37909440E-14
 2.59360300E+02 2.51368520E-14
 2.59866150E+02 4.19475550E-14
 2.60372990E+02 3.04836000E-14
 2.60880820E+02 5.27587860E-14
 2.61010740E+02 4.02084320E-14
 2.61014140E+02 4.12918790E-14
 2.61378120E+02 3.22004840E-15
 2.61381530E+02 4.09560650E-15
 2.61389640E+02 2.83587160E-15
 2.61899450E+02 4.66947090E-16
 2.62410260E+02 7.53632070E-15
 2.62922060E+02 2.40696550E-16
 2.63434860E+02 3.32743180E-15
 2.63948660E+02 4.16806130E-15
 2.64463470E+02 4.13227830E-14
 2.64575530E+02 6.63567760E-14
 2.64979270E+02 1.60548050E-13
 2.65496090E+02 4.66638590E-14
 2.66013910E+02 5.93235190E-14
 2.66532740E+02 8.11572670E-15
 2.67052580E+02 2.14347910E-14
 2.67573440E+02 8.12544850E-14
 2.67852140E+02 1.03088290E-13
 2.68095310E+02 1.22973460E-13
 2.68618200E+02 9.20699800E-15
 2.69142110E+02 6.78420890E-14
 2.69667040E+02 1.32247970E-13
 2.70193000E+02 3.15905810E-13
 2.70719980E+02 1.76301460E-13
 2.71210930E+02 1.27455610E-13
 2.71247990E+02 1.23582760E-13
 2.71777030E+02 1.95726420E-13
 2.72307100E+02 2.21441140E-13
 2.72838200E+02 2.19567030E-13
 2.72922110E+02 2.14031270E-13
 2.73370350E+02 1.82810110E-13
 2.73903520E+02 1.62981480E-13
 2.74437740E+02 7.88457380E-15
 2.74655030E+02 1.79156380E-14
 2.74658800E+02 1.80016300E-14
 2.74973000E+02 3.31561380E-14
 2.75509310E+02 1.73348750E-13
 2.76046660E+02 2.06497340E-13
 2.76585060E+02 4.28527560E-14
 2.77124500E+02 3.36722060E-13
 2.77383510E+02 3.50584370E-13
 2.77665010E+02 3.66218440E-13
 2.78206560E+02 3.48379660E-13
 2.78749170E+02 3.31589620E-13
 2.79292840E+02 2.70954440E-14
 2.79837570E+02 4.20381990E-14
 2.80166740E+02 1.24799850E-13
 2.80170670E+02 2.95527380E-12
 2.80383360E+02 2.99758020E-12
 2.80930220E+02 5.69989600E-12
 2.81478140E+02 4.69688340E-13
 2.82027140E+02 8.63495080E-12
 2.82577200E+02 2.92688430E-12
 2.83128330E+02 2.45017160E-12
 2.83305060E+02 5.22766850E-12
 2.83680540E+02 1.13315050E-11
 2.84233830E+02 9.55108330E-12
 2.84788200E+02 9.76180650E-12
 2.85343650E+02 8.59451880E-12
 2.85900180E+02 2.86067080E-11
 2.86457800E+02 1.21504560E-11
 2.86514480E+02 1.19515080E-11
 2.86518580E+02 1.20473530E-11
 2.87016500E+02 1.02158190E-11
 2.87576290E+02 4.73284780E-13
