 OPTXAGNF AGN Spectrum Model Parameters: NLS, Astar 0.0                          
 M_BH:  3.0000E+07 M_0            L  :  5.0000E-02 L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   40.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   2.200     (-slope)       fpl:  0.2000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 1.00334952E-06 3.34952256E-09  4306549.3      4306395.6     0.26715576      153.44454    
 1.01007101E-06 3.37196116E-09  4391844.0      4391687.2     0.27417451      156.47011    
 1.01683752E-06 3.39455008E-09  4480728.4      4480568.4     0.28161652      159.62648    
 1.02364936E-06 3.41729032E-09  4572064.3      4571901.0     0.28934474      163.02978    
 1.03050683E-06 3.44018290E-09  4662600.7      4662434.0     0.29694356      166.40780    
 1.03741024E-06 3.46322884E-09  4759004.4      4758834.1     0.30526729      169.96941    
 1.04435990E-06 3.48642917E-09  4853933.7      4853759.9     0.31337533      173.42116    
 1.05135611E-06 3.50978492E-09  4951471.5      4951294.2     0.32179076      176.92594    
 1.05839920E-06 3.53329712E-09  5053101.5      5052920.7     0.33071394      180.52605    
 1.06548946E-06 3.55696684E-09  5153163.0      5152978.5     0.33940027      184.09876    
 1.07262722E-06 3.58079512E-09  5258965.7      5258777.3     0.34881555      188.04732    
 1.07981280E-06 3.60478303E-09  5364611.2      5364418.9     0.35818075      191.98774    
 1.08704652E-06 3.62893164E-09  5471639.5      5471443.2     0.36769595      195.93015    
 1.09432869E-06 3.65324201E-09  5584717.2      5584516.8     0.37799766      200.04312    
 1.10165965E-06 3.67771524E-09  5695305.2      5695100.8     0.38792712      204.00898    
 1.10903971E-06 3.70235243E-09  5811417.3      5811208.8     0.39857609      208.11974    
 1.11646922E-06 3.72715465E-09  5928981.1      5928768.3     0.40939202      212.34386    
 1.12394850E-06 3.75212303E-09  6046417.2      6046200.0     0.42014959      216.72140    
 1.13147788E-06 3.77725867E-09  6172224.5      6172002.7     0.43204146      221.42326    
 1.13905770E-06 3.80256270E-09  6294445.6      6294219.2     0.44339195      225.91377    
 1.14668830E-06 3.82803623E-09  6421865.5      6421634.5     0.45543507      230.54275    
 1.15437002E-06 3.85368042E-09  6552684.1      6552448.4     0.46792496      235.22830    
 1.16210319E-06 3.87949640E-09  6682413.6      6682173.3     0.48021351      239.82185    
 1.16988818E-06 3.90548532E-09  6820607.8      6820362.5     0.49368322      244.80412    
 1.17772531E-06 3.93164835E-09  6956570.9      6956320.5     0.50678664      249.89009    
 1.18561494E-06 3.95798663E-09  7096392.9      7096137.2     0.52040507      255.09898    
