 OPTXAGNF AGN Spectrum Model Parameters: NLS, Astar 0.0                          
 M_BH:  3.0000E+07 M_0            L  :  2.0000E-02 L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   40.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   2.200     (-slope)       fpl:  0.2000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 1.57989746E-06 5.27423602E-09  13304997.      13304156.      3.3926870      837.77010    
 1.59048127E-06 5.30956836E-09  13576209.      13575351.      3.4859985      854.61596    
 1.60113597E-06 5.34513740E-09  13850089.      13849214.      3.5804004      871.43865    
 1.61186206E-06 5.38094472E-09  14124404.      14123512.      3.6746707      888.63290    
 1.62265999E-06 5.41699191E-09  14417455.      14416543.      3.7784718      907.72782    
 1.63353026E-06 5.45328058E-09  14702537.      14701607.      3.8777299      926.11160    
 1.64447336E-06 5.48981235E-09  15000112.      14999163.      3.9832585      945.08568    
 1.65548976E-06 5.52658885E-09  15304808.      15303840.      4.0922718      964.24066    
 1.66657996E-06 5.56361172E-09  15607369.      15606381.      4.1997324      983.03607    
 1.67774445E-06 5.60088261E-09  15930038.      15929030.      4.3177538      1002.8331    
 1.68898374E-06 5.63840317E-09  16246689.      16245661.      4.4321134      1022.8366    
 1.70029832E-06 5.67617509E-09  16573172.      16572123.      4.5514468      1044.0979    
 1.71168869E-06 5.71420004E-09  16912128.      16911057.      4.6773181      1065.9796    
 1.72315537E-06 5.75247973E-09  17246444.      17245352.      4.8001562      1087.2624    
 1.73469887E-06 5.79101585E-09  17600501.      17599387.      4.9336563      1109.5146    
 1.74631969E-06 5.82981012E-09  17952811.      17951674.      5.0657498      1131.3573    
 1.75801837E-06 5.86886429E-09  18310987.      18309829.      5.2006800      1153.3591    
 1.76979541E-06 5.90818007E-09  18688029.      18686846.      5.3459991      1177.3062    
 1.78165135E-06 5.94775924E-09  19057427.      19056220.      5.4864152      1201.3797    
 1.79358672E-06 5.98760354E-09  19445904.      19444672.      5.6374095      1226.4505    
 1.80560203E-06 6.02771477E-09  19837860.      19836603.      5.7899678      1251.3811    
 1.81769784E-06 6.06809470E-09  20230787.      20229505.      5.9425175      1276.0731    
 1.82987468E-06 6.10874514E-09  20650163.      20648855.      6.1102701      1302.0351    
 1.84213310E-06 6.14966790E-09  21058317.      21056984.      6.2707792      1327.1365    
 1.85447363E-06 6.19086481E-09  21484535.      21483174.      6.4415436      1354.3375    
 1.86689683E-06 6.23233769E-09  21920568.      21919178.      6.6177155      1382.8117    
 1.87940326E-06 6.27408840E-09  22353734.      22352316.      6.7914885      1410.7111    
 1.89199346E-06 6.31611880E-09  22815867.      22814420.      6.9824646      1440.1116    
 1.90466801E-06 6.35843077E-09  23268994.      23267518.      7.1672718      1468.5359    
 1.91742747E-06 6.40102618E-09  23736592.      23735087.      7.3603754      1497.5092    
 1.93027240E-06 6.44390694E-09  24221620.      24220085.      7.5637917      1527.3575    
 1.94320339E-06 6.48707497E-09  24700221.      24698655.      7.7624310      1558.0999    
 1.95622099E-06 6.53053217E-09  25207283.      25205684.      7.9784546      1591.2135    
 1.96932581E-06 6.57428050E-09  25711407.      25709776.      8.1919211      1623.6497    
 1.98251841E-06 6.61832191E-09  26224376.      26222711.      8.4102642      1656.2600    
 1.99579939E-06 6.66265834E-09  26763868.      26762169.      8.6451104      1690.0760    
 2.00916934E-06 6.70729179E-09  27292659.      27290927.      8.8721740      1722.8208    
 2.02262885E-06 6.75222424E-09  27848983.      27847216.      9.1165067      1757.1660    
 2.03617854E-06 6.79745770E-09  28409802.      28407999.      9.3630459      1793.4131    
 2.04981899E-06 6.84299417E-09  28972508.      28970669.      9.6099018      1830.0597    
 2.06355082E-06 6.88883570E-09  29572538.      29570659.      9.8810031      1868.7092    
 2.07737464E-06 6.93498432E-09  30156773.      30154857.      10.140558      1905.7875    
 2.09129106E-06 6.98144209E-09  30767113.      30765159.      10.416883      1944.0501    
 2.10530072E-06 7.02821109E-09  31390953.      31388960.      10.701583      1982.6070    
 2.11940422E-06 7.07529339E-09  32010965.      32008933.      10.982586      2021.0790    
 2.13360221E-06 7.12269110E-09  32672691.      32670616.      11.291610      2064.0051    
 2.14789530E-06 7.17040633E-09  33320974.      33318856.      11.590259      2106.1911    
 2.16228415E-06 7.21844121E-09  33990535.      33988374.      11.902733      2149.2695    
 2.17676939E-06 7.26679787E-09  34684429.      34682224.      12.231464      2193.3006    
 2.19135167E-06 7.31547848E-09  35369430.      35367181.      12.552676      2236.2253    
 2.20603163E-06 7.36448520E-09  36095444.      36093150.      12.902231      2281.0706    
 2.22080994E-06 7.41382021E-09  36816635.      36814295.      13.247195      2326.1128    
 2.23568724E-06 7.46348573E-09  37551119.      37548731.      13.600512      2373.7865    
 2.25066421E-06 7.51348396E-09  38322876.      38320438.      13.980036      2424.1024    
 2.26574151E-06 7.56381713E-09  39079663.      39077175.      14.347211      2472.7075    
 2.28091982E-06 7.61448748E-09  39876167.      39873629.      14.742575      2523.2495    
 2.29619980E-06 7.66549727E-09  40678405.      40675816.      15.140986      2573.4461    
 2.31158215E-06 7.71684879E-09  41484055.      41481417.      15.540443      2623.2823    
 2.32706754E-06 7.76854430E-09  42342345.      42339652.      15.978559      2677.0482    
 2.34265667E-06 7.82058613E-09  43178423.      43175675.      16.398273      2731.5452    
 2.35835023E-06 7.87297659E-09  44052211.      44049405.      16.845406      2788.4653    
 2.37414893E-06 7.92571802E-09  44944535.      44941672.      17.305489      2845.7777    
 2.39005346E-06 7.97881276E-09  45831773.      45828854.      17.759884      2902.0468    
 2.40606454E-06 8.03226319E-09  46779052.      46776072.      18.259919      2961.2811    
 2.42218287E-06 8.08607168E-09  47706306.      47703268.      18.742529      3018.6486    
 2.43840918E-06 8.14024064E-09  48664813.      48661715.      19.248159      3078.9259    
 2.45474420E-06 8.19477248E-09  49657263.      49654099.      19.779396      3143.8925    
 2.47118864E-06 8.24966963E-09  50637428.      50634200.      20.298811      3207.6074    
 2.48774324E-06 8.30493454E-09  51676673.      51673378.      20.864430      3274.3853    
