 OPTXAGNF AGN Spectrum Model Parameters: BLS, Astar 0.0                          
 M_BH:  1.0000E+08 M_0            L  :  1.0000E-02 L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   60.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   1.800     (-slope)       fpl:  0.5000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 1.60113597E-06 5.34513740E-09  94387731.      94381146.      103.32193      6481.8030    
 1.61186206E-06 5.38094472E-09  96253577.      96246857.      106.04195      6613.5085    
 1.62265999E-06 5.41699191E-09  98246375.      98239513.      109.03690      6752.4922    
 1.63353026E-06 5.45328058E-09 1.00185250E+08 1.00178253E+08  111.90080      6885.7726    
 1.64447336E-06 5.48981235E-09 1.02208796E+08 1.02201658E+08  114.94559      7023.1610    
 1.65548976E-06 5.52658885E-09 1.04280621E+08 1.04273341E+08  118.09090      7162.1579    
 1.66657996E-06 5.56361172E-09 1.06338048E+08 1.06330624E+08  121.19141      7302.9897    
 1.67774445E-06 5.60088261E-09 1.08531696E+08 1.08524112E+08  124.59658      7459.1694    
 1.68898374E-06 5.63840317E-09 1.10684652E+08 1.10676913E+08  127.89612      7610.9437    
 1.70029832E-06 5.67617509E-09 1.12904230E+08 1.12896333E+08  131.33912      7765.6235    
 1.71168869E-06 5.71420004E-09 1.15208305E+08 1.15200246E+08  134.97073      7923.9767    
 1.72315537E-06 5.75247973E-09 1.17481038E+08 1.17472821E+08  138.51483      8078.2681    
 1.73469887E-06 5.79101585E-09 1.19887450E+08 1.19879068E+08  142.36649      8239.6493    
 1.74631969E-06 5.82981012E-09 1.22282107E+08 1.22273556E+08  146.17758      8404.8633    
 1.75801837E-06 5.86886429E-09 1.24716553E+08 1.24707824E+08  150.07049      8578.1569    
 1.76979541E-06 5.90818007E-09 1.27278706E+08 1.27269792E+08  154.26307      8759.1011    
 1.78165135E-06 5.94775924E-09 1.29789218E+08 1.29780126E+08  158.31422      8933.8054    
 1.79358672E-06 5.98760354E-09 1.32428879E+08 1.32419601E+08  162.67050      9115.2595    
 1.80560203E-06 6.02771477E-09 1.35092150E+08 1.35082687E+08  167.07189      9295.8057    
 1.81769784E-06 6.06809470E-09 1.37762075E+08 1.37752429E+08  171.47303      9475.0184    
 1.82987468E-06 6.10874514E-09 1.40610973E+08 1.40601124E+08  176.31269      9672.7482    
 1.84213310E-06 6.14966790E-09 1.43384070E+08 1.43374018E+08  180.94341      9870.5073    
 1.85447363E-06 6.19086481E-09 1.46279404E+08 1.46269143E+08  185.86994      10074.858    
 1.86689683E-06 6.23233769E-09 1.49241178E+08 1.49230706E+08  190.95244      10280.984    
 1.87940326E-06 6.27408840E-09 1.52183670E+08 1.52172991E+08  195.96574      10483.229    
 1.89199346E-06 6.31611880E-09 1.55322078E+08 1.55311181E+08  201.47524      10695.861    
 1.90466801E-06 6.35843077E-09 1.58399705E+08 1.58388596E+08  206.80680      10902.820    
 1.91742747E-06 6.40102618E-09 1.61575263E+08 1.61563926E+08  212.37766      11124.390    
 1.93027240E-06 6.44390694E-09 1.64868719E+08 1.64857141E+08  218.24596      11359.762    
 1.94320339E-06 6.48707497E-09 1.68118840E+08 1.68107027E+08  223.97647      11588.762    
 1.95622099E-06 6.53053217E-09 1.71561376E+08 1.71549317E+08  230.20840      11828.469    
 1.96932581E-06 6.57428050E-09 1.74984174E+08 1.74971874E+08  236.36656      12063.445    
 1.98251841E-06 6.61832191E-09 1.78466842E+08 1.78454299E+08  242.66537      12299.708    
 1.99579939E-06 6.66265834E-09 1.82128792E+08 1.82115996E+08  249.44016      12546.349    
 2.00916934E-06 6.70729179E-09 1.85718595E+08 1.85705540E+08  255.99048      12798.627    
 2.02262885E-06 6.75222424E-09 1.89494484E+08 1.89481153E+08  263.03887      13068.341    
 2.03617854E-06 6.79745770E-09 1.93300832E+08 1.93287226E+08  270.15088      13336.556    
 2.04981899E-06 6.84299417E-09 1.97120070E+08 1.97106190E+08  277.27202      13602.355    
 2.06355082E-06 6.88883570E-09 2.01191418E+08 2.01177251E+08  285.09243      13881.828    
 2.07737464E-06 6.93498432E-09 2.05156278E+08 2.05141835E+08  292.57981      14150.587    
 2.09129106E-06 6.98144209E-09 2.09297503E+08 2.09282771E+08  300.55084      14430.648    
 2.10530072E-06 7.02821109E-09 2.13530001E+08 2.13514963E+08  308.76344      14729.886    
 2.11940422E-06 7.07529339E-09 2.17736826E+08 2.17721479E+08  316.86938      15029.795    
 2.13360221E-06 7.12269110E-09 2.22225276E+08 2.22209604E+08  325.78344      15346.527    
 2.14789530E-06 7.17040633E-09 2.26623168E+08 2.26607181E+08  334.39826      15652.229    
 2.16228415E-06 7.21844121E-09 2.31164791E+08 2.31148484E+08  343.41180      15964.185    
 2.17676939E-06 7.26679787E-09 2.35870718E+08 2.35854083E+08  352.89415      16282.788    
 2.19135167E-06 7.31547848E-09 2.40516839E+08 2.40499878E+08  362.15967      16598.765    
 2.20603163E-06 7.36448520E-09 2.45439768E+08 2.45422448E+08  372.24256      16948.047    
 2.22080994E-06 7.41382021E-09 2.50330341E+08 2.50312662E+08  382.19302      17296.921    
 2.23568724E-06 7.46348573E-09 2.55310738E+08 2.55292698E+08  392.38437      17647.979    
 2.25066421E-06 7.51348396E-09 2.60542609E+08 2.60524193E+08  403.33147      18011.910    
 2.26574151E-06 7.56381713E-09 2.65673754E+08 2.65654976E+08  413.92245      18364.190    
 2.28091982E-06 7.61448748E-09 2.71072833E+08 2.71053678E+08  425.32631      18729.910    
 2.29619980E-06 7.66549727E-09 2.76510754E+08 2.76491215E+08  436.81802      19101.860    
 2.31158215E-06 7.71684879E-09 2.81971927E+08 2.81951988E+08  448.33989      19490.007    
 2.32706754E-06 7.76854430E-09 2.87787999E+08 2.87767632E+08  460.97654      19905.988    
 2.34265667E-06 7.82058613E-09 2.93454621E+08 2.93433843E+08  473.08253      20304.864    
 2.35835023E-06 7.87297659E-09 2.99375523E+08 2.99354320E+08  485.97917      20716.858    
 2.37414893E-06 7.92571802E-09 3.05421509E+08 3.05399878E+08  499.24921      21131.678    
 2.39005346E-06 7.97881276E-09 3.11433502E+08 3.11411450E+08  512.35525      21539.575    
 2.40606454E-06 8.03226319E-09 3.17850071E+08 3.17827565E+08  526.77730      21979.818    
 2.42218287E-06 8.08607168E-09 3.24132074E+08 3.24109104E+08  540.69688      22428.918    
 2.43840918E-06 8.14024064E-09 3.30624777E+08 3.30601329E+08  555.28022      22892.688    
 2.45474420E-06 8.19477248E-09 3.37346204E+08 3.37322267E+08  570.60192      23366.434    
 2.47118864E-06 8.24966963E-09 3.43985236E+08 3.43960822E+08  585.58272      23828.180    
 2.48774324E-06 8.30493454E-09 3.51022164E+08 3.50997251E+08  601.89579      24311.153    
 2.50440875E-06 8.36056967E-09 3.58006965E+08 3.57981562E+08  617.97344      24785.105    
 2.52118589E-06 8.41657750E-09 3.65126148E+08 3.65100238E+08  634.46239      25275.671    
 2.53807543E-06 8.47296053E-09 3.72597770E+08 3.72571305E+08  652.15085      25812.670    
 2.55507811E-06 8.52972128E-09 3.79928974E+08 3.79901969E+08  669.27453      26335.485    
 2.57219470E-06 8.58686227E-09 3.87645702E+08 3.87618135E+08  687.72476      26879.721    
 2.58942595E-06 8.64438604E-09 3.95411215E+08 3.95383089E+08  706.29271      27419.619    
 2.60677263E-06 8.70229518E-09 4.03216776E+08 4.03188095E+08  724.93432      27955.942    
 2.62423551E-06 8.76059224E-09 4.11521491E+08 4.11492226E+08  745.35274      28518.986    
 2.64181539E-06 8.81927985E-09 4.19616699E+08 4.19586852E+08  764.92576      29081.234    
 2.65951303E-06 8.87836060E-09 4.28078282E+08 4.28047806E+08  785.79110      29690.522    
 2.67732922E-06 8.93783714E-09 4.36710927E+08 4.36679813E+08  807.23239      30306.992    
 2.69526477E-06 8.99771211E-09 4.45298892E+08 4.45267152E+08  828.42219      30912.209    
 2.71332047E-06 9.05798819E-09 4.54467617E+08 4.54435215E+08  851.75489      31550.168    
 2.73149713E-06 9.11866806E-09 4.63436786E+08 4.63403746E+08  874.24507      32165.890    
 2.74979555E-06 9.17975443E-09 4.72714386E+08 4.72680692E+08  897.83927      32795.644    
 2.76821656E-06 9.24125002E-09 4.82310011E+08 4.82275621E+08  922.59552      33466.863    
 2.78676096E-06 9.30315757E-09 4.91792401E+08 4.91757304E+08  946.81620      34150.568    
 2.80542960E-06 9.36547984E-09 5.01846355E+08 5.01810513E+08  973.20821      34869.650    
 2.82422330E-06 9.42821962E-09 5.11817524E+08 5.11780953E+08  999.18520      35572.080    
 2.84314290E-06 9.49137968E-09 5.21989130E+08 5.21951824E+08  1025.8624      36280.193    
 2.86218924E-06 9.55496287E-09 5.32654097E+08 5.32616030E+08  1054.4427      37012.146    
 2.88136318E-06 9.61897199E-09 5.43123577E+08 5.43084770E+08  1082.1277      37724.168    
 2.90066556E-06 9.68340992E-09 5.54147370E+08 5.54107758E+08  1111.9772      38500.065    
 2.92009725E-06 9.74827952E-09 5.65231339E+08 5.65190896E+08  1141.9778      39301.485    
 2.93965911E-06 9.81358368E-09 5.76382248E+08 5.76340978E+08  1172.1377      40097.979    
 2.95935202E-06 9.87932532E-09 5.88234573E+08 5.88192434E+08  1205.1288      40934.328    
 2.97917685E-06 9.94550737E-09 5.99793472E+08 5.99750496E+08  1236.7735      41738.537    
 2.99913449E-06 1.00121328E-08 6.11879730E+08 6.11835891E+08  1270.5302      42569.021    
 3.01922583E-06 1.00792045E-08 6.24199342E+08 6.24154627E+08  1305.1732      43409.194    
 3.03945176E-06 1.01467255E-08 6.36460766E+08 6.36415149E+08  1339.4316      44277.323    
 3.05981319E-06 1.02146989E-08 6.49555232E+08 6.49508628E+08  1377.1791      45226.237    
 3.08031101E-06 1.02831276E-08 6.62354517E+08 6.62306964E+08  1413.5158      46139.777    
 3.10094616E-06 1.03520148E-08 6.75604661E+08 6.75556134E+08  1451.6872      47074.919    
 3.12171953E-06 1.04213634E-08 6.89296306E+08 6.89246786E+08  1491.6860      48027.946    
 3.14263207E-06 1.04911766E-08 7.02832623E+08 7.02782133E+08  1530.8442      48958.882    
 3.16368471E-06 1.05614574E-08 7.17189269E+08 7.17137754E+08  1573.5409      49940.833    
 3.18487837E-06 1.06322091E-08 7.31416020E+08 7.31363448E+08  1615.5109      50956.669    
 3.20621402E-06 1.07034348E-08 7.45940979E+08 7.45887313E+08  1658.6700      52007.371    
 3.22769259E-06 1.07751376E-08 7.61155861E+08 7.61101060E+08  1704.8472      53096.116    
 3.24931505E-06 1.08473207E-08 7.76098994E+08 7.76043095E+08  1749.6058      54150.161    
 3.27108236E-06 1.09199874E-08 7.91838325E+08 7.91781281E+08  1797.8958      55246.843    
 3.29299549E-06 1.09931409E-08 8.07649977E+08 8.07591797E+08  1846.3664      56333.574    
 3.31505541E-06 1.10667844E-08 8.23571037E+08 8.23511714E+08  1895.1597      57427.855    
 3.33726312E-06 1.11409213E-08 8.40476784E+08 8.40416194E+08  1948.4632      58642.217    
 3.35961959E-06 1.12155548E-08 8.56972155E+08 8.56910320E+08  1999.6230      59835.358    
