 OPTXAGNF AGN Spectrum Model Parameters: BLS, Astar 0.0                          
 M_BH:  1.0000E+08 M_0            L  :  0.2000     L/Ledd 
 D   :  1.5000E+18 cm             z  :   0.000     redshift 
 Rcor:   60.00     Rg             Ro :   4.000     Rg 
 C_T :  0.2000     keV            Tau:   15.00     Optical Depth 
 gam :   1.800     (-slope)       fpl:  0.5000     Fraction 
 E              0.5DeltaE      E.FE total     E.FE Disk      E.FE Compton   E.FE NonThermal
 (keV)          (keV)          E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    E.E/cm2/s/E    
 1.54856676E-06 5.16964344E-09 1.82101284E+08 1.82088894E+08  72.427205      12318.116    
 1.55894067E-06 5.20427512E-09 1.85736922E+08 1.85724289E+08  74.355080      12558.498    
 1.56938409E-06 5.23913879E-09 1.89567787E+08 1.89554889E+08  76.434115      12821.661    
 1.57989746E-06 5.27423602E-09 1.93319179E+08 1.93306016E+08  78.441756      13083.813    
 1.59048127E-06 5.30956836E-09 1.97262980E+08 1.97249542E+08  80.599201      13356.609    
 1.60113597E-06 5.34513740E-09 2.01245604E+08 2.01231893E+08  82.781856      13628.125    
 1.61186206E-06 5.38094472E-09 2.05234511E+08 2.05220529E+08  84.961469      13896.807    
 1.62265999E-06 5.41699191E-09 2.09496242E+08 2.09481975E+08  87.361443      14179.541    
 1.63353026E-06 5.45328058E-09 2.13641868E+08 2.13627324E+08  89.656378      14454.514    
 1.64447336E-06 5.48981235E-09 2.17969429E+08 2.17954584E+08  92.096293      14752.721    
 1.65548976E-06 5.52658885E-09 2.22400687E+08 2.22385530E+08  94.616779      15062.841    
 1.66657996E-06 5.56361172E-09 2.26800777E+08 2.26785313E+08  97.101363      15366.566    
 1.67774445E-06 5.60088261E-09 2.31493747E+08 2.31477961E+08  99.830125      15686.482    
 1.68898374E-06 5.63840317E-09 2.36098989E+08 2.36082890E+08  102.47422      15996.058    
 1.70029832E-06 5.67617509E-09 2.40847389E+08 2.40830972E+08  105.23332      16311.339    
 1.71168869E-06 5.71420004E-09 2.45777468E+08 2.45760721E+08  108.14357      16638.499    
 1.72315537E-06 5.75247973E-09 2.50639897E+08 2.50622811E+08  110.98370      16975.400    
 1.73469887E-06 5.79101585E-09 2.55789900E+08 2.55772450E+08  114.07035      17335.945    
 1.74631969E-06 5.82981012E-09 2.60914386E+08 2.60896580E+08  117.12447      17689.229    
 1.75801837E-06 5.86886429E-09 2.66124292E+08 2.66106128E+08  120.24418      18044.090    
 1.76979541E-06 5.90818007E-09 2.71609006E+08 2.71590470E+08  123.60409      18412.374    
 1.78165135E-06 5.94775924E-09 2.76982275E+08 2.76963379E+08  126.85064      18768.909    
 1.79358672E-06 5.98760354E-09 2.82633492E+08 2.82614217E+08  130.34176      19144.370    
 1.80560203E-06 6.02771477E-09 2.88335374E+08 2.88315698E+08  133.86905      19542.271    
 1.81769784E-06 6.06809470E-09 2.94051329E+08 2.94031250E+08  137.39614      19941.363    
 1.82987468E-06 6.10874514E-09 3.00152682E+08 3.00132178E+08  141.27473      20362.299    
 1.84213310E-06 6.14966790E-09 3.06090411E+08 3.06069500E+08  144.98585      20765.971    
 1.85447363E-06 6.19086481E-09 3.12291318E+08 3.12269987E+08  148.93408      21182.346    
 1.86689683E-06 6.23233769E-09 3.18635194E+08 3.18613439E+08  153.00734      21602.277    
 1.87940326E-06 6.27408840E-09 3.24937205E+08 3.24915025E+08  157.02513      22023.138    
 1.89199346E-06 6.31611880E-09 3.31661402E+08 3.31638747E+08  161.44068      22494.202    
 1.90466801E-06 6.35843077E-09 3.38254249E+08 3.38231129E+08  165.71359      22953.710    
 1.91742747E-06 6.40102618E-09 3.45057953E+08 3.45034360E+08  170.17833      23422.493    
 1.93027240E-06 6.44390694E-09 3.52115666E+08 3.52091589E+08  174.88150      23902.054    
 1.94320339E-06 6.48707497E-09 3.59079555E+08 3.59055007E+08  179.47423      24369.388    
 1.95622099E-06 6.53053217E-09 3.66458277E+08 3.66433235E+08  184.46890      24857.400    
 1.96932581E-06 6.57428050E-09 3.73794105E+08 3.73768564E+08  189.40444      25351.439    
 1.98251841E-06 6.61832191E-09 3.81258789E+08 3.81232721E+08  194.45274      25873.637    
 1.99579939E-06 6.66265834E-09 3.89110134E+08 3.89083512E+08  199.88261      26421.657    
 2.00916934E-06 6.70729179E-09 3.96805324E+08 3.96778168E+08  205.13254      26950.844    
 2.02262885E-06 6.75222424E-09 4.04901892E+08 4.04874180E+08  210.78174      27500.850    
 2.03617854E-06 6.79745770E-09 4.13063875E+08 4.13035611E+08  216.48196      28047.582    
 2.04981899E-06 6.84299417E-09 4.21253258E+08 4.21224446E+08  222.18950      28589.946    
 2.06355082E-06 6.88883570E-09 4.29986856E+08 4.29957446E+08  228.45762      29180.793    
 2.07737464E-06 6.93498432E-09 4.38490021E+08 4.38460010E+08  234.45878      29776.728    
 2.09129106E-06 6.98144209E-09 4.47373788E+08 4.47343151E+08  240.84767      30396.142    
 2.10530072E-06 7.02821109E-09 4.56454353E+08 4.56423085E+08  247.43023      31020.388    
 2.11940422E-06 7.07529339E-09 4.65478924E+08 4.65447037E+08  253.92729      31633.027    
 2.13360221E-06 7.12269110E-09 4.75111815E+08 4.75079276E+08  261.07222      32277.622    
 2.14789530E-06 7.17040633E-09 4.84548473E+08 4.84515302E+08  267.97727      32903.197    
 2.16228415E-06 7.21844121E-09 4.94295403E+08 4.94261562E+08  275.20198      33565.371    
 2.17676939E-06 7.26679787E-09 5.04397223E+08 5.04362665E+08  282.80254      34275.091    
 2.19135167E-06 7.31547848E-09 5.14369132E+08 5.14333873E+08  290.22929      34968.808    
 2.20603163E-06 7.36448520E-09 5.24939279E+08 5.24903285E+08  298.31134      35695.492    
 2.22080994E-06 7.41382021E-09 5.35438892E+08 5.35402179E+08  306.28723      36407.062    
 2.23568724E-06 7.46348573E-09 5.46132259E+08 5.46094821E+08  314.45627      37123.136    
 2.25066421E-06 7.51348396E-09 5.57369348E+08 5.57331157E+08  323.23124      37867.640    
 2.26574151E-06 7.56381713E-09 5.68387840E+08 5.68348888E+08  331.72070      38621.044    
 2.28091982E-06 7.61448748E-09 5.79985797E+08 5.79946020E+08  340.86191      39436.427    
 2.29619980E-06 7.66549727E-09 5.91667258E+08 5.91626659E+08  350.07356      40248.719    
 2.31158215E-06 7.71684879E-09 6.03398323E+08 6.03356910E+08  359.30941      41054.327    
 2.32706754E-06 7.76854430E-09 6.15897467E+08 6.15855197E+08  369.43908      41900.923    
 2.34265667E-06 7.82058613E-09 6.28072191E+08 6.28029097E+08  379.14329      42715.128    
 2.35835023E-06 7.87297659E-09 6.40797119E+08 6.40753170E+08  389.48145      43559.579    
 2.37414893E-06 7.92571802E-09 6.53792489E+08 6.53747635E+08  400.11902      44453.503    
 2.39005346E-06 7.97881276E-09 6.66713412E+08 6.66667641E+08  410.62511      45361.029    
 2.40606454E-06 8.03226319E-09 6.80510633E+08 6.80463890E+08  422.18641      46321.357    
 2.42218287E-06 8.08607168E-09 6.94015300E+08 6.93967620E+08  433.34484      47247.125    
 2.43840918E-06 8.14024064E-09 7.07975989E+08 7.07927351E+08  445.03551      48192.762    
 2.45474420E-06 8.19477248E-09 7.22431996E+08 7.22382381E+08  457.31825      49157.840    
 2.47118864E-06 8.24966963E-09 7.36708392E+08 7.36657815E+08  469.32765      50107.611    
 2.48774324E-06 8.30493454E-09 7.51847268E+08 7.51795632E+08  482.40535      51153.457    
 2.50440875E-06 8.36056967E-09 7.66872225E+08 7.66819520E+08  495.29431      52210.051    
 2.52118589E-06 8.41657750E-09 7.82187808E+08 7.82134026E+08  508.51309      53274.239    
 2.53807543E-06 8.47296053E-09 7.98267531E+08 7.98212632E+08  522.69375      54376.706    
 2.55507811E-06 8.52972128E-09 8.14041402E+08 8.13985421E+08  536.42155      55444.039    
 2.57219470E-06 8.58686227E-09 8.30651432E+08 8.30594328E+08  551.21313      56552.801    
 2.58942595E-06 8.64438604E-09 8.47366488E+08 8.47308255E+08  566.09913      57666.777    
 2.60677263E-06 8.70229518E-09 8.64167446E+08 8.64108033E+08  581.04421      58832.287    
 2.62423551E-06 8.76059224E-09 8.82051981E+08 8.81991291E+08  597.41417      60092.531    
 2.64181539E-06 8.81927985E-09 8.99480101E+08 8.99418186E+08  613.10622      61301.099    
 2.65951303E-06 8.87836060E-09 9.17703278E+08 9.17640098E+08  629.83464      62550.180    
 2.67732922E-06 8.93783714E-09 9.36297249E+08 9.36232795E+08  647.02498      63806.742    
 2.69526477E-06 8.99771211E-09 9.54792775E+08 9.54727068E+08  664.01366      65042.392    
