 TLUSTY Ostars, Lanz & Hubeny 2003
 T 42500. G 3.75000 M10 TLUSTY
 Frequency   Eddington Hnu
   (Hz)    (ergs/s/cm2/Hz/sr)
 6.67944E+16  7.49895E-38
 6.67573E+16  7.72695E-38
 6.67202E+16  8.04194E-38
 6.66831E+16  8.36977E-38
 6.66461E+16  8.71097E-38
 6.66091E+16  9.06607E-38
 6.65721E+16  9.43565E-38
 6.65351E+16  9.82029E-38
 6.64982E+16  1.02206E-37
 6.64612E+16  1.06373E-37
 6.64243E+16  1.10709E-37
 6.63874E+16  1.15222E-37
 6.63506E+16  1.19919E-37
 6.63137E+16  1.24807E-37
 6.62769E+16  1.29895E-37
 6.62401E+16  1.35190E-37
 6.62033E+16  1.40701E-37
 6.61665E+16  1.46437E-37
 6.61298E+16  1.52407E-37
 6.60930E+16  1.58620E-37
 6.60563E+16  1.65086E-37
 6.60196E+16  1.71815E-37
 6.59830E+16  1.78819E-37
 6.59463E+16  1.86109E-37
 6.59097E+16  1.93696E-37
 6.58731E+16  2.01592E-37
 6.58365E+16  2.09810E-37
 6.57999E+16  2.18363E-37
 6.57634E+16  2.27264E-37
 6.57269E+16  2.36529E-37
 6.56904E+16  2.46171E-37
 6.56539E+16  2.56206E-37
 6.56174E+16  2.66650E-37
 6.55810E+16  2.77520E-37
 6.55445E+16  2.88833E-37
 6.55081E+16  3.00607E-37
 6.54718E+16  3.12862E-37
 6.54354E+16  3.25615E-37
 6.53991E+16  3.38889E-37
 6.53627E+16  3.52704E-37
 6.53264E+16  3.67082E-37
 6.52901E+16  3.82046E-37
 6.52539E+16  3.97620E-37
 6.52176E+16  4.13829E-37
 6.51814E+16  4.30699E-37
 6.51452E+16  4.48256E-37
 6.51090E+16  4.66530E-37
 6.50729E+16  4.85548E-37
 6.50367E+16  5.05341E-37
 6.50006E+16  5.25941E-37
 6.49645E+16  5.47381E-37
 6.49284E+16  5.69695E-37
 6.48924E+16  5.92919E-37
 6.48563E+16  6.17089E-37
 6.48203E+16  6.42245E-37
